,ｎ,政治や選挙についての学校教育の充実（％）,新聞やテレビ等での政治や選挙に関する分かりやすい報道との接触（％）,政治や選挙に関する家庭内での積極的な話し合い（％）,選挙管理委員会による選挙に関するＰＲの充実（％）
全体,1823,66.6,47.2,25.8,17.1
性別男性,852,65.8,49.9,26.2,19.0
性別女性,971,67.3,44.9,25.4,15.4
年齢別18歳,7,57.1,28.6,28.6,14.3
年齢別19歳,20,40.0,40.0,10.0,5.0
年齢別20歳代,164,60.4,34.8,17.7,12.8
年齢別30歳代,257,72.8,54.1,26.1,23.0
年齢別40歳代,398,73.1,51.0,28.9,17.3
年齢別50歳代,311,75.2,51.8,28.9,21.9
年齢別60歳代,337,65.6,49.6,26.1,15.1
年齢別70歳代,231,56.7,39.4,26.4,13.0
年齢別80歳以上,98,39.8,33.7,16.3,12.2
職業別自営業,133,73.7,57.9,35.3,23.3
職業別勤め人,821,68.8,51.0,25.3,18.9
職業別学生,47,57.4,31.9,21.3,12.8
職業別専業主婦(夫),395,73.9,45.1,28.4,18.0
職業別その他,25,68.0,40.0,28.0,16.0
職業別無職(年金受給者含む),402,53.5,40.3,21.4,11.2
