,調査数,候補者等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者以外のホームページ・ブログ,候補者以外のツイッター・フェイスブック等のＳＮＳ,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,触れていない、見ていない,その他,わからない、忘れた,無回答
全体,999,116,57,7,40,47,36,237,77,591,3,71,22
全体,100.0,11.6,5.7,0.7,4.0,4.7,3.6,23.7,7.7,59.2,0.3,7.1,2.2
性別男性,485,65,29,5,17,31,21,129,46,274,2,34,9
性別男性,100.0,13.4,6.0,1.0,3.5,6.4,4.3,26.6,9.5,56.5,0.4,7.0,1.9
性別女性,514,51,28,2,23,16,15,108,31,317,1,37,13
性別女性,100.0,9.9,5.4,0.4,4.5,3.1,2.9,21.0,6.0,61.7,0.2,7.2,2.5
年齢20歳代,52,10,8,-,4,11,8,21,16,19,-,3,-
年齢20歳代,100.0,19.2,15.4,-,7.7,21.2,15.4,40.4,30.8,36.5,-,5.8,-
年齢30歳代,145,36,21,1,14,14,12,74,25,49,1,2,3
年齢30歳代,100.0,24.8,14.5,0.7,9.7,9.7,8.3,51.0,17.2,33.8,0.7,1.4,2.1
年齢40歳代,217,27,15,1,7,10,9,71,23,112,1,11,4
年齢40歳代,100.0,12.4,6.9,0.5,3.2,4.6,4.1,32.7,10.6,51.6,0.5,5.1,1.8
年齢50歳代,178,18,10,3,12,7,5,36,10,113,-,10,5
年齢50歳代,100.0,10.1,5.6,1.7,6.7,3.9,2.8,20.2,5.6,63.5,-,5.6,2.8
年齢60歳代,213,17,1,-,2,4,2,27,3,158,-,12,5
年齢60歳代,100.0,8.0,0.5,-,0.9,1.9,0.9,12.7,1.4,74.2,-,5.6,2.3
年齢70歳代,151,6,1,1,1,1,-,6,-,111,-,25,4
年齢70歳代,100.0,4.0,0.7,0.7,0.7,0.7,-,4.0,-,73.5,-,16.6,2.6
年齢80歳以上,36,1,-,1,-,-,-,2,-,23,1,8,1
年齢80歳以上,100.0,2.8,-,2.8,-,-,-,5.6,-,63.9,2.8,22.2,2.8
性／年齢別男性20歳代,28,6,5,-,2,7,4,12,12,9,-,1,-
性／年齢別男性20歳代,100.0,21.4,17.9,-,7.1,25.0,14.3,42.9,42.9,32.1,-,3.6,-
性／年齢別男性30歳代,66,19,8,-,6,10,8,37,15,22,-,-,1
性／年齢別男性30歳代,100.0,28.8,12.1,-,9.1,15.2,12.1,56.1,22.7,33.3,-,-,1.5
性／年齢別男性40歳代,92,16,8,1,2,5,5,35,11,42,1,5,1
性／年齢別男性40歳代,100.0,17.4,8.7,1.1,2.2,5.4,5.4,38.0,12.0,45.7,1.1,5.4,1.1
