,問６調査数,問６目にした,問６目にしなかった,問６わからない、忘れた,問６無回答,問６－１調査数,問６－１各戸配布（新聞折込以外）,問６－１新聞折込で配布,問６－１区市町村からの郵送,問６－１公共施設等に置いてあった,問６－１都及び区市町村のホームページ,問６－１わからない、忘れた,問６－１無回答
全体,2011,1086,703,219,3,1086,449,589,28,102,27,28,22
全体,100.0,54.0,35.0,10.9,0.1,100.0,41.3,54.2,2.6,9.4,2.5,2.6,2.0
性別男性,950,512,331,106,1,512,191,292,13,46,15,20,11
性別男性,100.0,53.9,34.8,11.2,0.1,100.0,37.3,57.0,2.5,9.0,2.9,3.9,2.1
性別女性,1061,574,372,113,2,574,258,297,15,56,12,8,11
性別女性,100.0,54.1,35.1,10.7,0.2,100.0,44.9,51.7,2.6,9.8,2.1,1.4,1.9
年齢20歳代,295,55,198,40,2,55,26,16,2,9,3,1,2
年齢20歳代,100.0,18.6,67.1,13.6,0.7,100.0,47.3,29.1,3.6,16.4,5.5,1.8,3.6
年齢30歳代,355,171,146,38,-,171,93,65,4,16,8,4,8
年齢30歳代,100.0,48.2,41.1,10.7,-,100.0,54.4,38.0,2.3,9.4,4.7,2.3,4.7
年齢40歳代,398,226,131,41,-,226,90,126,5,21,8,3,1
年齢40歳代,100.0,56.8,32.9,10.3,-,100.0,39.8,55.8,2.2,9.3,3.5,1.3,0.4
年齢50歳代,293,187,84,22,-,187,65,119,3,16,3,6,7
年齢50歳代,100.0,63.8,28.7,7.5,-,100.0,34.8,63.6,1.6,8.6,1.6,3.2,3.7
年齢60歳代,327,223,73,31,-,223,83,137,6,20,4,8,-
年齢60歳代,100.0,68.2,22.3,9.5,-,100.0,37.2,61.4,2.7,9.0,1.8,3.6,-
年齢70歳代,232,149,50,33,-,149,55,97,5,14,1,-,3
年齢70歳代,100.0,64.2,21.6,14.2,-,100.0,36.9,65.1,3.4,9.4,0.7,-,2.0
年齢80歳以上,90,55,20,14,1,55,26,22,3,5,-,5,1
年齢80歳以上,100.0,61.1,22.2,15.6,1.1,100.0,47.3,40.0,5.5,9.1,-,9.1,1.8
性／年齢別男性20歳代,143,30,91,21,1,30,10,11,1,6,3,1,1
性／年齢別男性20歳代,100.0,21.0,63.6,14.7,0.7,100.0,33.3,36.7,3.3,20.0,10.0,3.3,3.3
性／年齢別男性30歳代,153,78,55,20,-,78,40,31,-,4,5,3,5
性／年齢別男性30歳代,100.0,51.0,35.9,13.1,-,100.0,51.3,39.7,-,5.1,6.4,3.8,6.4
性／年齢別男性40歳代,176,93,65,18,-,93,31,54,2,7,5,3,-
性／年齢別男性40歳代,100.0,52.8,36.9,10.2,-,100.0,33.3,58.1,2.2,7.5,5.4,3.2,-
性／年齢別男性50歳代,148,90,47,11,-,90,29,58,3,8,1,4,4
性／年齢別男性50歳代,100.0,60.8,31.8,7.4,-,100.0,32.2,64.4,3.3,8.9,1.1,4.4,4.4
性／年齢別男性60歳代,169,113,38,18,-,113,40,74,3,13,1,4,-
性／年齢別男性60歳代,100.0,66.9,22.5,10.7,-,100.0,35.4,65.5,2.7,11.5,0.9,3.5,-
性／年齢別男性70歳代,118,77,27,14,-,77,28,53,2,6,-,-,-
性／年齢別男性70歳代,100.0,65.3,22.9,11.9,-,100.0,36.4,68.8,2.6,7.8,-,-,-
性／年齢別男性80歳以上,39,27,8,4,-,27,10,11,2,2,-,4,1
性／年齢別男性80歳以上,100.0,69.2,20.5,10.3,-,100.0,37.0,40.7,7.4,7.4,-,14.8,3.7
