,地域,ｎ,知っている（％）,知らなかった（％）,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,全体,1823,93.2,6.8,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,関心があった(計),1283,97.4,2.6,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,関心がなかった(計),227,78.0,22.0,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,どちらともいえない,298,89.3,10.7,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,全体,1699,92.1,7.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,関心があった(計),1250,95.9,4.1,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,関心がなかった(計),177,80.8,19.2,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,どちらともいえない,266,82.0,18.0,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,全体,1699,71.2,28.8,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,関心があった(計),1250,79.0,21.0,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,関心がなかった(計),177,49.7,50.3,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,どちらともいえない,266,50.0,50.0,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),全体,1699,69.3,30.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),関心があった(計),1250,77.3,22.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),関心がなかった(計),177,44.1,55.9,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),どちらともいえない,266,50.0,50.0,,,,,
オ)期日前投票は夜の８時までできること,全体,1699,68.5,31.5,,,,,
オ)期日前投票は夜の８時までできること,関心があった(計),1250,73.9,26.1,,,,,
オ)期日前投票は夜の８時までできること,関心がなかった(計),177,50.3,49.7,,,,,
オ)期日前投票は夜の８時までできること,どちらともいえない,266,55.3,44.7,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,全体,1699,18.8,81.2,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,関心があった(計),1250,21.6,78.4,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,関心がなかった(計),177,10.2,89.8,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,どちらともいえない,266,11.7,88.3,,,,,
