,調査数,もともと政治や選挙そのものに関心があったから,もともと東京都政や東京都に関する選挙に関心があったから,候補者が訴える政策に関心があったから,候補者自身に関心があったから,その他,無回答
全体,1170,473,443,323,192,60,3
全体,100.0,40.4,37.9,27.6,16.4,5.1,0.3
性別男性,556,254,208,144,84,34,2
性別男性,100.0,45.7,37.4,25.9,15.1,6.1,0.4
性別女性,614,219,235,179,108,26,1
性別女性,100.0,35.7,38.3,29.2,17.6,4.2,0.2
年齢20歳代,68,28,21,13,16,3,ー
年齢20歳代,100.0,41.2,30.9,19.1,23.5,4.4,ー
年齢30歳代,177,56,64,51,35,10,ー
年齢30歳代,100.0,31.6,36.2,28.8,19.8,5.6,ー
年齢40歳代,252,71,94,84,44,7,ー
年齢40歳代,100.0,28.2,37.3,33.3,17.5,2.8,ー
年齢50歳代,191,81,72,52,23,14,ー
年齢50歳代,100.0,42.4,37.7,27.2,12.0,7.3,ー
年齢60歳代,239,115,91,66,34,12,ー
年齢60歳代,100.0,48.1,38.1,27.6,14.2,5.0,ー
年齢70歳代,168,82,71,41,32,10,1
年齢70歳代,100.0,48.8,42.3,24.4,19.0,6.0,0.6
年齢80歳以上,60,35,24,13,7,4,1
年齢80歳以上,100.0,58.3,40.0,21.7,11.7,6.7,1.7
性／年齢別男性20歳代,37,17,12,5,9,3,ー
性／年齢別男性20歳代,100.0,45.9,32.4,13.5,24.3,8.1,ー
性／年齢別男性30歳代,78,28,28,23,11,5,ー
性／年齢別男性30歳代,100.0,35.9,35.9,29.5,14.1,6.4,ー
性／年齢別男性40歳代,107,35,38,35,19,5,ー
性／年齢別男性40歳代,100.0,32.7,35.5,32.7,17.8,4.7,ー
性／年齢別男性50歳代,96,42,34,32,11,5,ー
性／年齢別男性50歳代,100.0,43.8,35.4,33.3,11.5,5.2,ー
性／年齢別男性60歳代,121,66,48,25,16,6,ー
性／年齢別男性60歳代,100.0,54.5,39.7,20.7,13.2,5.0,ー
性／年齢別男性70歳代,85,49,36,17,13,6,1
性／年齢別男性70歳代,100.0,57.6,42.4,20.0,15.3,7.1,1.2
性／年齢別男性80歳以上,29,17,11,7,4,4,ー
性／年齢別男性80歳以上,100.0,58.6,37.9,24.1,13.8,13.8,ー
性／年齢別女性20歳代,31,11,9,8,7,ー,ー
性／年齢別女性20歳代,100.0,35.5,29.0,25.8,22.6,ー,ー
性／年齢別女性30歳代,99,28,36,28,24,5,ー
性／年齢別女性30歳代,100.0,28.3,36.4,28.3,24.2,5.1,ー
性／年齢別女性40歳代,145,36,56,49,25,2,ー
性／年齢別女性40歳代,100.0,24.8,38.6,33.8,17.2,1.4,ー
性／年齢別女性50歳代,95,39,38,20,12,9,ー
性／年齢別女性50歳代,100.0,41.1,40.0,21.1,12.6,9.5,ー
性／年齢別女性60歳代,118,49,43,41,18,6,ー
性／年齢別女性60歳代,100.0,41.5,36.4,34.7,15.3,5.1,ー
性／年齢別女性70歳代,83,33,35,24,19,4,ー
性／年齢別女性70歳代,100.0,39.8,42.2,28.9,22.9,4.8,ー
性／年齢別女性80歳以上,31,18,13,6,3,ー,1
性／年齢別女性80歳以上,100.0,58.1,41.9,19.4,9.7,ー,3.2
未・既婚別未婚（死別・離別を含む）,345,117,135,106,62,25,2
未・既婚別未婚（死別・離別を含む）,100.0,33.9,39.1,30.7,18.0,7.2,0.6
未・既婚別既婚,815,351,305,215,129,34,ー
未・既婚別既婚,100.0,43.1,37.4,26.4,15.8,4.2,ー
子供の有無別子供はいない,331,109,132,104,59,22,ー
子供の有無別子供はいない,100.0,32.9,39.9,31.4,17.8,6.6,ー
子供の有無別未就学（～６歳）,89,24,36,29,19,1,ー
子供の有無別未就学（～６歳）,100.0,27.0,40.4,32.6,21.3,1.1,ー
子供の有無別小・中・高校生,216,78,76,56,37,10,ー
子供の有無別小・中・高校生,100.0,36.1,35.2,25.9,17.1,4.6,ー
子供の有無別大学生・大学院生・短大生・専門学校生,66,27,24,17,11,4,ー
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,40.9,36.4,25.8,16.7,6.1,ー
子供の有無別学校教育終了,485,233,192,123,73,25,2
子供の有無別学校教育終了,100.0,48.0,39.6,25.4,15.1,5.2,0.4
子供の有無別その他,9,3,3,2,3,ー,ー
子供の有無別その他,100.0,33.3,33.3,22.2,33.3,ー,ー
職業別自営業（計）,102,38,44,27,21,8,ー
職業別自営業（計）,100.0,37.3,43.1,26.5,20.6,7.8,ー
職業別農林漁業,2,ー,1,ー,1,ー,ー
職業別農林漁業,100.0,ー,50.0,ー,50.0,ー,ー
職業別商工・サービス業,41,13,16,14,9,2,ー
職業別商工・サービス業,100.0,31.7,39.0,34.1,22.0,4.9,ー
職業別その他自由業,59,25,27,13,11,6,ー
