,ｎ,仕事が忙しく、時間がなかったから（％）,病気（看病を含む）又は体調が悪かったから（％）,適当な候補者がいなかったから（％）,自分一人が投票しなくても選挙の結果に影響がないから（％）,政治や選挙には関心がないから（％）,選挙によって政治や暮らしが良くなるわけではないから（％）,投票所へ行くのが面倒だったから（％）,旅行に出かけていたから（％）
全体,377,34.7,22.3,18.0,15.4,14.1,11.1,8.8,4.2
性別男性,173,41.0,19.1,17.9,15.6,16.2,11.6,7.5,2.9
性別女性,204,29.4,25.0,18.1,15.2,12.3,10.8,9.8,5.4
年齢別18歳,1,-,-,-,-,-,-,100.0,-
年齢別19歳,10,50.0,-,-,-,40.0,10.0,20.0,10.0
年齢別20歳代,75,45.3,1.3,14.7,25.3,28.0,18.7,8.0,1.3
年齢別30歳代,58,53.4,5.2,27.6,17.2,13.8,15.5,6.9,5.2
年齢別40歳代,68,52.9,10.3,22.1,17.6,13.2,13.2,10.3,5.9
年齢別50歳代,47,42.6,10.6,25.5,14.9,10.6,8.5,6.4,4.3
年齢別60歳代,40,12.5,42.5,17.5,15.0,5.0,7.5,2.5,7.5
年齢別70歳代,45,-,55.6,15.6,8.9,6.7,4.4,13.3,4.4
年齢別80歳以上,33,-,78.8,-,-,3.0,-,9.1,-
