,調査数,投開票速報及び結果,立候補者の一覧表,選挙公報,期日前投票所一覧、開票所一覧,東京都選挙管理委員会が作成した東京都知事選挙の啓発動画,東京都選挙管理委員会のツイッター,東京都知事選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後のアップロード予定,都知事選メッセージバスキャンペーンサイト,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,東京都知事選投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない,無回答
全体,195,71,93,59,39,11,17,16,3,7,26,16,7,8,5,63,4
全体,100.0,36.4,47.7,30.3,20.0,5.6,8.7,8.2,1.5,3.6,13.3,8.2,3.6,4.1,2.6,32.3,2.1
性別男性,103,37,48,35,18,6,8,11,3,6,15,11,5,5,3,34,1
性別男性,100.0,35.9,46.6,34.0,17.5,5.8,7.8,10.7,2.9,5.8,14.6,10.7,4.9,4.9,2.9,33.0,1.0
性別女性,92,34,45,24,21,5,9,5,-,1,11,5,2,3,2,29,3
性別女性,100.0,37.0,48.9,26.1,22.8,5.4,9.8,5.4,-,1.1,12.0,5.4,2.2,3.3,2.2,31.5,3.3
年齢20歳代,14,6,7,5,3,-,2,-,-,2,1,1,-,-,-,4,-
年齢20歳代,100.0,42.9,50.0,35.7,21.4,-,14.3,-,-,14.3,7.1,7.1,-,-,-,28.6,-
年齢30歳代,39,21,19,12,10,1,5,2,-,2,1,8,2,1,-,11,-
年齢30歳代,100.0,53.8,48.7,30.8,25.6,2.6,12.8,5.1,-,5.1,2.6,20.5,5.1,2.6,-,28.2,-
年齢40歳代,39,9,16,13,6,3,5,2,1,1,6,1,-,1,1,12,4
年齢40歳代,100.0,23.1,41.0,33.3,15.4,7.7,12.8,5.1,2.6,2.6,15.4,2.6,-,2.6,2.6,30.8,10.3
年齢50歳代,41,16,21,13,9,4,3,7,1,1,8,3,4,3,1,12,-
年齢50歳代,100.0,39.0,51.2,31.7,22.0,9.8,7.3,17.1,2.4,2.4,19.5,7.3,9.8,7.3,2.4,29.3,-
年齢60歳代,36,13,20,8,5,2,1,4,1,1,6,3,-,3,1,14,-
年齢60歳代,100.0,36.1,55.6,22.2,13.9,5.6,2.8,11.1,2.8,2.8,16.7,8.3,-,8.3,2.8,38.9,-
年齢70歳代,20,4,7,7,5,-,-,1,-,-,3,-,1,-,2,9,-
年齢70歳代,100.0,20.0,35.0,35.0,25.0,-,-,5.0,-,-,15.0,-,5.0,-,10.0,45.0,-
年齢80歳以上,4,2,1,1,-,-,-,-,-,-,1,-,-,-,-,1,-
年齢80歳以上,100.0,50.0,25.0,25.0,-,-,-,-,-,-,25.0,-,-,-,-,25.0,-
性／年齢別男性20歳代,11,5,5,4,2,-,1,-,-,2,1,1,-,-,-,3,-
性／年齢別男性20歳代,100.0,45.5,45.5,36.4,18.2,-,9.1,-,-,18.2,9.1,9.1,-,-,-,27.3,-
性／年齢別男性30歳代,18,9,6,6,4,1,2,2,-,2,1,5,2,1,-,6,-
性／年齢別男性30歳代,100.0,50.0,33.3,33.3,22.2,5.6,11.1,11.1,-,11.1,5.6,27.8,11.1,5.6,-,33.3,-
性／年齢別男性40歳代,18,4,8,7,2,1,2,2,1,-,3,1,-,1,-,6,1
性／年齢別男性40歳代,100.0,22.2,44.4,38.9,11.1,5.6,11.1,11.1,5.6,-,16.7,5.6,-,5.6,-,33.3,5.6
性／年齢別男性50歳代,23,7,12,9,7,3,2,5,1,1,7,3,3,2,1,8,-
性／年齢別男性50歳代,100.0,30.4,52.2,39.1,30.4,13.0,8.7,21.7,4.3,4.3,30.4,13.0,13.0,8.7,4.3,34.8,-
性／年齢別男性60歳代,21,8,13,6,1,1,1,2,1,1,1,1,-,1,1,7,-
性／年齢別男性60歳代,100.0,38.1,61.9,28.6,4.8,4.8,4.8,9.5,4.8,4.8,4.8,4.8,-,4.8,4.8,33.3,-
性／年齢別男性70歳代,8,2,3,2,2,-,-,-,-,-,1,-,-,-,1,3,-
性／年齢別男性70歳代,100.0,25.0,37.5,25.0,25.0,-,-,-,-,-,12.5,-,-,-,12.5,37.5,-
性／年齢別男性80歳以上,4,2,1,1,-,-,-,-,-,-,1,-,-,-,-,1,-
性／年齢別男性80歳以上,100.0,50.0,25.0,25.0,-,-,-,-,-,-,25.0,-,-,-,-,25.0,-
性／年齢別女性20歳代,3,1,2,1,1,-,1,-,-,-,-,-,-,-,-,1,-
性／年齢別女性20歳代,100.0,33.3,66.7,33.3,33.3,-,33.3,-,-,-,-,-,-,-,-,33.3,-
性／年齢別女性30歳代,21,12,13,6,6,-,3,-,-,-,-,3,-,-,-,5,-
性／年齢別女性30歳代,100.0,57.1,61.9,28.6,28.6,-,14.3,-,-,-,-,14.3,-,-,-,23.8,-
性／年齢別女性40歳代,21,5,8,6,4,2,3,-,-,1,3,-,-,-,1,6,3
性／年齢別女性40歳代,100.0,23.8,38.1,28.6,19.0,9.5,14.3,-,-,4.8,14.3,-,-,-,4.8,28.6,14.3
性／年齢別女性50歳代,18,9,9,4,2,1,1,2,-,-,1,-,1,1,-,4,-
性／年齢別女性50歳代,100.0,50.0,50.0,22.2,11.1,5.6,5.6,11.1,-,-,5.6,-,5.6,5.6,-,22.2,-
性／年齢別女性60歳代,15,5,7,2,4,1,-,2,-,-,5,2,-,2,-,7,-
性／年齢別女性60歳代,100.0,33.3,46.7,13.3,26.7,6.7,-,13.3,-,-,33.3,13.3,-,13.3,-,46.7,-
性／年齢別女性70歳代,12,2,4,5,3,-,-,1,-,-,2,-,1,-,1,6,-
性／年齢別女性70歳代,100.0,16.7,33.3,41.7,25.0,-,-,8.3,-,-,16.7,-,8.3,-,8.3,50.0,-
性／年齢別女性80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性／年齢別女性80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
未・既婚別未婚（死別・離別を含む）,79,30,37,29,15,4,9,5,2,3,9,7,4,3,1,25,1
未・既婚別未婚（死別・離別を含む）,100.0,38.0,46.8,36.7,19.0,5.1,11.4,6.3,2.5,3.8,11.4,8.9,5.1,3.8,1.3,31.6,1.3
未・既婚別既婚,115,41,56,30,24,7,8,11,1,4,17,9,3,5,4,37,3
未・既婚別既婚,100.0,35.7,48.7,26.1,20.9,6.1,7.0,9.6,0.9,3.5,14.8,7.8,2.6,4.3,3.5,32.2,2.6
子供の有無別子供はいない,75,29,34,24,11,4,8,5,1,4,9,7,4,3,1,27,1
子供の有無別子供はいない,100.0,38.7,45.3,32.0,14.7,5.3,10.7,6.7,1.3,5.3,12.0,9.3,5.3,4.0,1.3,36.0,1.3
子供の有無別未就学（～６歳）,20,7,8,4,5,1,4,-,-,2,-,1,-,-,-,8,-
子供の有無別未就学（～６歳）,100.0,35.0,40.0,20.0,25.0,5.0,20.0,-,-,10.0,-,5.0,-,-,-,40.0,-
子供の有無別小・中・高校生,33,13,16,8,10,4,6,4,2,-,3,5,1,2,2,7,3
子供の有無別小・中・高校生,100.0,39.4,48.5,24.2,30.3,12.1,18.2,12.1,6.1,-,9.1,15.2,3.0,6.1,6.1,21.2,9.1
子供の有無別大学生・大学院生・短大生・専門学校生,13,2,3,3,3,1,1,1,-,-,1,-,-,-,-,6,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,15.4,23.1,23.1,23.1,7.7,7.7,7.7,-,-,7.7,-,-,-,-,46.2,-
子供の有無別学校教育終了,63,22,36,22,15,4,2,8,1,1,13,4,2,4,2,18,-
子供の有無別学校教育終了,100.0,34.9,57.1,34.9,23.8,6.3,3.2,12.7,1.6,1.6,20.6,6.3,3.2,6.3,3.2,28.6,-
子供の有無別その他,1,1,1,1,1,-,-,-,-,-,1,-,-,-,-,-,-
子供の有無別その他,100.0,100.0,100.0,100.0,100.0,-,-,-,-,-,100.0,-,-,-,-,-,-
職業別自営業（計）,24,9,10,6,7,1,3,1,-,-,4,-,1,1,-,6,1
職業別自営業（計）,100.0,37.5,41.7,25.0,29.2,4.2,12.5,4.2,-,-,16.7,-,4.2,4.2,-,25.0,4.2
職業別農林漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,14,4,4,3,2,-,1,-,-,-,2,-,-,-,-,6,-
職業別商工・サービス業,100.0,28.6,28.6,21.4,14.3,-,7.1,-,-,-,14.3,-,-,-,-,42.9,-
職業別その他自由業,10,5,6,3,5,1,2,1,-,-,2,-,1,1,-,-,1
職業別その他自由業,100.0,50.0,60.0,30.0,50.0,10.0,20.0,10.0,-,-,20.0,-,10.0,10.0,-,-,10.0
職業別お勤め（計）,103,39,48,35,17,6,8,8,1,5,14,13,3,3,2,32,3
職業別お勤め（計）,100.0,37.9,46.6,34.0,16.5,5.8,7.8,7.8,1.0,4.9,13.6,12.6,2.9,2.9,1.9,31.1,2.9
職業別経営・管理職,17,6,6,3,3,2,1,2,1,1,1,2,1,1,1,7,-
職業別経営・管理職,100.0,35.3,35.3,17.6,17.6,11.8,5.9,11.8,5.9,5.9,5.9,11.8,5.9,5.9,5.9,41.2,-
職業別専門職・技術職,35,9,18,17,9,3,4,5,-,-,8,6,2,2,1,11,-
職業別専門職・技術職,100.0,25.7,51.4,48.6,25.7,8.6,11.4,14.3,-,-,22.9,17.1,5.7,5.7,2.9,31.4,-
職業別事務職,22,10,12,6,2,-,2,1,-,-,1,2,-,-,-,7,1
職業別事務職,100.0,45.5,54.5,27.3,9.1,-,9.1,4.5,-,-,4.5,9.1,-,-,-,31.8,4.5
職業別労務職・技能職,12,7,5,5,1,-,-,-,-,2,2,1,-,-,-,1,1
職業別労務職・技能職,100.0,58.3,41.7,41.7,8.3,-,-,-,-,16.7,16.7,8.3,-,-,-,8.3,8.3
職業別販売・サービス職,17,7,7,4,2,1,1,-,-,2,2,2,-,-,-,6,1
職業別販売・サービス職,100.0,41.2,41.2,23.5,11.8,5.9,5.9,-,-,11.8,11.8,11.8,-,-,-,35.3,5.9
職業別その他（計）,67,23,35,18,15,4,6,7,2,2,8,3,3,4,3,24,-
職業別その他（計）,100.0,34.3,52.2,26.9,22.4,6.0,9.0,10.4,3.0,3.0,11.9,4.5,4.5,6.0,4.5,35.8,-
職業別学生,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
職業別学生,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,-
職業別専業主婦（夫）,23,8,13,5,8,2,2,2,-,-,2,1,1,2,-,9,-
職業別専業主婦（夫）,100.0,34.8,56.5,21.7,34.8,8.7,8.7,8.7,-,-,8.7,4.3,4.3,8.7,-,39.1,-
職業別その他,6,1,3,-,1,1,3,2,1,-,1,1,-,1,-,2,-
職業別その他,100.0,16.7,50.0,-,16.7,16.7,50.0,33.3,16.7,-,16.7,16.7,-,16.7,-,33.3,-
職業別無職（年金受給者含む）,37,14,19,13,6,1,1,3,1,2,5,1,2,1,3,12,-
職業別無職（年金受給者含む）,100.0,37.8,51.4,35.1,16.2,2.7,2.7,8.1,2.7,5.4,13.5,2.7,5.4,2.7,8.1,32.4,-
投票所までの時間別５分以内,87,35,40,24,18,5,9,5,2,3,12,5,2,4,3,27,2
投票所までの時間別５分以内,100.0,40.2,46.0,27.6,20.7,5.7,10.3,5.7,2.3,3.4,13.8,5.7,2.3,4.6,3.4,31.0,2.3
投票所までの時間別10分以内,78,21,34,18,12,3,5,10,1,2,10,4,4,4,1,32,1
投票所までの時間別10分以内,100.0,26.9,43.6,23.1,15.4,3.8,6.4,12.8,1.3,2.6,12.8,5.1,5.1,5.1,1.3,41.0,1.3
投票所までの時間別20分以内,13,6,6,3,3,1,1,-,-,-,1,2,1,-,1,3,1
投票所までの時間別20分以内,100.0,46.2,46.2,23.1,23.1,7.7,7.7,-,-,-,7.7,15.4,7.7,-,7.7,23.1,7.7
投票所までの時間別30分以内,13,8,11,13,5,2,2,1,-,2,3,4,-,-,-,-,-
投票所までの時間別30分以内,100.0,61.5,84.6,100.0,38.5,15.4,15.4,7.7,-,15.4,23.1,30.8,-,-,-,-,-
投票所までの時間別30分を超える,4,1,2,1,1,-,-,-,-,-,-,1,-,-,-,1,-
投票所までの時間別30分を超える,100.0,25.0,50.0,25.0,25.0,-,-,-,-,-,-,25.0,-,-,-,25.0,-
地域別区部（計）,165,62,76,48,34,9,15,10,3,7,23,13,6,8,5,55,3
地域別区部（計）,100.0,37.6,46.1,29.1,20.6,5.5,9.1,6.1,1.8,4.2,13.9,7.9,3.6,4.8,3.0,33.3,1.8
地域別センターコア,45,20,30,21,12,3,6,5,-,1,9,7,3,5,-,12,-
地域別センターコア,100.0,44.4,66.7,46.7,26.7,6.7,13.3,11.1,-,2.2,20.0,15.6,6.7,11.1,-,26.7,-
地域別区部東部・北部エリア,48,16,19,13,8,4,6,4,3,5,6,4,2,3,1,17,-
地域別区部東部・北部エリア,100.0,33.3,39.6,27.1,16.7,8.3,12.5,8.3,6.3,10.4,12.5,8.3,4.2,6.3,2.1,35.4,-
地域別区部西部・南部エリア,72,26,27,14,14,2,3,1,-,1,8,2,1,-,4,26,3
地域別区部西部・南部エリア,100.0,36.1,37.5,19.4,19.4,2.8,4.2,1.4,-,1.4,11.1,2.8,1.4,-,5.6,36.1,4.2
地域別市郡部（計）,30,9,17,11,5,2,2,6,-,-,3,3,1,-,-,8,1
地域別市郡部（計）,100.0,30.0,56.7,36.7,16.7,6.7,6.7,20.0,-,-,10.0,10.0,3.3,-,-,26.7,3.3
地域別多摩東部エリア,9,4,6,4,-,-,-,2,-,-,1,1,1,-,-,2,-
地域別多摩東部エリア,100.0,44.4,66.7,44.4,-,-,-,22.2,-,-,11.1,11.1,11.1,-,-,22.2,-
地域別多摩中央部北エリア,6,2,2,1,-,1,1,2,-,-,-,-,-,-,-,3,-
地域別多摩中央部北エリア,100.0,33.3,33.3,16.7,-,16.7,16.7,33.3,-,-,-,-,-,-,-,50.0,-
地域別多摩中央部南エリア,15,3,9,6,5,1,1,2,-,-,2,2,-,-,-,3,1
地域別多摩中央部南エリア,100.0,20.0,60.0,40.0,33.3,6.7,6.7,13.3,-,-,13.3,13.3,-,-,-,20.0,6.7
地域別多摩西部エリア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
地域別多摩西部エリア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別関心があった（計）,147,56,74,49,30,9,11,13,1,5,21,13,6,6,4,46,3
選挙への関心度別関心があった（計）,100.0,38.1,50.3,33.3,20.4,6.1,7.5,8.8,0.7,3.4,14.3,8.8,4.1,4.1,2.7,31.3,2.0
選挙への関心度別関心があった,88,32,45,31,16,6,4,9,1,4,13,6,2,4,1,30,-
選挙への関心度別関心があった,100.0,36.4,51.1,35.2,18.2,6.8,4.5,10.2,1.1,4.5,14.8,6.8,2.3,4.5,1.1,34.1,-
選挙への関心度別やや関心があった,59,24,29,18,14,3,7,4,-,1,8,7,4,2,3,16,3
選挙への関心度別やや関心があった,100.0,40.7,49.2,30.5,23.7,5.1,11.9,6.8,-,1.7,13.6,11.9,6.8,3.4,5.1,27.1,5.1
選挙への関心度別関心がなかった（計）,22,11,9,5,4,1,4,2,1,1,3,1,1,1,-,5,1
選挙への関心度別関心がなかった（計）,100.0,50.0,40.9,22.7,18.2,4.5,18.2,9.1,4.5,4.5,13.6,4.5,4.5,4.5,-,22.7,4.5
選挙への関心度別あまり関心がなかった,12,5,6,3,3,1,2,1,1,1,3,1,1,1,-,3,1
選挙への関心度別あまり関心がなかった,100.0,41.7,50.0,25.0,25.0,8.3,16.7,8.3,8.3,8.3,25.0,8.3,8.3,8.3,-,25.0,8.3
選挙への関心度別関心がなかった,10,6,3,2,1,-,2,1,-,-,-,-,-,-,-,2,-
選挙への関心度別関心がなかった,100.0,60.0,30.0,20.0,10.0,-,20.0,10.0,-,-,-,-,-,-,-,20.0,-
選挙への関心度別どちらともいえない,26,4,10,5,5,1,2,1,1,1,2,2,-,1,1,12,-
選挙への関心度別どちらともいえない,100.0,15.4,38.5,19.2,19.2,3.8,7.7,3.8,3.8,3.8,7.7,7.7,-,3.8,3.8,46.2,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
投票への意識別必ず投票するべき,82,30,44,29,15,5,6,11,2,1,11,9,3,4,1,27,-
投票への意識別必ず投票するべき,100.0,36.6,53.7,35.4,18.3,6.1,7.3,13.4,2.4,1.2,13.4,11.0,3.7,4.9,1.2,32.9,-
