,調査数,投開票速報及び結果,小選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）,比例代表の情報（名簿届出政党等一覧、選挙公報）,国民審査の情報（審査に付される裁判官の氏名、国民審査公報）,期日前投票所一覧、開票所一覧,東京都選挙管理委員会のツイッター,衆議院議員選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後のアップロード予定,衆議院議員選挙メッセージツリーイベントサイト,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,衆議院議員選挙投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない,無回答
全体実数,427,140,142,126,46,96,23,37,7,11,39,43,8,23,1,174,15
全体（％）,100.0,32.8,33.3,29.5,10.8,22.5,5.4,8.7,1.6,2.6,9.1,10.1,1.9,5.4,0.2,40.7,3.5
性別男性実数,214,64,86,73,26,50,13,20,5,7,20,20,5,13,1,84,8
性別男性（％）,100.0,29.9,40.2,34.1,12.1,23.4,6.1,9.3,2.3,3.3,9.3,9.3,2.3,6.1,0.5,39.3,3.7
性別女性実数,213,76,56,53,20,46,10,17,2,4,19,23,3,10,-,90,7
性別女性（％）,100.0,35.7,26.3,24.9,9.4,21.6,4.7,8.0,0.9,1.9,8.9,10.8,1.4,4.7,-,42.3,3.3
年齢別20歳代実数,33,17,10,10,4,9,3,4,1,1,2,8,2,3,-,8,2
年齢別20歳代（％）,100.0,51.5,30.3,30.3,12.1,27.3,9.1,12.1,3.0,3.0,6.1,24.2,6.1,9.1,-,24.2,6.1
年齢別30歳代実数,53,21,19,15,4,15,6,8,1,2,4,9,1,1,-,18,2
年齢別30歳代（％）,100.0,39.6,35.8,28.3,7.5,28.3,11.3,15.1,1.9,3.8,7.5,17.0,1.9,1.9,-,34.0,3.8
年齢別40歳代実数,87,27,34,33,12,22,6,6,2,2,4,8,1,6,-,35,2
年齢別40歳代（％）,100.0,31.0,39.1,37.9,13.8,25.3,6.9,6.9,2.3,2.3,4.6,9.2,1.1,6.9,-,40.2,2.3
年齢別50歳代実数,76,21,27,24,7,13,3,6,1,1,7,7,1,4,-,33,1
年齢別50歳代（％）,100.0,27.6,35.5,31.6,9.2,17.1,3.9,7.9,1.3,1.3,9.2,9.2,1.3,5.3,-,43.4,1.3
年齢別60歳代実数,86,27,24,22,9,18,3,7,2,4,16,10,2,5,1,40,4
年齢別60歳代（％）,100.0,31.4,27.9,25.6,10.5,20.9,3.5,8.1,2.3,4.7,18.6,11.6,2.3,5.8,1.2,46.5,4.7
年齢別70歳代実数,75,22,22,18,9,14,1,3,-,1,5,1,1,4,-,34,4
年齢別70歳代（％）,100.0,29.3,29.3,24.0,12.0,18.7,1.3,4.0,-,1.3,6.7,1.3,1.3,5.3,-,45.3,5.3
年齢別80歳以上実数,17,5,6,4,1,5,1,3,-,-,1,-,-,-,-,6,-
年齢別80歳以上（％）,100.0,29.4,35.3,23.5,5.9,29.4,5.9,17.6,-,-,5.9,-,-,-,-,35.3,-
性/年齢別男性20歳代実数,15,6,3,4,1,3,2,2,1,1,1,2,1,2,-,5,2
性/年齢別男性20歳代（％）,100.0,40.0,20.0,26.7,6.7,20.0,13.3,13.3,6.7,6.7,6.7,13.3,6.7,13.3,-,33.3,13.3
