,参議院議員選挙／調査数,参議院議員選挙／投票した（計）,参議院議員選挙／投票日（7月10日）に投票した,参議院議員選挙／期日前投票（又は不在者投票等）をした,参議院議員選挙／投票しなかった,参議院議員選挙／答えたくない,東京都知事選挙／調査数,東京都知事選挙／投票した（計）,東京都知事選挙／投票日（7月31日）に投票した,東京都知事選挙／期日前投票（又は不在者投票等）をした,東京都知事選挙／投票しなかった,東京都知事選挙／答えたくない
全体,1823,1435,1226,209,377,11,1823,1491,1254,237,321,11
全体,100.0,78.7,67.3,11.5,20.7,0.6,100.0,81.8,68.8,13.0,17.6,0.6
性別男性,852,673,582,91,173,6,852,696,593,103,150,6
性別男性,100.0,79.0,68.3,10.7,20.3,0.7,100.0,81.7,69.6,12.1,17.6,0.7
性別女性,971,762,644,118,204,5,971,795,661,134,171,5
性別女性,100.0,78.5,66.3,12.2,21.0,0.5,100.0,81.9,68.1,13.8,17.6,0.5
年齢別18歳,7,6,5,1,1,-,7,6,5,1,1,-
年齢別18歳,100.0,85.7,71.4,14.3,14.3,-,100.0,85.7,71.4,14.3,14.3,-
年齢別19歳,20,10,9,1,10,-,20,11,10,1,9,-
年齢別19歳,100.0,50.0,45.0,5.0,50.0,-,100.0,55.0,50.0,5.0,45.0,-
年齢別20歳代,164,88,69,19,75,1,164,95,72,23,68,1
年齢別20歳代,100.0,53.7,42.1,11.6,45.7,0.6,100.0,57.9,43.9,14.0,41.5,0.6
年齢別30歳代,257,199,172,27,58,-,257,210,174,36,47,-
年齢別30歳代,100.0,77.4,66.9,10.5,22.6,-,100.0,81.7,67.7,14.0,18.3,-
年齢別40歳代,398,327,277,50,68,3,398,337,281,56,59,2
年齢別40歳代,100.0,82.2,69.6,12.6,17.1,0.8,100.0,84.7,70.6,14.1,14.8,0.5
年齢別50歳代,311,260,228,32,47,4,311,266,225,41,41,4
年齢別50歳代,100.0,83.6,73.3,10.3,15.1,1.3,100.0,85.5,72.3,13.2,13.2,1.3
年齢別60歳代,337,296,255,41,40,1,337,305,264,41,30,2
年齢別60歳代,100.0,87.8,75.7,12.2,11.9,0.3,100.0,90.5,78.3,12.2,8.9,0.6
年齢別70歳代,231,185,158,27,45,1,231,196,169,27,34,1
年齢別70歳代,100.0,80.1,68.4,11.7,19.5,0.4,100.0,84.8,73.2,11.7,14.7,0.4
年齢別80歳以上,98,64,53,11,33,1,98,65,54,11,32,1
年齢別80歳以上,100.0,65.3,54.1,11.2,33.7,1.0,100.0,66.3,55.1,11.2,32.7,1.0
性/年齢別男性18歳,1,1,1,-,-,-,1,1,1,-,-,-
性/年齢別男性18歳,100.0,100.0,100.0,-,-,-,100.0,100.0,100.0,-,-,-
性/年齢別男性19歳,12,8,8,-,4,-,12,8,8,-,4,-
性/年齢別男性19歳,100.0,66.7,66.7,-,33.3,-,100.0,66.7,66.7,-,33.3,-
性/年齢別男性20歳代,83,37,33,4,45,1,83,42,34,8,40,1
性/年齢別男性20歳代,100.0,44.6,39.8,4.8,54.2,1.2,100.0,50.6,41.0,9.6,48.2,1.2
性/年齢別男性30歳代,122,93,80,13,29,-,122,100,83,17,22,-
性/年齢別男性30歳代,100.0,76.2,65.6,10.7,23.8,-,100.0,82.0,68.0,13.9,18.0,-
性/年齢別男性40歳代,170,141,120,21,27,2,170,146,124,22,23,1
性/年齢別男性40歳代,100.0,82.9,70.6,12.4,15.9,1.2,100.0,85.9,72.9,12.9,13.5,0.6
性/年齢別男性50歳代,152,128,111,17,22,2,152,130,109,21,20,2
性/年齢別男性50歳代,100.0,84.2,73.0,11.2,14.5,1.3,100.0,85.5,71.7,13.8,13.2,1.3
性/年齢別男性60歳代,157,142,124,18,14,1,157,142,123,19,13,2
性/年齢別男性60歳代,100.0,90.4,79.0,11.5,8.9,0.6,100.0,90.4,78.3,12.1,8.3,1.3
性/年齢別男性70歳代,107,92,79,13,15,-,107,95,84,11,12,-
性/年齢別男性70歳代,100.0,86.0,73.8,12.1,14.0,-,100.0,88.8,78.5,10.3,11.2,-
性/年齢別男性80歳以上,48,31,26,5,17,-,48,32,27,5,16,-
性/年齢別男性80歳以上,100.0,64.6,54.2,10.4,35.4,-,100.0,66.7,56.3,10.4,33.3,-
性/年齢別女性18歳,6,5,4,1,1,-,6,5,4,1,1,-
性/年齢別女性18歳,100.0,83.3,66.7,16.7,16.7,-,100.0,83.3,66.7,16.7,16.7,-
性/年齢別女性19歳,8,2,1,1,6,-,8,3,2,1,5,-
性/年齢別女性19歳,100.0,25.0,12.5,12.5,75.0,-,100.0,37.5,25.0,12.5,62.5,-
性/年齢別女性20歳代,81,51,36,15,30,-,81,53,38,15,28,-
性/年齢別女性20歳代,100.0,63.0,44.4,18.5,37.0,-,100.0,65.4,46.9,18.5,34.6,-
性/年齢別女性30歳代,135,106,92,14,29,-,135,110,91,19,25,-
性/年齢別女性30歳代,100.0,78.5,68.1,10.4,21.5,-,100.0,81.5,67.4,14.1,18.5,-
性/年齢別女性40歳代,228,186,157,29,41,1,228,191,157,34,36,1
性/年齢別女性40歳代,100.0,81.6,68.9,12.7,18.0,0.4,100.0,83.8,68.9,14.9,15.8,0.4
性/年齢別女性50歳代,159,132,117,15,25,2,159,136,116,20,21,2
性/年齢別女性50歳代,100.0,83.0,73.6,9.4,15.7,1.3,100.0,85.5,73.0,12.6,13.2,1.3
性/年齢別女性60歳代,180,154,131,23,26,-,180,163,141,22,17,-
