,調査数,必ず投票するべき,可能な限り投票するべき,投票するのもしないのも自由,その他,わからない,無回答
全体,2011,609,845,473,8,62,14
全体,100.0,30.3,42.0,23.5,0.4,3.1,0.7
性別男性,950,304,376,227,4,28,11
性別男性,100.0,32.0,39.6,23.9,0.4,2.9,1.2
性別女性,1061,305,469,246,4,34,3
性別女性,100.0,28.7,44.2,23.2,0.4,3.2,0.3
年齢20歳代,295,17,120,134,3,18,3
年齢20歳代,100.0,5.8,40.7,45.4,1.0,6.1,1.0
年齢30歳代,355,61,171,107,1,13,2
年齢30歳代,100.0,17.2,48.2,30.1,0.3,3.7,0.6
年齢40歳代,398,114,173,100,1,9,1
年齢40歳代,100.0,28.6,43.5,25.1,0.3,2.3,0.3
年齢50歳代,293,115,122,47,2,6,1
年齢50歳代,100.0,39.2,41.6,16.0,0.7,2.0,0.3
年齢60歳代,327,147,130,44,ー,4,2
年齢60歳代,100.0,45.0,39.8,13.5,ー,1.2,0.6
年齢70歳代,232,119,78,24,ー,7,4
年齢70歳代,100.0,51.3,33.6,10.3,ー,3.0,1.7
年齢80歳以上,90,30,40,14,1,5,ー
年齢80歳以上,100.0,33.3,44.4,15.6,1.1,5.6,ー
性／年齢別男性20歳代,143,10,54,67,1,8,3
性／年齢別男性20歳代,100.0,7.0,37.8,46.9,0.7,5.6,2.1
性／年齢別男性30歳代,153,25,75,47,ー,5,1
性／年齢別男性30歳代,100.0,16.3,49.0,30.7,ー,3.3,0.7
性／年齢別男性40歳代,176,52,71,45,1,6,1
性／年齢別男性40歳代,100.0,29.5,40.3,25.6,0.6,3.4,0.6
性／年齢別男性50歳代,148,60,59,24,1,3,1
性／年齢別男性50歳代,100.0,40.5,39.9,16.2,0.7,2.0,0.7
性／年齢別男性60歳代,169,79,61,25,ー,2,2
性／年齢別男性60歳代,100.0,46.7,36.1,14.8,ー,1.2,1.2
性／年齢別男性70歳代,118,62,36,13,ー,4,3
性／年齢別男性70歳代,100.0,52.5,30.5,11.0,ー,3.4,2.5
性／年齢別男性80歳以上,39,14,19,5,1,ー,ー
性／年齢別男性80歳以上,100.0,35.9,48.7,12.8,2.6,ー,ー
性／年齢別女性20歳代,152,7,66,67,2,10,ー
性／年齢別女性20歳代,100.0,4.6,43.4,44.1,1.3,6.6,ー
性／年齢別女性30歳代,202,36,96,60,1,8,1
性／年齢別女性30歳代,100.0,17.8,47.5,29.7,0.5,4.0,0.5
性／年齢別女性40歳代,222,62,102,55,ー,3,ー
性／年齢別女性40歳代,100.0,27.9,45.9,24.8,ー,1.4,ー
性／年齢別女性50歳代,145,55,63,23,1,3,ー
性／年齢別女性50歳代,100.0,37.9,43.4,15.9,0.7,2.1,ー
性／年齢別女性60歳代,158,68,69,19,ー,2,ー
性／年齢別女性60歳代,100.0,43.0,43.7,12.0,ー,1.3,ー
