質問,n,ニュースサイトや選挙情報サイト(%),候補者等のホームページ・ブログ(%),まとめサイトや電子掲示板などその他のサイト(%),候補者等のツイッター・フェイスブック等のSNS(%),候補者以外のホームページ・ブログ(%),YouTubeなど動画共有サイトでの選挙関連の動画(%),候補者以外のツイッター・フェイスブック等のSNS(%),候補者等からのメール(%)
全体,(197),69.5,43.1,21.3,18.8,18.8,15.7,14.7,2.5
性別男性,(108),73.1,46.3,24.1,19.4,22.2,14.8,15.7,3.7
性別女性,(89),65.2,39.3,18.0,18.0,14.6,16.9,13.5,1.1
年齢別20歳代,(23),69.6,34.8,43.5,4.3,30.4,8.7,17.4,0
年齢別30歳代,(56),75.0,44.6,25.0,23.2,17.9,21.4,21.4,1.8
年齢別40歳代,(56),80.4,35.7,19.6,17.9,17.9,7.1,12.5,0
年齢別50歳代,(32),56.3,40.6,18.8,28.1,18.8,31.3,9.4,9.4
年齢別60歳代,(22),59.1,63.6,4.5,9.1,13.6,9.1,13.6,0
年齢別70歳代,(6),16.7,66.7,0,16.7,16.7,16.7,0,16.7
年齢別80歳以上,(1),100.0,100.0,0,100.0,0,0,0,0
