,参議院議員選挙/調査数,参議院議員選挙/男性,参議院議員選挙/女性,東京都知事選挙/調査数,東京都知事選挙/男性,東京都知事選挙/女性
全体,1823,852,971,1823,852,971
全体,100.0,46.7,53.3,100.0,46.7,53.3
性別男性,852,852,-,852,852,-
性別男性,100.0,100.0,-,100.0,100.0,-
性別女性,971,-,971,971,-,971
性別女性,100.0,-,100.0,100.0,-,100.0
年齢別18歳,7,1,6,7,1,6
年齢別18歳,100.0,14.3,85.7,100.0,14.3,85.7
年齢別19歳,20,12,8,20,12,8
年齢別19歳,100.0,60.0,40.0,100.0,60.0,40.0
年齢別20歳代,164,83,81,164,83,81
年齢別20歳代,100.0,50.6,49.4,100.0,50.6,49.4
年齢別30歳代,257,122,135,257,122,135
年齢別30歳代,100.0,47.5,52.5,100.0,47.5,52.5
年齢別40歳代,398,170,228,398,170,228
年齢別40歳代,100.0,42.7,57.3,100.0,42.7,57.3
年齢別50歳代,311,152,159,311,152,159
年齢別50歳代,100.0,48.9,51.1,100.0,48.9,51.1
年齢別60歳代,337,157,180,337,157,180
年齢別60歳代,100.0,46.6,53.4,100.0,46.6,53.4
年齢別70歳代,231,107,124,231,107,124
年齢別70歳代,100.0,46.3,53.7,100.0,46.3,53.7
年齢別80歳以上,98,48,50,98,48,50
年齢別80歳以上,100.0,49.0,51.0,100.0,49.0,51.0
性/年齢別男性18歳,1,1,-,1,1,-
性/年齢別男性18歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性19歳,12,12,-,12,12,-
性/年齢別男性19歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性20歳代,83,83,-,83,83,-
性/年齢別男性20歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性30歳代,122,122,-,122,122,-
性/年齢別男性30歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性40歳代,170,170,-,170,170,-
性/年齢別男性40歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性50歳代,152,152,-,152,152,-
性/年齢別男性50歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性60歳代,157,157,-,157,157,-
性/年齢別男性60歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性70歳代,107,107,-,107,107,-
性/年齢別男性70歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性80歳以上,48,48,-,48,48,-
性/年齢別男性80歳以上,100.0,100.0,-,100.0,100.0,-
性/年齢別女性18歳,6,-,6,6,-,6
性/年齢別女性18歳,100.0,-,100.0,100.0,-,100.0
性/年齢別女性19歳,8,-,8,8,-,8
性/年齢別女性19歳,100.0,-,100.0,100.0,-,100.0
性/年齢別女性20歳代,81,-,81,81,-,81
性/年齢別女性20歳代,100.0,-,100.0,100.0,-,100.0
性/年齢別女性30歳代,135,-,135,135,-,135
性/年齢別女性30歳代,100.0,-,100.0,100.0,-,100.0
性/年齢別女性40歳代,228,-,228,228,-,228
性/年齢別女性40歳代,100.0,-,100.0,100.0,-,100.0
性/年齢別女性50歳代,159,-,159,159,-,159
性/年齢別女性50歳代,100.0,-,100.0,100.0,-,100.0
性/年齢別女性60歳代,180,-,180,180,-,180
性/年齢別女性60歳代,100.0,-,100.0,100.0,-,100.0
性/年齢別女性70歳代,124,-,124,124,-,124
性/年齢別女性70歳代,100.0,-,100.0,100.0,-,100.0
性/年齢別女性80歳以上,50,-,50,50,-,50
性/年齢別女性80歳以上,100.0,-,100.0,100.0,-,100.0
未・既婚別未婚,344,176,168,344,176,168
未・既婚別未婚,100.0,51.2,48.8,100.0,51.2,48.8
未・既婚別既婚（死別・離別を含む）,1479,676,803,1479,676,803
未・既婚別既婚（死別・離別を含む）,100.0,45.7,54.3,100.0,45.7,54.3
子供の有無別子供はいない,404,210,194,404,210,194
子供の有無別子供はいない,100.0,52.0,48.0,100.0,52.0,48.0
子供の有無別未就学（～６歳）,114,53,61,114,53,61
子供の有無別未就学（～６歳）,100.0,46.5,53.5,100.0,46.5,53.5
子供の有無別小・中・高校生,394,170,224,394,170,224
子供の有無別小・中・高校生,100.0,43.1,56.9,100.0,43.1,56.9
子供の有無別大学生・大学院生・短大生・専門学校生,144,65,79,144,65,79
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,45.1,54.9,100.0,45.1,54.9
子供の有無別学校教育終了,791,369,422,791,369,422
子供の有無別学校教育終了,100.0,46.6,53.4,100.0,46.6,53.4
子供の有無別その他,60,23,37,60,23,37
子供の有無別その他,100.0,38.3,61.7,100.0,38.3,61.7
職業別自営業（計）,133,103,30,133,103,30
職業別自営業（計）,100.0,77.4,22.6,100.0,77.4,22.6
職業別農林漁業,1,1,-,1,1,-
職業別農林漁業,100.0,100.0,-,100.0,100.0,-
職業別商工・サービス業,42,31,11,42,31,11
職業別商工・サービス業,100.0,73.8,26.2,100.0,73.8,26.2
職業別その他自由業,90,71,19,90,71,19
職業別その他自由業,100.0,78.9,21.1,100.0,78.9,21.1
職業別お勤め（計）,821,487,334,821,487,334
職業別お勤め（計）,100.0,59.3,40.7,100.0,59.3,40.7
職業別経営・管理職,74,68,6,74,68,6
職業別経営・管理職,100.0,91.9,8.1,100.0,91.9,8.1
職業別専門職・技術職,196,159,37,196,159,37
職業別専門職・技術職,100.0,81.1,18.9,100.0,81.1,18.9
職業別事務職,221,96,125,221,96,125
職業別事務職,100.0,43.4,56.6,100.0,43.4,56.6
職業別労務職・技能職,61,54,7,61,54,7
職業別労務職・技能職,100.0,88.5,11.5,100.0,88.5,11.5
職業別販売・サービス職,269,110,159,269,110,159
職業別販売・サービス職,100.0,40.9,59.1,100.0,40.9,59.1
職業別その他（計）,869,262,607,869,262,607
職業別その他（計）,100.0,30.1,69.9,100.0,30.1,69.9
職業別生徒・学生,47,29,18,47,29,18
職業別生徒・学生,100.0,61.7,38.3,100.0,61.7,38.3
職業別専業主婦（夫）,395,1,394,395,1,394
職業別専業主婦（夫）,100.0,0.3,99.7,100.0,0.3,99.7
職業別その他,25,13,12,25,13,12
職業別その他,100.0,52.0,48.0,100.0,52.0,48.0
職業別無職（年金受給者含む）,402,219,183,402,219,183
職業別無職（年金受給者含む）,100.0,54.5,45.5,100.0,54.5,45.5
投票所までの時間別５分以内,433,216,217,433,216,217
投票所までの時間別５分以内,100.0,49.9,50.1,100.0,49.9,50.1
投票所までの時間別10分以内,1067,498,569,1067,498,569
投票所までの時間別10分以内,100.0,46.7,53.3,100.0,46.7,53.3
投票所までの時間別20分以内,288,126,162,288,126,162
投票所までの時間別20分以内,100.0,43.8,56.3,100.0,43.8,56.3
投票所までの時間別30分以内,21,7,14,21,7,14
投票所までの時間別30分以内,100.0,33.3,66.7,100.0,33.3,66.7
投票所までの時間別30分を超える,3,-,3,3,-,3
投票所までの時間別30分を超える,100.0,-,100.0,100.0,-,100.0
投票所までの時間別わからない,11,5,6,11,5,6
投票所までの時間別わからない,100.0,45.5,54.5,100.0,45.5,54.5
地域別区部（計）,1381,643,738,1381,643,738
地域別区部（計）,100.0,46.6,53.4,100.0,46.6,53.4
地域別センターコア,388,176,212,388,176,212
地域別センターコア,100.0,45.4,54.6,100.0,45.4,54.6
地域別区部東部・北部エリア,398,183,215,398,183,215
地域別区部東部・北部エリア,100.0,46.0,54.0,100.0,46.0,54.0
地域別区部西部・南部エリア,595,284,311,595,284,311
地域別区部西部・南部エリア,100.0,47.7,52.3,100.0,47.7,52.3
地域別市郡部（計）,442,209,233,442,209,233
地域別市郡部（計）,100.0,47.3,52.7,100.0,47.3,52.7
地域別多摩東部エリア,132,59,73,132,59,73
地域別多摩東部エリア,100.0,44.7,55.3,100.0,44.7,55.3
地域別多摩中央部北エリア,70,37,33,70,37,33
地域別多摩中央部北エリア,100.0,52.9,47.1,100.0,52.9,47.1
地域別多摩中央部南エリア,201,96,105,201,96,105
地域別多摩中央部南エリア,100.0,47.8,52.2,100.0,47.8,52.2
地域別多摩西部エリア,39,17,22,39,17,22
地域別多摩西部エリア,100.0,43.6,56.4,100.0,43.6,56.4
選挙への関心度別関心があった（計）,1283,644,639,1424,683,741
選挙への関心度別関心があった（計）,100.0,50.2,49.8,100.0,48.0,52.0
選挙への関心度別関心があった,633,360,273,769,419,350
選挙への関心度別関心があった,100.0,56.9,43.1,100.0,54.5,45.5
選挙への関心度別やや関心があった,650,284,366,655,264,391
選挙への関心度別やや関心があった,100.0,43.7,56.3,100.0,40.3,59.7
選挙への関心度別関心がなかった（計）,227,98,129,175,76,99
選挙への関心度別関心がなかった（計）,100.0,43.2,56.8,100.0,43.4,56.6
選挙への関心度別あまり関心がなかった,125,49,76,89,36,53
選挙への関心度別あまり関心がなかった,100.0,39.2,60.8,100.0,40.4,59.6
選挙への関心度別関心がなかった,102,49,53,86,40,46
選挙への関心度別関心がなかった,100.0,48.0,52.0,100.0,46.5,53.5
選挙への関心度別どちらともいえない,298,103,195,209,86,123
