,調査数,新聞,雑誌,ラジオ,テレビ,パソコンでのインターネット,携帯電話・スマートフォン・タブレット等でのインターネット,その他,特にない,無回答
全体実数,1827,1063,316,323,1538,716,665,14,24,8
全体（％）,100.0,58.2,17.3,17.7,84.2,39.2,36.4,0.8,1.3,0.4
性別男性実数,882,522,171,179,721,406,306,6,10,2
性別男性（％）,100.0,59.2,19.4,20.3,81.7,46.0,34.7,0.7,1.1,0.2
性別女性実数,945,541,145,144,817,310,359,8,14,6
性別女性（％）,100.0,57.2,15.3,15.2,86.5,32.8,38.0,0.8,1.5,0.6
年齢別20歳代実数,174,56,31,7,128,94,136,1,2,-
年齢別20歳代（％）,100.0,32.2,17.8,4.0,73.6,54.0,78.2,0.6,1.1,-
年齢別30歳代実数,261,81,46,35,198,142,177,1,6,2
年齢別30歳代（％）,100.0,31.0,17.6,13.4,75.9,54.4,67.8,0.4,2.3,0.8
年齢別40歳代実数,365,185,66,61,301,227,198,-,2,2
年齢別40歳代（％）,100.0,50.7,18.1,16.7,82.5,62.2,54.2,-,0.5,0.5
年齢別50歳代実数,294,194,68,64,255,136,100,3,2,1
年齢別50歳代（％）,100.0,66.0,23.1,21.8,86.7,46.3,34.0,1.0,0.7,0.3
年齢別60歳代実数,313,235,65,76,285,88,41,5,5,-
年齢別60歳代（％）,100.0,75.1,20.8,24.3,91.1,28.1,13.1,1.6,1.6,-
年齢別70歳代実数,296,225,30,58,260,26,13,4,6,2
年齢別70歳代（％）,100.0,76.0,10.1,19.6,87.8,8.8,4.4,1.4,2.0,0.7
年齢別80歳以上実数,124,87,10,22,111,3,-,-,1,1
年齢別80歳以上（％）,100.0,70.2,8.1,17.7,89.5,2.4,-,-,0.8,0.8
性/年齢別男性20歳代実数,92,31,15,7,70,53,65,-,1,-
性/年齢別男性20歳代（％）,100.0,33.7,16.3,7.6,76.1,57.6,70.7,-,1.1,-
性/年齢別男性30歳代実数,118,37,20,22,84,74,80,1,2,2
性/年齢別男性30歳代（％）,100.0,31.4,16.9,18.6,71.2,62.7,67.8,0.8,1.7,1.7
性/年齢別男性40歳代実数,174,84,38,34,138,118,88,-,-,-
性/年齢別男性40歳代（％）,100.0,48.3,21.8,19.5,79.3,67.8,50.6,-,-,-
性/年齢別男性50歳代実数,161,98,41,43,138,86,53,1,1,-
性/年齢別男性50歳代（％）,100.0,60.9,25.5,26.7,85.7,53.4,32.9,0.6,0.6,-
性/年齢別男性60歳代実数,153,121,34,35,133,56,15,4,4,-
性/年齢別男性60歳代（％）,100.0,79.1,22.2,22.9,86.9,36.6,9.8,2.6,2.6,-
性/年齢別男性70歳代実数,134,112,16,26,114,17,5,-,2,-
性/年齢別男性70歳代（％）,100.0,83.6,11.9,19.4,85.1,12.7,3.7,-,1.5,-
性/年齢別男性80歳以上実数,50,39,7,12,44,2,-,-,-,-
性/年齢別男性80歳以上（％）,100.0,78.0,14.0,24.0,88.0,4.0,-,-,-,-
性/年齢別女性20歳代実数,82,25,16,-,58,41,71,1,1,-
性/年齢別女性20歳代（％）,100.0,30.5,19.5,-,70.7,50.0,86.6,1.2,1.2,-
性/年齢別女性30歳代実数,143,44,26,13,114,68,97,-,4,-
性/年齢別女性30歳代（％）,100.0,30.8,18.2,9.1,79.7,47.6,67.8,-,2.8,-
性/年齢別女性40歳代実数,191,101,28,27,163,109,110,-,2,2
性/年齢別女性40歳代（％）,100.0,52.9,14.7,14.1,85.3,57.1,57.6,-,1.0,1.0
性/年齢別女性50歳代実数,133,96,27,21,117,50,47,2,1,1
