,参議院議員選挙／調査数,参議院議員選挙／選挙期間に入る前から（6月21日以前）,参議院議員選挙／投票するまでの選挙期間中（投票した日を除く）,参議院議員選挙／投票した日当日,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／選挙期間に入る前から（7月13日以前）,東京都知事選挙／投票するまでの選挙期間中（投票した日を除く）,東京都知事選挙／投票した日当日,東京都知事選挙／わからない、忘れた
全体,209,59,135,14,1,237,67,152,18,-
全体,100.0,28.2,64.6,6.7,0.5,100.0,28.3,64.1,7.6,-
性別男性,91,27,59,5,-,103,31,63,9,-
性別男性,100.0,29.7,64.8,5.5,-,100.0,30.1,61.2,8.7,-
性別女性,118,32,76,9,1,134,36,89,9,-
性別女性,100.0,27.1,64.4,7.6,0.8,100.0,26.9,66.4,6.7,-
年齢別18歳,1,-,1,-,-,1,-,1,-,-
年齢別18歳,100.0,-,100.0,-,-,100.0,-,100.0,-,-
年齢別19歳,1,-,-,1,-,1,-,-,1,-
年齢別19歳,100.0,-,-,100.0,-,100.0,-,-,100.0,-
年齢別20歳代,19,5,11,3,-,23,4,14,5,-
年齢別20歳代,100.0,26.3,57.9,15.8,-,100.0,17.4,60.9,21.7,-
年齢別30歳代,27,4,19,4,-,36,9,23,4,-
年齢別30歳代,100.0,14.8,70.4,14.8,-,100.0,25.0,63.9,11.1,-
年齢別40歳代,50,13,34,3,-,56,14,38,4,-
年齢別40歳代,100.0,26.0,68.0,6.0,-,100.0,25.0,67.9,7.1,-
年齢別50歳代,32,12,20,-,-,41,14,25,2,-
年齢別50歳代,100.0,37.5,62.5,-,-,100.0,34.1,61.0,4.9,-
年齢別60歳代,41,10,27,3,1,41,13,26,2,-
年齢別60歳代,100.0,24.4,65.9,7.3,2.4,100.0,31.7,63.4,4.9,-
年齢別70歳代,27,10,17,-,-,27,8,19,-,-
年齢別70歳代,100.0,37.0,63.0,-,-,100.0,29.6,70.4,-,-
年齢別80歳以上,11,5,6,-,-,11,5,6,-,-
年齢別80歳以上,100.0,45.5,54.5,-,-,100.0,45.5,54.5,-,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,-,-,-,-,-,-,-,-,-,-
性/年齢別男性20歳代,4,-,4,-,-,8,1,5,2,-
性/年齢別男性20歳代,100.0,-,100.0,-,-,100.0,12.5,62.5,25.0,-
性/年齢別男性30歳代,13,1,10,2,-,17,4,11,2,-
性/年齢別男性30歳代,100.0,7.7,76.9,15.4,-,100.0,23.5,64.7,11.8,-
性/年齢別男性40歳代,21,6,13,2,-,22,7,13,2,-
性/年齢別男性40歳代,100.0,28.6,61.9,9.5,-,100.0,31.8,59.1,9.1,-
性/年齢別男性50歳代,17,6,11,-,-,21,8,12,1,-
性/年齢別男性50歳代,100.0,35.3,64.7,-,-,100.0,38.1,57.1,4.8,-
性/年齢別男性60歳代,18,5,12,1,-,19,6,11,2,-
性/年齢別男性60歳代,100.0,27.8,66.7,5.6,-,100.0,31.6,57.9,10.5,-
性/年齢別男性70歳代,13,6,7,-,-,11,2,9,-,-
性/年齢別男性70歳代,100.0,46.2,53.8,-,-,100.0,18.2,81.8,-,-
性/年齢別男性80歳以上,5,3,2,-,-,5,3,2,-,-
