,ｎ,さほど効果や影響があるとは思わない（％）,候補者等の政策や人柄について、これまでより簡単に大量の情報を得ることができた（％）,選挙に関する情報がリアルタイムで得ることができた（％）,ビラやはがきが減った（％）,,,,
全体,1516,29.1,20.4,17.1,12.6,,,,
性別男性,706,27.5,25.1,21.2,14.7,,,,
性別女性,810,30.5,16.4,13.5,10.7,,,,
年齢別18歳,6,50.0,50.0,-,-,,,,
年齢別19歳,11,45.5,36.4,9.1,-,,,,
年齢別20歳代,97,36.1,25.8,24.7,10.3,,,,
年齢別30歳代,214,25.7,34.6,27.1,16.8,,,,
年齢別40歳代,345,28.1,29.3,28.4,18.3,,,,
年齢別50歳代,272,34.2,18.8,15.8,11.4,,,,
年齢別60歳代,309,30.4,10.4,8.4,10.0,,,,
年齢別70歳代,197,24.9,8.1,4.1,8.1,,,,
年齢別80歳以上,65,15.4,6.2,1.5,6.2,,,,
