,調査数,知っている,知らなかった,無回答
全体,2011,1291,645,75
全体,100.0,64.2,32.1,3.7
地域別区部（計）,1392,852,495,45
地域別区部（計）,100.0,61.2,35.6,3.2
地域別センターコア,372,213,151,8
地域別センターコア,100.0,57.3,40.6,2.2
地域別区部東部・北部エリア,408,258,147,3
地域別区部東部・北部エリア,100.0,63.2,36.0,0.7
地域別区部西部・南部エリア,612,381,197,34
地域別区部西部・南部エリア,100.0,62.3,32.2,5.6
地域別市郡部（計）,619,439,150,30
地域別市郡部（計）,100.0,70.9,24.2,4.8
地域別多摩東部エリア,235,156,61,18
地域別多摩東部エリア,100.0,66.4,26.0,7.7
地域別多摩中央部北エリア,88,63,23,2
地域別多摩中央部北エリア,100.0,71.6,26.1,2.3
地域別多摩中央部南エリア,261,197,56,8
地域別多摩中央部南エリア,100.0,75.5,21.5,3.1
地域別多摩西部エリア,35,23,10,2
地域別多摩西部エリア,100.0,65.7,28.6,5.7
選挙への関心度別関心があった（計）,1170,831,310,29
選挙への関心度別関心があった（計）,100.0,71.0,26.5,2.5
選挙への関心度別関心があった,636,469,153,14
選挙への関心度別関心があった,100.0,73.7,24.1,2.2
選挙への関心度別やや関心があった,534,362,157,15
選挙への関心度別やや関心があった,100.0,67.8,29.4,2.8
選挙への関心度別関心がなかった（計）,533,280,228,25
選挙への関心度別関心がなかった（計）,100.0,52.5,42.8,4.7
選挙への関心度別あまり関心がなかった,316,186,117,13
選挙への関心度別あまり関心がなかった,100.0,58.9,37.0,4.1
選挙への関心度別関心がなかった,217,94,111,12
選挙への関心度別関心がなかった,100.0,43.3,51.2,5.5
選挙への関心度別どちらともいえない,298,179,99,20
選挙への関心度別どちらともいえない,100.0,60.1,33.2,6.7
選挙への関心度別わからない、答えたくない,10,1,8,1
選挙への関心度別わからない、答えたくない,100.0,10.0,80.0,10.0
投票への意識別必ず投票するべき,609,447,148,14
投票への意識別必ず投票するべき,100.0,73.4,24.3,2.3
投票への意識別可能な限り投票するべき,845,572,252,21
投票への意識別可能な限り投票するべき,100.0,67.7,29.8,2.5
投票への意識別投票するのもしないのも自由,473,237,203,33
投票への意識別投票するのもしないのも自由,100.0,50.1,42.9,7.0
投票への意識別その他,8,3,5,-
投票への意識別その他,100.0,37.5,62.5,-
投票への意識別わからない,62,24,31,7
投票への意識別わからない,100.0,38.7,50.0,11.3
投票への参加状況別投票した（計）,999,733,242,24
投票への参加状況別投票した（計）,100.0,73.4,24.2,2.4
投票への参加状況別投票日（２月９日）に投票した,827,606,200,21
投票への参加状況別投票日（２月１０日）に投票した,100.0,73.3,24.2,2.5
投票への参加状況別期日前投票（又は不在者投票等）をした,172,127,42,3
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,73.8,24.4,1.7
投票への参加状況別投票しなかった,963,539,375,49
投票への参加状況別投票しなかった,100.0,56.0,38.9,5.1
投票への参加状況別答えたくない,42,15,25,2
投票への参加状況別答えたくない,100.0,35.7,59.5,4.8
ネット投票の認知度別知っている,1291,1291,-,-
ネット投票の認知度別知っている,100.0,100.0,-,-
ネット投票の認知度別知らなかった,645,-,645,-
ネット投票の認知度別知らなかった,100.0,-,100.0,-
インターネットの利用有無別インターネットを利用している,1176,864,311,1
インターネットの利用有無別インターネットを利用している,100.0,73.5,26.4,0.1
インターネットの利用有無別インターネットを利用していない,832,427,332,73
インターネットの利用有無別インターネットを利用していない,100.0,51.3,39.9,8.8
新聞の定期購読別定期購読している,1206,837,314,55
新聞の定期購読別定期購読している,100.0,69.4,26.0,4.6
新聞の定期購読別定期購読していない,796,449,328,19
新聞の定期購読別定期購読していない,100.0,56.4,41.2,2.4
