質問,n,電車・バス・駅構内、庁舎・公共施設等でのポスター(%),テレビ、電車内、駅中のモニター、街中の大型モニター、QBハウス内モニター、コンビニレジ画面での動画広告放映(%),選挙広報用の新聞広告(%),区市町村の広報車(%),都、区市町村の広報誌(%),区市町村の公報掲示板(%),見たり聞いたりしたものはない(%),わからない、忘れた(%)
全体,(2011),30.2,27.5,15.0,11.1,8.8,6.4,19.2,23.7
性別男性,(950),32.4,27.9,16.5,11.3,9.8,7.2,19.4,20.8
性別女性,(1061),28.3,27.2,13.6,10.9,7.8,5.7,19.1,26.3
年齢別20歳代,(295),27.5,18.3,4.4,8.1,1.7,2.4,22.7,38.6
年齢別30歳代,(355),36.6,31.0,10.1,11.0,8.2,5.1,18.3,22.0
年齢別40歳代,(398),34.4,28.9,16.6,11.3,9.3,5.3,17.6,20.9
年齢別50歳代,(293),32.1,31.7,19.5,11.3,10.9,7.5,18.1,17.7
年齢別60歳代,(327),29.1,24.2,19.6,13.8,12.2,9.5,16.5,20.2
年齢別70歳代,(232),20.3,28.0,17.7,11.2,9.9,9.1,22.8,25.4
年齢別80歳以上,(90),17.8,36.7,22.2,6.7,7.8,7.8,24.4,22.2
