質問,n,利用した(%),知っているが利用していない(%),知らない(%),わからない(%),無回答(%),知っている(計)(%)
全体,(2011),2.3,7.4,79.9,9.6,0.8,9.7
性別男性,(950),2.8,8.0,79.8,8.5,0.8,10.8
性別女性,(1061),1.8,6.9,79.9,10.6,0.8,8.7
年齢別20歳代,(295),1.4,3.4,89.5,5.4,0.3,4.7
年齢別30歳代,(355),3.1,7.9,81.7,6.5,0.8,11.0
年齢別40歳代,(398),1.8,8.0,80.9,8.5,0.8,9.8
年齢別50歳代,(293),3.8,10.2,78.2,6.8,1.0,14.0
年齢別60歳代,(327),1.5,9.5,78.9,9.5,0.6,11.0
年齢別70歳代,(232),2.6,6.0,69.8,20.3,1.3,8.6
年齢別80歳以上,(90),1.1,3.3,72.2,23.3,0,4.4
職業別自営業,(174),3.4,10.3,76.4,9.2,0.6,13.8
職業別勤め人,(981),2.2,8.3,82.5,6.5,0.5,10.5
職業別学生,(53),1.9,0,92.5,3.8,1.9,1.9
職業別専業主婦(夫),(391),2.0,3.8,81.6,11.8,0.8,5.9
職業別その他,(62),0,9.7,75.8,14.5,0,9.7
職業別無職,(335),2.7,8.4,71.0,16.4,1.5,11.0
