,調査数,未婚,既婚（死別・離別を含む）,無回答
全体実数,1827,453,1366,8
全体（％）,100.0,24.8,74.8,0.4
性別男性実数,882,256,620,6
性別男性（％）,100.0,29.0,70.3,0.7
性別女性実数,945,197,746,2
性別女性（％）,100.0,20.8,78.9,0.2
年齢別20歳代実数,174,144,30,-
年齢別20歳代（％）,100.0,82.8,17.2,-
年齢別30歳代実数,261,109,151,1
年齢別30歳代（％）,100.0,41.8,57.9,0.4
年齢別40歳代実数,365,97,267,1
年齢別40歳代（％）,100.0,26.6,73.2,0.3
年齢別50歳代実数,294,57,235,2
年齢別50歳代（％）,100.0,19.4,79.9,0.7
年齢別60歳代実数,313,32,281,-
年齢別60歳代（％）,100.0,10.2,89.8,-
年齢別70歳代実数,296,12,281,3
年齢別70歳代（％）,100.0,4.1,94.9,1.0
年齢別80歳以上実数,124,2,121,1
年齢別80歳以上（％）,100.0,1.6,97.6,0.8
性/年齢別男性20歳代実数,92,79,13,-
性/年齢別男性20歳代（％）,100.0,85.9,14.1,-
性/年齢別男性30歳代実数,118,61,56,1
性/年齢別男性30歳代（％）,100.0,51.7,47.5,0.8
性/年齢別男性40歳代実数,174,54,119,1
性/年齢別男性40歳代（％）,100.0,31.0,68.4,0.6
性/年齢別男性50歳代実数,161,38,121,2
性/年齢別男性50歳代（％）,100.0,23.6,75.2,1.2
性/年齢別男性60歳代実数,153,19,134,-
性/年齢別男性60歳代（％）,100.0,12.4,87.6,-
性/年齢別男性70歳代実数,134,5,127,2
性/年齢別男性70歳代（％）,100.0,3.7,94.8,1.5
性/年齢別男性80歳以上実数,50,-,50,-
性/年齢別男性80歳以上（％）,100.0,-,100.0,-
性/年齢別女性20歳代実数,82,65,17,-
性/年齢別女性20歳代（％）,100.0,79.3,20.7,-
性/年齢別女性30歳代実数,143,48,95,-
性/年齢別女性30歳代（％）,100.0,33.6,66.4,-
性/年齢別女性40歳代実数,191,43,148,-
性/年齢別女性40歳代（％）,100.0,22.5,77.5,-
性/年齢別女性50歳代実数,133,19,114,-
性/年齢別女性50歳代（％）,100.0,14.3,85.7,-
性/年齢別女性60歳代実数,160,13,147,-
性/年齢別女性60歳代（％）,100.0,8.1,91.9,-
性/年齢別女性70歳代実数,162,7,154,1
性/年齢別女性70歳代（％）,100.0,4.3,95.1,0.6
性/年齢別女性80歳以上実数,74,2,71,1
性/年齢別女性80歳以上（％）,100.0,2.7,95.9,1.4
未・既婚別未婚実数,453,453,-,-
未・既婚別未婚（％）,100.0,100.0,-,-
未・既婚別既婚（死別・離別を含む）実数,1366,-,1366,-
未・既婚別既婚（死別・離別を含む）（％）,100.0,-,100.0,-
子供の有無別子供はいない実数,642,444,197,1
子供の有無別子供はいない（％）,100.0,69.2,30.7,0.2
子供の有無別未就学（～６歳）実数,180,2,178,-
子供の有無別未就学（～６歳）（％）,100.0,1.1,98.9,-
子供の有無別小・中・高校生実数,270,3,267,-
子供の有無別小・中・高校生（％）,100.0,1.1,98.9,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,1,105,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,0.9,99.1,-
子供の有無別学校教育終了実数,743,3,737,3
子供の有無別学校教育終了（％）,100.0,0.4,99.2,0.4
子供の有無別その他実数,7,-,7,-
子供の有無別その他（％）,100.0,-,100.0,-
職業別自営業（計）実数,152,33,119,-
職業別自営業（計）（％）,100.0,21.7,78.3,-
職業別農林漁業実数,3,1,2,-
職業別農林漁業（％）,100.0,33.3,66.7,-
職業別商工・サービス業実数,96,18,78,-
職業別商工・サービス業（％）,100.0,18.8,81.3,-
職業別その他自由業実数,53,14,39,-
職業別その他自由業（％）,100.0,26.4,73.6,-
職業別お勤め（計）実数,934,317,615,2
職業別お勤め（計）（％）,100.0,33.9,65.8,0.2
職業別経営・管理職実数,94,6,88,-
職業別経営・管理職（％）,100.0,6.4,93.6,-
職業別専門職・技術職実数,243,74,169,-
職業別専門職・技術職（％）,100.0,30.5,69.5,-
職業別事務職実数,249,95,154,-
