,調査数,男性,女性
全体,2011,950,1061
全体,100.0,47.2,52.8
性別男性,950,950,-
性別男性,100.0,100.0,-
性別女性,1061,-,1061
性別女性,100.0,-,100.0
年齢20歳代,295,143,152
年齢20歳代,100.0,48.5,51.5
年齢30歳代,355,153,202
年齢30歳代,100.0,43.1,56.9
年齢40歳代,398,176,222
年齢40歳代,100.0,44.2,55.8
年齢50歳代,293,148,145
年齢50歳代,100.0,50.5,49.5
年齢60歳代,327,169,158
年齢60歳代,100.0,51.7,48.3
年齢70歳代,232,118,114
年齢70歳代,100.0,50.9,49.1
年齢80歳以上,90,39,51
年齢80歳以上,100.0,43.3,56.7
性／年齢別男性20歳代,143,143,-
性／年齢別男性20歳代,100.0,100.0,-
性／年齢別男性30歳代,153,153,-
性／年齢別男性30歳代,100.0,100.0,-
性／年齢別男性40歳代,176,176,-
性／年齢別男性40歳代,100.0,100.0,-
性／年齢別男性50歳代,148,148,-
性／年齢別男性50歳代,100.0,100.0,-
性／年齢別男性60歳代,169,169,-
性／年齢別男性60歳代,100.0,100.0,-
性／年齢別男性70歳代,118,118,-
性／年齢別男性70歳代,100.0,100.0,-
性／年齢別男性80歳以上,39,39,-
性／年齢別男性80歳以上,100.0,100.0,-
性／年齢別女性20歳代,152,-,152
性／年齢別女性20歳代,100.0,-,100.0
性／年齢別女性30歳代,202,-,202
性／年齢別女性30歳代,100.0,-,100.0
性／年齢別女性40歳代,222,-,222
性／年齢別女性40歳代,100.0,-,100.0
性／年齢別女性50歳代,145,-,145
性／年齢別女性50歳代,100.0,-,100.0
性／年齢別女性60歳代,158,-,158
性／年齢別女性60歳代,100.0,-,100.0
性／年齢別女性70歳代,114,-,114
性／年齢別女性70歳代,100.0,-,100.0
性／年齢別女性80歳以上,51,-,51
性／年齢別女性80歳以上,100.0,-,100.0
未・既婚別未婚（死別・離別を含む）,801,382,419
未・既婚別未婚（死別・離別を含む）,100.0,47.7,52.3
未・既婚別既婚,1188,553,635
未・既婚別既婚,100.0,46.5,53.5
子供の有無別子供はいない,779,398,381
子供の有無別子供はいない,100.0,51.1,48.9
子供の有無別未就学（～６歳）,155,60,95
子供の有無別未就学（～６歳）,100.0,38.7,61.3
子供の有無別小・中・高校生,320,122,198
子供の有無別小・中・高校生,100.0,38.1,61.9
子供の有無別大学生・大学院生・短大生・専門学校生,92,39,53
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,42.4,57.6
子供の有無別学校教育終了,671,318,353
子供の有無別学校教育終了,100.0,47.4,52.6
子供の有無別その他,11,5,6
子供の有無別その他,100.0,45.5,54.5
職業別自営業（計）,174,119,55
職業別自営業（計）,100.0,68.4,31.6
職業別農林漁業,2,2,-
職業別農林漁業,100.0,100.0,-
職業別商工・サービス業,71,46,25
職業別商工・サービス業,100.0,64.8,35.2
職業別その他自由業,101,71,30
職業別その他自由業,100.0,70.3,29.7
職業別お勤め（計）,981,579,402
職業別お勤め（計）,100.0,59.0,41.0
職業別経営・管理職,109,93,16
職業別経営・管理職,100.0,85.3,14.7
職業別専門職・技術職,261,199,62
職業別専門職・技術職,100.0,76.2,23.8
職業別事務職,305,98,207
職業別事務職,100.0,32.1,67.9
職業別労務職・技能職,89,83,6
職業別労務職・技能職,100.0,93.3,6.7
職業別販売・サービス職,217,106,111
職業別販売・サービス職,100.0,48.8,51.2
職業別その他（計）,841,241,600
職業別その他（計）,100.0,28.7,71.3
職業別学生,53,23,30
職業別学生,100.0,43.4,56.6
職業別専業主婦（夫）,391,6,385
職業別専業主婦（夫）,100.0,1.5,98.5
職業別その他,62,17,45
職業別その他,100.0,27.4,72.6
職業別無職（年金受給者含む）,335,195,140
職業別無職（年金受給者含む）,100.0,58.2,41.8
投票所までの時間別５分以内,636,312,324
投票所までの時間別５分以内,100.0,49.1,50.9
投票所までの時間別10分以内,1060,478,582
投票所までの時間別10分以内,100.0,45.1,54.9
投票所までの時間別20分以内,221,109,112
投票所までの時間別20分以内,100.0,49.3,50.7
投票所までの時間別30分以内,50,25,25
投票所までの時間別30分以内,100.0,50.0,50.0
投票所までの時間別30分を超える,26,15,11
投票所までの時間別30分を超える,100.0,57.7,42.3
地域別区部（計）,1392,635,757
地域別区部（計）,100.0,45.6,54.4
地域別センターコア,372,178,194
地域別センターコア,100.0,47.8,52.2
地域別区部東部・北部エリア,408,189,219
地域別区部東部・北部エリア,100.0,46.3,53.7
地域別区部西部・南部エリア,612,268,344
地域別区部西部・南部エリア,100.0,43.8,56.2
地域別市郡部（計）,619,315,304
地域別市郡部（計）,100.0,50.9,49.1
地域別多摩東部エリア,235,113,122
地域別多摩東部エリア,100.0,48.1,51.9
地域別多摩中央部北エリア,88,41,47
地域別多摩中央部北エリア,100.0,46.6,53.4
地域別多摩中央部南エリア,261,141,120
地域別多摩中央部南エリア,100.0,54.0,46.0
地域別多摩西部エリア,35,20,15
地域別多摩西部エリア,100.0,57.1,42.9
選挙への関心度別関心があった（計）,1170,556,614
選挙への関心度別関心があった（計）,100.0,47.5,52.5
選挙への関心度別関心があった,636,315,321
選挙への関心度別関心があった,100.0,49.5,50.5
選挙への関心度別やや関心があった,534,241,293
選挙への関心度別やや関心があった,100.0,45.1,54.9
選挙への関心度別関心がなかった（計）,533,234,299
選挙への関心度別関心がなかった（計）,100.0,43.9,56.1
選挙への関心度別あまり関心がなかった,316,126,190
選挙への関心度別あまり関心がなかった,100.0,39.9,60.1
選挙への関心度別関心がなかった,217,108,109
選挙への関心度別関心がなかった,100.0,49.8,50.2
選挙への関心度別どちらともいえない,298,156,142
選挙への関心度別どちらともいえない,100.0,52.3,47.7
選挙への関心度別わからない、答えたくない,10,4,6
選挙への関心度別わからない、答えたくない,100.0,40.0,60.0
投票への意識別必ず投票するべき,609,304,305
投票への意識別必ず投票するべき,100.0,49.9,50.1
投票への意識別可能な限り投票するべき,845,376,469
投票への意識別可能な限り投票するべき,100.0,44.5,55.5
投票への意識別投票するのもしないのも自由,473,227,246
投票への意識別投票するのもしないのも自由,100.0,48.0,52.0
投票への意識別その他,8,4,4
投票への意識別その他,100.0,50.0,50.0
投票への意識別わからない,62,28,34
投票への意識別わからない,100.0,45.2,54.8
投票への参加状況別投票した（計）,999,485,514
投票への参加状況別投票した（計）,100.0,48.5,51.5
投票への参加状況別投票日（２月９日）に投票した,827,396,431
投票への参加状況別投票日（２月１０日）に投票した,100.0,47.9,52.1
投票への参加状況別期日前投票（又は不在者投票等）をした,172,89,83
投票への参加状況別期日前投票（又は不在者投票等）をした,100.0,51.7,48.3
投票への参加状況別投票しなかった,963,436,527
投票への参加状況別投票しなかった,100.0,45.3,54.7
投票への参加状況別答えたくない,42,24,18
投票への参加状況別答えたくない,100.0,57.1,42.9
ネット投票の認知度別知っている,1291,642,649
ネット投票の認知度別知っている,100.0,49.7,50.3
ネット投票の認知度別知らなかった,645,272,373
ネット投票の認知度別知らなかった,100.0,42.2,57.8
インターネットの利用有無別インターネットを利用している,1176,560,616
インターネットの利用有無別インターネットを利用している,100.0,47.6,52.4
インターネットの利用有無別インターネットを利用していない,832,389,443
インターネットの利用有無別インターネットを利用していない,100.0,46.8,53.2
新聞の定期購読別定期購読している,1206,574,632
新聞の定期購読別定期購読している,100.0,47.6,52.4
新聞の定期購読別定期購読していない,796,371,425
新聞の定期購読別定期購読していない,100.0,46.6,53.4
