区分,基数,構成比の地域別内訳センター,構成比の地域別内訳東部北部,構成比の地域別内訳西部南部,構成比の地域別内訳多摩東部,構成比の地域別内訳多摩中央北,構成比の地域別内訳多摩中央南,構成比の地域別内訳多摩西部,構成比の地域別内訳区部計,構成比の地域別内訳市郡部計
全体実数,1823,388,398,595,132,70,201,39,1381,442
全体構成比(%),100.0,21.3,21.8,32.6,7.2,3.8,11.0,2.1,75.8,24.2
地域別1.センター・コア・エリア実数,388,388,-,-,-,-,-,-,388,-
地域別1.センター・コア・エリア構成比(%),100.0,100.0,-,-,-,-,-,-,100.0,-
地域別2.区部東部・北部エリア実数,398,-,398,-,-,-,-,-,398,-
地域別2.区部東部・北部エリア構成比(%),100.0,-,100.0,-,-,-,-,-,100.0,-
地域別3.区部西部・南部エリア実数,595,-,-,595,-,-,-,-,595,-
地域別3.区部西部・南部エリア構成比(%),100.0,-,-,100.0,-,-,-,-,100.0,-
地域別区部(計)実数,1381,388,398,595,-,-,-,-,1381,-
地域別区部(計)構成比(%),100.0,28.1,28.8,43.1,-,-,-,-,100.0,-
地域別4.多摩東部エリア実数,132,-,-,-,132,-,-,-,-,132
地域別4.多摩東部エリア構成比(%),100.0,-,-,-,100.0,-,-,-,-,100.0
地域別5.多摩中央部北エリア実数,70,-,-,-,-,70,-,-,-,70
地域別5.多摩中央部北エリア構成比(%),100.0,-,-,-,-,100.0,-,-,-,100.0
地域別6.多摩中央部南エリア実数,201,-,-,-,-,-,201,-,-,201
地域別6.多摩中央部南エリア構成比(%),100.0,-,-,-,-,-,100.0,-,-,100.0
地域別7.多摩西部エリア実数,39,-,-,-,-,-,-,39,-,39
地域別7.多摩西部エリア構成比(%),100.0,-,-,-,-,-,-,100.0,-,100.0
地域別市郡部(計)実数,442,-,-,-,132,70,201,39,-,442
地域別市郡部(計)構成比(%),100.0,-,-,-,29.9,15.8,45.5,8.8,-,100.0
性別男性実数,852,176,183,284,59,37,96,17,643,209
性別男性構成比(%),100.0,20.7,21.5,33.3,6.9,4.3,11.3,2.0,75.5,24.5
性別女性実数,971,212,215,311,73,33,105,22,738,233
性別女性構成比(%),100.0,21.8,22.1,32.0,7.5,3.4,10.8,2.3,76.0,24.0
年齢別18歳実数,7,1,2,1,1,-,1,1,4,3
年齢別18歳構成比(%),100.0,14.3,28.6,14.3,14.3,-,14.3,14.3,57.1,42.9
年齢別19歳実数,20,1,6,6,1,-,5,1,13,7
年齢別19歳構成比(%),100.0,5.0,30.0,30.0,5.0,-,25.0,5.0,65.0,35.0
年齢別20歳代実数,164,16.5,28.0,33.5,7.9,4.3,7.9,1.8,78.0,22.0
年齢別20歳代構成比(%),100.0,16.5,28.0,33.5,7.9,4.3,7.9,1.8,78.0,22.0
年齢別(20～24歳)実数,72,9,26,19,6,3,6,3,54,18
年齢別(20～24歳)構成比(%),100.0,12.5,36.1,26.4,8.3,4.2,8.3,4.2,75.0,25.0
年齢別(25～29歳)実数,92,18,20,36,7,4,7,-,74,18
年齢別(25～29歳)構成比(%),100.0,19.6,21.7,39.1,7.6,4.3,7.6,-,80.4,19.6
年齢別30歳代実数,257,68,52,100,11,6,17,3,220,37
年齢別30歳代構成比(%),100.0,26.5,20.2,38.9,4.3,2.3,6.6,1.2,85.6,14.4
年齢別40歳代実数,398,102,79,144,28,15,26,4,325,73
年齢別40歳代構成比(%),100.0,25.6,19.8,36.2,7.0,3.8,6.5,1.0,81.7,18.3
年齢別50歳代実数,311,55,57,112,26,14,36,11,224,87
年齢別50歳代構成比(%),100.0,17.7,18.3,36.0,8.4,4.5,11.6,3.5,72.0,28.0
年齢別60歳代実数,337,65,81,98,24,11,50,8,244,93
年齢別60歳代構成比(%),100.0,19.3,24.0,29.1,7.1,3.3,14.8,2.4,72.4,27.6
年齢別70歳代実数,231,45,54,56,18,13,40,5,155,76
年齢別70歳代構成比(%),100.0,19.5,23.4,24.2,7.8,5.6,17.3,2.2,67.1,32.9
年齢別80歳以上実数,98,24,21,23,10,4,13,3,68,30
年齢別80歳以上構成比(%),100.0,24.5,21.4,23.5,10.2,4.1,13.3,3.1,69.4,30.6
性・年齢別男性18歳実数,1,-,1,-,-,-,-,-,1,-
性・年齢別男性18歳構成比(%),100.0,-,100.0,-,-,-,-,-,100.0,-
性・年齢別男性19歳実数,12,1,3,3,1,-,4,-,7,5
性・年齢別男性19歳構成比(%),100.0,8.3,25.0,25.0,8.3,-,33.3,-,-,-
性・年齢別男性20歳代実数,83,18,22,28,5,2,7,1,68,15
性・年齢別男性20歳代構成比(%),100.0,21.7,26.5,33.7,6.0,2.4,8.4,1.2,-,-
性・年齢別男性30歳代実数,122,30,23,51,6,4,7,1,104,18
性・年齢別男性30歳代構成比(%),100.0,24.6,18.9,41.8,4.9,3.3,5.7,0.8,-,-
性・年齢別男性40歳代実数,170,45,32,60,8,10,13,2,137,33
性・年齢別男性40歳代構成比(%),100.0,26.5,18.8,35.3,4.7,5.9,7.6,1.2,-,-
