,参議院議員選挙／調査数,参議院議員選挙／政党を重視,参議院議員選挙／候補者個人を重視した,参議院議員選挙／どちらともいえない,参議院議員選挙／わからない,東京都知事選挙／調査数,東京都知事選挙／政党を重視,東京都知事選挙／候補者個人を重視した,東京都知事選挙／どちらともいえない,東京都知事選挙／わからない
全体,1435,638,628,159,10,1491,208,1176,98,9
全体,100.0,44.5,43.8,11.1,0.7,100.0,14.0,78.9,6.6,0.6
性別男性,673,309,300,61,3,696,109,546,38,3
性別男性,100.0,45.9,44.6,9.1,0.4,100.0,15.7,78.4,5.5,0.4
性別女性,762,329,328,98,7,795,99,630,60,6
性別女性,100.0,43.2,43.0,12.9,0.9,100.0,12.5,79.2,7.5,0.8
年齢別18歳,6,1,4,1,-,6,1,4,1,-
年齢別18歳,100.0,16.7,66.7,16.7,-,100.0,16.7,66.7,16.7,-
年齢別19歳,10,3,4,3,-,11,-,7,4,-
年齢別19歳,100.0,30.0,40.0,30.0,-,100.0,-,63.6,36.4,-
年齢別20歳代,88,30,39,17,2,95,6,76,11,2
年齢別20歳代,100.0,34.1,44.3,19.3,2.3,100.0,6.3,80.0,11.6,2.1
年齢別30歳代,199,72,95,31,1,210,21,168,20,1
年齢別30歳代,100.0,36.2,47.7,15.6,0.5,100.0,10.0,80.0,9.5,0.5
年齢別40歳代,327,128,158,41,-,337,33,287,17,-
年齢別40歳代,100.0,39.1,48.3,12.5,-,100.0,9.8,85.2,5.0,-
年齢別50歳代,260,114,118,27,1,266,34,215,17,-
年齢別50歳代,100.0,43.8,45.4,10.4,0.4,100.0,12.8,80.8,6.4,-
年齢別60歳代,296,144,122,27,3,305,43,240,19,3
年齢別60歳代,100.0,48.6,41.2,9.1,1.0,100.0,14.1,78.7,6.2,1.0
年齢別70歳代,185,107,67,9,2,196,44,144,6,2
年齢別70歳代,100.0,57.8,36.2,4.9,1.1,100.0,22.4,73.5,3.1,1.0
年齢別80歳以上,64,39,21,3,1,65,26,35,3,1
年齢別80歳以上,100.0,60.9,32.8,4.7,1.6,100.0,40.0,53.8,4.6,1.5
性/年齢別男性18歳,1,-,1,-,-,1,-,1,-,-
性/年齢別男性18歳,100.0,-,100.0,-,-,100.0,-,100.0,-,-
性/年齢別男性19歳,8,3,3,2,-,8,-,6,2,-
性/年齢別男性19歳,100.0,37.5,37.5,25.0,-,100.0,-,75.0,25.0,-
性/年齢別男性20歳代,37,14,14,8,1,42,3,35,3,1
性/年齢別男性20歳代,100.0,37.8,37.8,21.6,2.7,100.0,7.1,83.3,7.1,2.4
性/年齢別男性30歳代,93,32,51,10,-,100,12,78,10,-
性/年齢別男性30歳代,100.0,34.4,54.8,10.8,-,100.0,12.0,78.0,10.0,-
性/年齢別男性40歳代,141,59,71,11,-,146,14,126,6,-
性/年齢別男性40歳代,100.0,41.8,50.4,7.8,-,100.0,9.6,86.3,4.1,-
性/年齢別男性50歳代,128,55,59,14,-,130,17,105,8,-
性/年齢別男性50歳代,100.0,43.0,46.1,10.9,-,100.0,13.1,80.8,6.2,-
