,調査数,子供はいない,未就学（～6歳）,小・中・高校生,大学生・大学院生・短大生・専門学校生,学校教育終了,その他,無回答
全体実数,1827,642,180,270,106,743,7,12
全体（％）,100.0,35.1,9.9,14.8,5.8,40.7,0.4,0.7
性別男性実数,882,334,86,124,50,334,5,8
性別男性（％）,100.0,37.9,9.8,14.1,5.7,37.9,0.6,0.9
性別女性実数,945,308,94,146,56,409,2,4
性別女性（％）,100.0,32.6,9.9,15.4,5.9,43.3,0.2,0.4
年齢別20歳代実数,174,154,19,1,1,-,-,-
年齢別20歳代（％）,100.0,88.5,10.9,0.6,0.6,-,-,-
年齢別30歳代実数,261,144,89,48,-,-,-,1
年齢別30歳代（％）,100.0,55.2,34.1,18.4,-,-,-,0.4
年齢別40歳代実数,365,149,67,155,31,13,-,3
年齢別40歳代（％）,100.0,40.8,18.4,42.5,8.5,3.6,-,0.8
年齢別50歳代実数,294,94,5,62,65,116,2,2
年齢別50歳代（％）,100.0,32.0,1.7,21.1,22.1,39.5,0.7,0.7
年齢別60歳代実数,313,51,-,4,8,248,5,3
年齢別60歳代（％）,100.0,16.3,-,1.3,2.6,79.2,1.6,1.0
年齢別70歳代実数,296,37,-,-,-,257,-,2
年齢別70歳代（％）,100.0,12.5,-,-,-,86.8,-,0.7
年齢別80歳以上実数,124,13,-,-,1,109,-,1
年齢別80歳以上（％）,100.0,10.5,-,-,0.8,87.9,-,0.8
性/年齢別男性20歳代実数,92,82,10,-,-,-,-,-
性/年齢別男性20歳代（％）,100.0,89.1,10.9,-,-,-,-,-
性/年齢別男性30歳代実数,118,75,33,14,-,-,-,1
性/年齢別男性30歳代（％）,100.0,63.6,28.0,11.9,-,-,-,0.8
性/年齢別男性40歳代実数,174,73,38,65,9,6,-,1
性/年齢別男性40歳代（％）,100.0,42.0,21.8,37.4,5.2,3.4,-,0.6
性/年齢別男性50歳代実数,161,56,5,41,34,52,1,2
性/年齢別男性50歳代（％）,100.0,34.8,3.1,25.5,21.1,32.3,0.6,1.2
性/年齢別男性60歳代実数,153,27,-,4,6,116,4,2
性/年齢別男性60歳代（％）,100.0,17.6,-,2.6,3.9,75.8,2.6,1.3
性/年齢別男性70歳代実数,134,15,-,-,-,118,-,1
性/年齢別男性70歳代（％）,100.0,11.2,-,-,-,88.1,-,0.7
性/年齢別男性80歳以上実数,50,6,-,-,1,42,-,1
性/年齢別男性80歳以上（％）,100.0,12.0,-,-,2.0,84.0,-,2.0
性/年齢別女性20歳代実数,82,72,9,1,1,-,-,-
性/年齢別女性20歳代（％）,100.0,87.8,11.0,1.2,1.2,-,-,-
性/年齢別女性30歳代実数,143,69,56,34,-,-,-,-
性/年齢別女性30歳代（％）,100.0,48.3,39.2,23.8,-,-,-,-
性/年齢別女性40歳代実数,191,76,29,90,22,7,-,2
性/年齢別女性40歳代（％）,100.0,39.8,15.2,47.1,11.5,3.7,-,1.0
性/年齢別女性50歳代実数,133,38,-,21,31,64,1,-
性/年齢別女性50歳代（％）,100.0,28.6,-,15.8,23.3,48.1,0.8,-
性/年齢別女性60歳代実数,160,24,-,-,2,132,1,1
性/年齢別女性60歳代（％）,100.0,15.0,-,-,1.3,82.5,0.6,0.6
性/年齢別女性70歳代実数,162,22,-,-,-,139,-,1
性/年齢別女性70歳代（％）,100.0,13.6,-,-,-,85.8,-,0.6
性/年齢別女性80歳以上実数,74,7,-,-,-,67,-,-
性/年齢別女性80歳以上（％）,100.0,9.5,-,-,-,90.5,-,-
未・既婚別未婚実数,453,444,2,3,1,3,-,-
未・既婚別未婚（％）,100.0,98.0,0.4,0.7,0.2,0.7,-,-
未・既婚別既婚（死別・離別を含む）実数,1366,197,178,267,105,737,7,8
未・既婚別既婚（死別・離別を含む）（％）,100.0,14.4,13.0,19.5,7.7,54.0,0.5,0.6
子供の有無別子供はいない実数,642,642,-,-,-,-,-,-
子供の有無別子供はいない（％）,100.0,100.0,-,-,-,-,-,-
子供の有無別未就学（～６歳）実数,180,-,180,51,1,2,-,-
子供の有無別未就学（～６歳）（％）,100.0,-,100.0,28.3,0.6,1.1,-,-
子供の有無別小・中・高校生実数,270,-,51,270,45,12,-,-
子供の有無別小・中・高校生（％）,100.0,-,18.9,100.0,16.7,4.4,-,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,-,1,45,106,26,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,-,0.9,42.5,100.0,24.5,-,-
子供の有無別学校教育終了実数,743,-,2,12,26,743,-,-
子供の有無別学校教育終了（％）,100.0,-,0.3,1.6,3.5,100.0,-,-
子供の有無別その他実数,7,-,-,-,-,-,7,-
子供の有無別その他（％）,100.0,-,-,-,-,-,100.0,-
職業別自営業（計）実数,152,44,9,23,12,73,-,1
職業別自営業（計）（％）,100.0,28.9,5.9,15.1,7.9,48.0,-,0.7
職業別農林漁業実数,3,1,-,-,1,1,-,-
職業別農林漁業（％）,100.0,33.3,-,-,33.3,33.3,-,-
職業別商工・サービス業実数,96,26,5,14,9,51,-,-
職業別商工・サービス業（％）,100.0,27.1,5.2,14.6,9.4,53.1,-,-
職業別その他自由業実数,53,17,4,9,2,21,-,1
職業別その他自由業（％）,100.0,32.1,7.5,17.0,3.8,39.6,-,1.9
職業別お勤め（計）実数,934,434,114,184,71,216,1,1
職業別お勤め（計）（％）,100.0,46.5,12.2,19.7,7.6,23.1,0.1,0.1
職業別経営・管理職実数,94,17,9,30,15,39,-,-
職業別経営・管理職（％）,100.0,18.1,9.6,31.9,16.0,41.5,-,-
職業別専門職・技術職実数,243,105,43,56,16,44,-,-
職業別専門職・技術職（％）,100.0,43.2,17.7,23.0,6.6,18.1,-,-
職業別事務職実数,249,134,31,48,22,40,1,-
職業別事務職（％）,100.0,53.8,12.4,19.3,8.8,16.1,0.4,-
職業別労務職・技能職実数,111,58,8,13,4,35,-,-
職業別労務職・技能職（％）,100.0,52.3,7.2,11.7,3.6,31.5,-,-
職業別販売・サービス職実数,237,120,23,37,14,58,-,1
職業別販売・サービス職（％）,100.0,50.6,9.7,15.6,5.9,24.5,-,0.4
職業別その他（計）実数,732,162,57,62,23,454,6,4
職業別その他（計）（％）,100.0,22.1,7.8,8.5,3.1,62.0,0.8,0.5
職業別生徒・学生実数,35,33,1,-,1,-,-,-
職業別生徒・学生（％）,100.0,94.3,2.9,-,2.9,-,-,-
職業別専業主婦（夫）実数,309,33,53,60,19,177,-,2
職業別専業主婦（夫）（％）,100.0,10.7,17.2,19.4,6.1,57.3,-,0.6
職業別その他実数,18,7,2,2,1,7,-,-
職業別その他（％）,100.0,38.9,11.1,11.1,5.6,38.9,-,-
職業別無職（年金受給者含む）実数,370,89,1,-,2,270,6,2
職業別無職（年金受給者含む）（％）,100.0,24.1,0.3,-,0.5,73.0,1.6,0.5
投票所までの時間別５分以内実数,712,257,70,109,40,275,3,3
投票所までの時間別５分以内（％）,100.0,36.1,9.8,15.3,5.6,38.6,0.4,0.4
投票所までの時間別10分以内実数,769,245,81,117,48,341,1,4
投票所までの時間別10分以内（％）,100.0,31.9,10.5,15.2,6.2,44.3,0.1,0.5
投票所までの時間別20分以内実数,245,93,18,32,15,99,2,3
投票所までの時間別20分以内（％）,100.0,38.0,7.3,13.1,6.1,40.4,0.8,1.2
投票所までの時間別30分以内実数,38,12,3,7,1,17,-,-
投票所までの時間別30分以内（％）,100.0,31.6,7.9,18.4,2.6,44.7,-,-
投票所までの時間別30分を超える実数,11,5,1,-,-,4,1,-
投票所までの時間別30分を超える（％）,100.0,45.5,9.1,-,-,36.4,9.1,-
投票所までの時間別わからない実数,48,28,7,5,2,6,-,1
投票所までの時間別わからない（％）,100.0,58.3,14.6,10.4,4.2,12.5,-,2.1
地域別区部（計）実数,1189,438,128,168,69,467,4,6
地域別区部（計）（％）,100.0,36.8,10.8,14.1,5.8,39.3,0.3,0.5
地域別センターコア実数,314,135,40,39,14,99,-,1
地域別センターコア（％）,100.0,43.0,12.7,12.4,4.5,31.5,-,0.3
地域別区部東部・北部エリア実数,382,128,43,50,20,168,3,1
地域別区部東部・北部エリア（％）,100.0,33.5,11.3,13.1,5.2,44.0,0.8,0.3
地域別区部西部・南部エリア実数,493,175,45,79,35,200,1,4
地域別区部西部・南部エリア（％）,100.0,35.5,9.1,16.0,7.1,40.6,0.2,0.8
地域別市郡部（計）実数,638,204,52,102,37,276,3,6
地域別市郡部（計）（％）,100.0,32.0,8.2,16.0,5.8,43.3,0.5,0.9
地域別多摩東部エリア実数,239,81,20,37,13,97,-,3
地域別多摩東部エリア（％）,100.0,33.9,8.4,15.5,5.4,40.6,-,1.3
地域別多摩中央部北エリア実数,89,29,10,17,3,36,-,1
地域別多摩中央部北エリア（％）,100.0,32.6,11.2,19.1,3.4,40.4,-,1.1
地域別多摩中央部南エリア実数,267,86,20,40,17,116,3,2
地域別多摩中央部南エリア（％）,100.0,32.2,7.5,15.0,6.4,43.4,1.1,0.7
地域別多摩西部エリア実数,43,8,2,8,4,27,-,-
地域別多摩西部エリア（％）,100.0,18.6,4.7,18.6,9.3,62.8,-,-
選挙への関心度別関心があった（計）実数,1084,349,98,148,64,488,5,5
選挙への関心度別関心があった（計）（％）,100.0,32.2,9.0,13.7,5.9,45.0,0.5,0.5
選挙への関心度別関心があった実数,642,188,48,80,36,324,1,4
