,ｎ,ニュースサイトや選挙情報サイト（％）,候補者・政党等のホームページ・ブログ（％）,候補者・政党以外のホームページ・ブログ（％）,まとめサイトや電子掲示板などその他のサイト（％）,候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］（％）,候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］（％）,YouTubeなど動画共有サイトでの選挙関連の動画（％）,候補者等からのメール（％）
全体,212,55.2,40.6,20.3,16.0,15.1,13.7,9.4,1.9
性別男性,141,52.5,39.0,19.1,14.9,12.8,9.9,10.6,2.8
性別女性,71,60.6,43.7,22.5,18.3,19.7,21.1,7.0,-
年齢別20歳代,30,46.7,30.0,30.0,36.7,20.0,30.0,13.3,-
年齢別30歳代,43,58.1,39.5,25.6,20.9,25.6,16.3,11.6,-
年齢別40歳代,69,58.0,43.5,13.0,17.4,14.5,13.0,7.2,-
年齢別50歳代,36,66.7,38.9,25.0,5.6,8.3,5.6,11.1,-
年齢別60歳代,24,50.0,54.2,20.8,-,4.2,4.2,4.2,8.3
年齢別70歳代,9,22.2,22.2,-,-,11.1,11.1,11.1,22.2
年齢別80歳以上,1,-,100.0,-,-,-,-,-,-
