質問,今回選挙(n=999)(%),平成25年参議院議員選挙(n=696)(%),備考
ニュースサイトや選挙情報サイト,23.7,17.4,
候補者等のホームページ・ブログ※1,11.6,18.0,
まとめサイトや電子掲示板などその他のサイト,7.7,7.0,
候補者等のツイッター・フェイスブック等のSNS※2,5.7,0,
候補者以外のホームページ・ブログ※3,4.7,0,
YouTubeなど動画共有サイトでの選挙関連の動画,4.0,4.0,
候補者以外のツイッター・フェイスブック等のSNS,3.6,0,
候補者等からのメール※4,0.7,1.1,
触れていない、見ていない,59.2,63.1,
その他,0.3,2.4,
わからない、忘れた,7.1,5.0,
無回答,2.2,1.0,
,,,注：※1平成25年参議院議員選挙は「候補者・政党等のホームページ・ブログ」
,,,※2平成25年参議院議員選挙は「候補者・政党等のフェイスブック」（4.6％）、「候補者・政党等のツイッター」（4.5％）
,,,※3今回調査で追加
,,,※4平成25年参議院議員選挙は「候補者・政党等からのメール」
