質問,今回選挙(n=999),平成24年都知事選挙(n=1415)(%),備考
テレビ・ラジオの選挙報道,72.8,60.1,
新聞・雑誌などの選挙報道,55.3,37.0,
選挙公報,37.5,27.7,
テレビ・ラジオの政見放送・経歴放送※1,22.6,0,
候補者等のポスター,19.2,21.5,
家族、友人、知人からの勧め,9.4,7.0,
候補者等の新聞広告,9.2,8.8,
候補者等の街頭演説,8.0,5.4,
候補者のホームページ、ツイッター等のネット上の情報※2,7.9,2.2,
候補者以外のホームページ、ツイッター等のネット上の情報※3,6.5,6.2,
各種団体からの推薦,2.5,1.5,
候補者等の個人演説会,2.2,2.3,
候補者のはがき・候補者等のビラ※4,1.9,0,
候補者の後援会などからの推薦※5,1.4,2.8,
その他,1.1,0.8,
どれにも接していない,0.4,1.6,
役立ったものはない,2.9,6.5,
わからない、忘れた,0.3,0.1,
無回答,0.9,1.4,
,,,注：※1平成24年は「テレビの政見放送・経歴放送」20.2％、「ラジオの政見放送・経歴放送」2.3％
,,,※2平成24年は「候補者のホームページ・ブログ」
,,,※3平成24年は「インターネットの情報（上記以外）」
,,,※4平成24年は「候補者等のビラ」3.5％、「候補者のはがき」1.8％
,,,※5平成24年は「政党、候補者の後援会などからの推薦」
