,今回選挙(n=1491)（％）,平成26年東京都知事選挙(n=999)（％）,平成24年東京都知事選挙(n=1415)（％）,平成23年東京都知事選挙(n=1498)（％）,備考
テレビ・ラジオの選挙報道,85.0,72.8,60.1,59.1,
新聞・雑誌などの選挙報道,50.8,55.3,37.0,44.7,
選挙公報,35.4,37.5,27.7,29.0,
候補者等のポスター,28.0,19.2,21.5,12.6,
テレビ・ラジオの政見放送・経歴放送※2,22.1,22.6,20.8,-,
候補者等の街頭演説,16.1,8.0,5.4,4.0,
候補者等の新聞広告,15.7,9.2,8.8,6.7,
候補者等の選挙運動用自動車からの連呼※1,7.5,-,-,0.5,
候補者のはがき・候補者等のビラ※4,5.6,1.9,4.4,-,
候補者のホームページ、ツイッター等のネット上の情報,4.6,7.9,2.2,2.1,
候補者以外のホームページ、ツイッター等のネット上の情報,4.2,6.5,-,-,
家族、友人、知人からの勧め,3.5,9.4,7.0,4.1,
政党、候補者の後援会などからの推薦,1.5,1.4,2.8,1.2,
候補者の個人演説会,1.1,2.2,2.3,2.2,
各種団体からの推薦,0.7,2.5,1.5,0.7,
インターネットの情報※3,-,-,6.2,8.1,
電話による投票依頼※5,-,-,-,0.3,
その他,0.2,1.1,0.8,2.9,
どれにも接していない,0.2,0.4,1.6,1.7,
役立ったものはない,3.4,2.9,6.5,4.7,
わからない、忘れた,1.3,0.3,0.1,1.6,
無回答,-,0.9,1.4,0.3,
,,,,,注：※1今回調査、平成23年調査のみ
,,,,,※2平成24年調査の「テレビの政見放送・経歴放送」と「ラジオの政見放送・経歴放送」は「テレビ・ラジオの政見放送・経歴放送」へ統合（平成23年調査は「テレビの政見放送・経歴放送」18.8％、「ラジオの政見放送・経歴放送」2.1％）
,,,,,※3平成24年以前調査のみ
,,,,,※4平成24年調査の「候補者のはがき」と「候補者等のビラ」は「候補者のはがき・候補者等のビラ」へ統合（平成23年調査は「候補者のはがき」0.7％、「候補者等のビラ」1.4％）
,,,,,※5平成23年調査のみ
