質問,n,都政全体のことを考えてくれる人だと思ったから(%),候補者の政策や主張に賛成だから(%),人柄、経歴などから都政を託すのに最適な人だと思ったから(%),自分の日常の暮らしを守ってくれる人だと思ったから(%),テレビや新聞などマスコミを通して知っている人だから(%),テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから(%),家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから(%)
全体,(999),45.6,43.0,28.0,24.3,19.9,9.3,6.6
性別男性,(485),41.6,46.4,29.9,19.0,19.2,9.7,3.9
性別女性,(514),49.4,39.9,26.3,29.4,20.6,8.9,9.1
年齢別20歳代,(52),21.2,50.0,13.5,9.6,19.2,17.3,15.4
年齢別30歳代,(145),39.3,42.8,25.5,24.8,19.3,9.0,7.6
年齢別40歳代,(217),45.2,34.6,25.8,23.0,19.8,8.3,6.0
年齢別50歳代,(178),44.4,44.9,27.0,27.0,21.9,10.1,4.5
年齢別60歳代,(213),50.7,49.8,33.8,21.1,20.7,8.5,5.6
年齢別70歳代,(151),53.6,38.4,31.8,31.1,20.5,9.3,7.9
年齢別80歳以上,(36),50.0,52.8,22.2,30.6,8.3,8.3,2.8
