,n,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,関心があった（計）（％）,関心がなかった（計）（％）
全体,1823,42.2,35.9,11.5,4.9,4.7,0.8,78.1,9.6
性別男性,852,49.2,31.0,10.1,4.2,4.7,0.8,80.2,8.9
性別女性,971,36.0,40.3,12.7,5.5,4.7,0.8,76.3,10.2
年齢別18歳,7,57.1,14.3,28.6,0.0,0.0,0.0,71.4,-
年齢別19歳,20,15.0,25.0,15.0,10.0,25.0,10.0,40.0,35.0
年齢別20歳代,164,22.0,22.0,19.5,18.3,17.7,0.6,43.9,36.0
年齢別30歳代,257,31.1,42.8,17.9,4.7,3.5,0.0,73.9,8.2
年齢別40歳代,398,31.9,50.5,10.3,3.8,3.5,0.0,82.4,7.3
年齢別50歳代,311,45.7,38.6,10.3,2.9,2.3,0.3,84.2,5.1
年齢別60歳代,337,56.7,30.9,6.8,2.1,3.6,0.0,87.5,5.6
年齢別70歳代,231,58.0,25.1,8.7,4.8,2.6,0.9,83.1,7.4
年齢別80歳以上,98,53.1,20.4,10.2,3.1,4.1,9.2,73.5,7.1
