,n,候補者の政策や主張に賛成だから（％）,自分の支持する政党の推薦する人だから（％）,国政全体のことを考えてくれる人だと思ったから（％）,自分の日常の暮らしを守ってくれる人だと思ったから（％）,人柄、経歴などから国政を託すのに最適な人だと思ったから（％）,地元の利益を考えてくれる人だと思ったから（％）,ポスターや選挙公報などを見て、ふさわしい人だと思ったから（％）,特に理由はない（なんとなく）（％）
全体,1246,32.7,27.9,26.9,20.9,14.0,7.9,7.1,8.3
性別男性,617,34.5,30.3,26.1,16.9,15.2,7.8,7.5,8.8
性別女性,629,30.8,25.6,27.7,25.0,12.9,8.1,6.8,7.8
年齢別20歳代,91,27.5,30.8,19.8,13.2,7.7,5.5,9.9,15.4
年齢別30歳代,161,25.5,21.7,15.5,14.3,5.6,4.3,3.7,14.9
年齢別40歳代,247,30.4,23.9,23.5,19.4,11.3,6.1,10.1,8.1
年齢別50歳代,195,33.3,27.2,24.1,17.4,11.3,9.2,7.2,7.7
年齢別60歳代,233,38.2,30.0,36.5,23.6,20.6,7.7,6.4,4.7
年齢別70歳代,239,36.4,32.6,33.1,26.8,18.0,11.3,5.9,6.3
年齢別80歳以上,80,31.3,31.3,28.8,31.3,22.5,11.3,7.5,5.0
