,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,候補者等のポスター（％）,テレビ・ラジオの政見放送・経歴放送（％）,候補者等の新聞広告（％）,候補者等の街頭演説（％）,候補者のはがき・候補者等のビラ（％）,,
全体,1435,83.6,51.1,35.6,27.5,24.2,15.4,9.3,6.0,,
職業別自営業,120,78.3,56.7,37.5,22.5,29.2,14.2,9.2,6.7,,
職業別勤め人,621,84.7,46.7,31.7,33.3,24.2,16.4,10.1,7.7,,
職業別学生,27,66.7,37.0,25.9,11.1,25.9,7.4,3.7,3.7,,
職業別専業主婦(夫),340,87.4,51.2,36.8,26.2,23.8,15.6,9.4,4.7,,
職業別その他,19,73.7,31.6,26.3,21.1,10.5,5.3,-,-,,
職業別無職(年金受給者含む),308,81.5,60.1,42.9,20.8,23.4,14.9,8.8,4.2,,
選挙への関心度別関心があった(計),1206,85.1,55.5,39.7,28.0,25.6,16.6,9.9,6.0,,
選挙への関心度別関心がなかった(計),70,71.4,28.6,11.4,14.3,14.3,1.4,4.3,1.4,,
選挙への関心度別どちらともいえない,159,78.0,27.7,15.1,28.9,17.6,12.6,7.5,8.2,,
