質問,n,テレビ・ラジオの選挙報道(%),新聞・雑誌などの選挙報道(%),選挙公報(%),テレビ・ラジオの政見放送・経歴放送(%),候補者等のポスター(%),家族、友人、知人からの勧め(%),候補者の新聞広告(%),候補者等の街頭演説(%)
全体,(999),72.8,55.3,37.5,22.6,19.2,9.4,9.2,8.0
性別男性,(485),73.0,58.8,36.5,24.5,19.8,6.2,10.3,7.6
性別女性,(514),72.6,51.9,38.5,20.8,18.7,12.5,8.2,8.4
年齢別20歳代,(52),67.3,32.7,30.8,15.4,19.2,11.5,5.8,7.7
年齢別30歳代,(145),68.3,41.4,37.2,20.0,17.2,13.1,5.5,7.6
年齢別40歳代,(217),77.4,53.5,35.0,20.7,18.9,9.2,9.7,8.3
年齢別50歳代,(178),73.0,59.0,41.0,22.5,20.2,9.6,9.0,8.4
年齢別60歳代,(213),71.8,66.7,39.4,26.8,21.1,8.5,11.7,7.0
年齢別70歳代,(151),72.2,56.3,35.1,21.2,16.6,8.6,7.3,7.9
年齢別80歳以上,(36),77.8,61.1,41.7,38.9,27.8,2.8,19.4,13.9
