,参議院議員選挙/調査数,参議院議員選挙/自営業（計）,参議院議員選挙/農林漁業,参議院議員選挙/商工・サービス業,参議院議員選挙/その他自由業,参議院議員選挙/お勤め（計）,参議院議員選挙/経営・管理職,参議院議員選挙/専門職・技術職,参議院議員選挙/事務職,参議院議員選挙/労務職・技能職,参議院議員選挙/販売・サービス職,参議院議員選挙/その他（計）,参議院議員選挙/生徒・学生,参議院議員選挙/専業主婦（夫）,参議院議員選挙/その他,参議院議員選挙/無職（年金受給者含む）,東京都知事選挙/調査数,東京都知事選挙/自営業（計）,東京都知事選挙/農林漁業,東京都知事選挙/商工・サービス業,東京都知事選挙/その他自由業,東京都知事選挙/お勤め（計）,東京都知事選挙/経営・管理職,東京都知事選挙/専門職・技術職,東京都知事選挙/事務職,東京都知事選挙/労務職・技能職,東京都知事選挙/販売・サービス職,東京都知事選挙/その他（計）,東京都知事選挙/生徒・学生,東京都知事選挙/専業主婦（夫）,東京都知事選挙/その他,東京都知事選挙/無職（年金受給者含む）
全体,1823,133,1,42,90,821,74,196,221,61,269,869,47,395,25,402,1823,133,1,42,90,821,74,196,221,61,269,869,47,395,25,402
全体,100.0,7.3,0.1,2.3,4.9,45.0,4.1,10.8,12.1,3.3,14.8,47.7,2.6,21.7,1.4,22.1,100.0,7.3,0.1,2.3,4.9,45.0,4.1,10.8,12.1,3.3,14.8,47.7,2.6,21.7,1.4,22.1
性別男性,852,103,1,31,71,487,68,159,96,54,110,262,29,1,13,219,852,103,1,31,71,487,68,159,96,54,110,262,29,1,13,219
性別男性,100.0,12.1,0.1,3.6,8.3,57.2,8.0,18.7,11.3,6.3,12.9,30.8,3.4,0.1,1.5,25.7,100.0,12.1,0.1,3.6,8.3,57.2,8.0,18.7,11.3,6.3,12.9,30.8,3.4,0.1,1.5,25.7
性別女性,971,30,-,11,19,334,6,37,125,7,159,607,18,394,12,183,971,30,-,11,19,334,6,37,125,7,159,607,18,394,12,183
性別女性,100.0,3.1,-,1.1,2.0,34.4,0.6,3.8,12.9,0.7,16.4,62.5,1.9,40.6,1.2,18.8,100.0,3.1,-,1.1,2.0,34.4,0.6,3.8,12.9,0.7,16.4,62.5,1.9,40.6,1.2,18.8
年齢別18歳,7,-,-,-,-,2,-,-,-,-,2,5,5,-,-,-,7,-,-,-,-,2,-,-,-,-,2,5,5,-,-,-
年齢別18歳,100.0,-,-,-,-,28.6,-,-,-,-,28.6,71.4,71.4,-,-,-,100.0,-,-,-,-,28.6,-,-,-,-,28.6,71.4,71.4,-,-,-
年齢別19歳,20,1,-,1,-,5,-,-,1,-,4,14,14,-,-,-,20,1,-,1,-,5,-,-,1,-,4,14,14,-,-,-
年齢別19歳,100.0,5.0,-,5.0,-,25.0,-,-,5.0,-,20.0,70.0,70.0,-,-,-,100.0,5.0,-,5.0,-,25.0,-,-,5.0,-,20.0,70.0,70.0,-,-,-
年齢別20歳代,164,5,-,1,4,118,-,19,38,4,57,41,25,6,5,5,164,5,-,1,4,118,-,19,38,4,57,41,25,6,5,5
年齢別20歳代,100.0,3.0,-,0.6,2.4,72.0,-,11.6,23.2,2.4,34.8,25.0,15.2,3.7,3.0,3.0,100.0,3.0,-,0.6,2.4,72.0,-,11.6,23.2,2.4,34.8,25.0,15.2,3.7,3.0,3.0
年齢別30歳代,257,15,-,4,11,190,9,45,51,13,72,52,2,45,5,-,257,15,-,4,11,190,9,45,51,13,72,52,2,45,5,-
年齢別30歳代,100.0,5.8,-,1.6,4.3,73.9,3.5,17.5,19.8,5.1,28.0,20.2,0.8,17.5,1.9,-,100.0,5.8,-,1.6,4.3,73.9,3.5,17.5,19.8,5.1,28.0,20.2,0.8,17.5,1.9,-
年齢別40歳代,398,25,-,7,18,262,17,62,79,17,87,111,-,107,4,-,398,25,-,7,18,262,17,62,79,17,87,111,-,107,4,-
年齢別40歳代,100.0,6.3,-,1.8,4.5,65.8,4.3,15.6,19.8,4.3,21.9,27.9,-,26.9,1.0,-,100.0,6.3,-,1.8,4.5,65.8,4.3,15.6,19.8,4.3,21.9,27.9,-,26.9,1.0,-
年齢別50歳代,311,33,1,10,22,175,27,53,42,19,34,103,1,91,5,6,311,33,1,10,22,175,27,53,42,19,34,103,1,91,5,6
年齢別50歳代,100.0,10.6,0.3,3.2,7.1,56.3,8.7,17.0,13.5,6.1,10.9,33.1,0.3,29.3,1.6,1.9,100.0,10.6,0.3,3.2,7.1,56.3,8.7,17.0,13.5,6.1,10.9,33.1,0.3,29.3,1.6,1.9
年齢別60歳代,337,43,-,17,26,60,18,16,9,7,10,234,-,107,4,123,337,43,-,17,26,60,18,16,9,7,10,234,-,107,4,123
年齢別60歳代,100.0,12.8,-,5.0,7.7,17.8,5.3,4.7,2.7,2.1,3.0,69.4,-,31.8,1.2,36.5,100.0,12.8,-,5.0,7.7,17.8,5.3,4.7,2.7,2.1,3.0,69.4,-,31.8,1.2,36.5
年齢別70歳代,231,8,-,2,6,8,3,1,1,1,2,215,-,33,2,180,231,8,-,2,6,8,3,1,1,1,2,215,-,33,2,180
年齢別70歳代,100.0,3.5,-,0.9,2.6,3.5,1.3,0.4,0.4,0.4,0.9,93.1,-,14.3,0.9,77.9,100.0,3.5,-,0.9,2.6,3.5,1.3,0.4,0.4,0.4,0.9,93.1,-,14.3,0.9,77.9
年齢別80歳以上,98,3,-,-,3,1,-,-,-,-,1,94,-,6,-,88,98,3,-,-,3,1,-,-,-,-,1,94,-,6,-,88
年齢別80歳以上,100.0,3.1,-,-,3.1,1.0,-,-,-,-,1.0,95.9,-,6.1,-,89.8,100.0,3.1,-,-,3.1,1.0,-,-,-,-,1.0,95.9,-,6.1,-,89.8
性/年齢別男性18歳,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
性/年齢別男性18歳,100.0,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,100.0,100.0,-,-,-
性/年齢別男性19歳,12,-,-,-,-,2,-,-,-,-,2,10,10,-,-,-,12,-,-,-,-,2,-,-,-,-,2,10,10,-,-,-
性/年齢別男性19歳,100.0,-,-,-,-,16.7,-,-,-,-,16.7,83.3,83.3,-,-,-,100.0,-,-,-,-,16.7,-,-,-,-,16.7,83.3,83.3,-,-,-
性/年齢別男性20歳代,83,3,-,1,2,57,-,15,8,4,30,23,15,-,3,5,83,3,-,1,2,57,-,15,8,4,30,23,15,-,3,5
性/年齢別男性20歳代,100.0,3.6,-,1.2,2.4,68.7,-,18.1,9.6,4.8,36.1,27.7,18.1,-,3.6,6.0,100.0,3.6,-,1.2,2.4,68.7,-,18.1,9.6,4.8,36.1,27.7,18.1,-,3.6,6.0
