,ｎ,利用した（％）,知っているが利用していない（％）,知らない（％）,わからない（％）,知っている（計）（％）,,,
全体,1823,5.6,16.7,62.8,14.9,22.3,,,
性別男性,852,7.0,20.3,61.6,11.0,27.3,,,
性別女性,971,4.3,13.6,63.9,18.2,17.9,,,
年齢別18歳,7,14.3,14.3,42.9,28.6,28.6,,,
年齢別19歳,20,0.0,10.0,80.0,10.0,10.0,,,
年齢別20歳代,164,5.5,16.5,71.3,6.7,22.0,,,
年齢別30歳代,257,8.2,21.8,64.6,5.4,30.0,,,
年齢別40歳代,398,6.8,19.3,65.1,8.8,26.1,,,
年齢別50歳代,311,6.1,21.5,62.7,9.6,27.7,,,
年齢別60歳代,337,5.3,13.9,58.8,22.0,19.3,,,
年齢別70歳代,231,2.6,10.8,58.0,28.6,13.4,,,
年齢別80歳以上,98,1.0,3.1,58.2,37.8,4.1,,,
職業別自営業,133,10.5,18.8,59.4,11.3,29.3,,,
職業別勤め人,821,7.9,21.8,63.8,6.5,29.7,,,
職業別学生,47,6.4,14.9,70.2,8.5,21.3,,,
職業別専業主婦(夫),395,2.8,14.2,65.3,17.7,17.0,,,
職業別その他,25,8.0,20.0,56.0,16.0,28.0,,,
職業別無職(年金受給者含む),402,1.7,8.2,59.0,31.1,10.0,,,
