,参議院議員選挙/調査数,参議院議員選挙/未婚,参議院議員選挙/既婚（死別・離別を含む）,東京都知事選挙/調査数,東京都知事選挙/未婚,東京都知事選挙/既婚（死別・離別を含む）
全体,1823,344,1479,1823,344,1479
全体,100.0,18.9,81.1,100.0,18.9,81.1
性別男性,852,176,676,852,176,676
性別男性,100.0,20.7,79.3,100.0,20.7,79.3
性別女性,971,168,803,971,168,803
性別女性,100.0,17.3,82.7,100.0,17.3,82.7
年齢別18歳,7,7,-,7,7,-
年齢別18歳,100.0,100.0,-,100.0,100.0,-
年齢別19歳,20,20,-,20,20,-
年齢別19歳,100.0,100.0,-,100.0,100.0,-
年齢別20歳代,164,142,22,164,142,22
年齢別20歳代,100.0,86.6,13.4,100.0,86.6,13.4
年齢別30歳代,257,90,167,257,90,167
年齢別30歳代,100.0,35.0,65.0,100.0,35.0,65.0
年齢別40歳代,398,38,360,398,38,360
年齢別40歳代,100.0,9.5,90.5,100.0,9.5,90.5
年齢別50歳代,311,19,292,311,19,292
年齢別50歳代,100.0,6.1,93.9,100.0,6.1,93.9
年齢別60歳代,337,19,318,337,19,318
年齢別60歳代,100.0,5.6,94.4,100.0,5.6,94.4
年齢別70歳代,231,7,224,231,7,224
年齢別70歳代,100.0,3.0,97.0,100.0,3.0,97.0
年齢別80歳以上,98,2,96,98,2,96
年齢別80歳以上,100.0,2.0,98.0,100.0,2.0,98.0
性/年齢別男性18歳,1,1,-,1,1,-
性/年齢別男性18歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性19歳,12,12,-,12,12,-
性/年齢別男性19歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性20歳代,83,73,10,83,73,10
性/年齢別男性20歳代,100.0,88.0,12.0,100.0,88.0,12.0
性/年齢別男性30歳代,122,42,80,122,42,80
性/年齢別男性30歳代,100.0,34.4,65.6,100.0,34.4,65.6
性/年齢別男性40歳代,170,18,152,170,18,152
性/年齢別男性40歳代,100.0,10.6,89.4,100.0,10.6,89.4
性/年齢別男性50歳代,152,13,139,152,13,139
性/年齢別男性50歳代,100.0,8.6,91.4,100.0,8.6,91.4
性/年齢別男性60歳代,157,13,144,157,13,144
性/年齢別男性60歳代,100.0,8.3,91.7,100.0,8.3,91.7
性/年齢別男性70歳代,107,3,104,107,3,104
性/年齢別男性70歳代,100.0,2.8,97.2,100.0,2.8,97.2
性/年齢別男性80歳以上,48,1,47,48,1,47
性/年齢別男性80歳以上,100.0,2.1,97.9,100.0,2.1,97.9
性/年齢別女性18歳,6,6,-,6,6,-
性/年齢別女性18歳,100.0,100.0,-,100.0,100.0,-
性/年齢別女性19歳,8,8,-,8,8,-
性/年齢別女性19歳,100.0,100.0,-,100.0,100.0,-
性/年齢別女性20歳代,81,69,12,81,69,12
性/年齢別女性20歳代,100.0,85.2,14.8,100.0,85.2,14.8
性/年齢別女性30歳代,135,48,87,135,48,87
性/年齢別女性30歳代,100.0,35.6,64.4,100.0,35.6,64.4
性/年齢別女性40歳代,228,20,208,228,20,208
性/年齢別女性40歳代,100.0,8.8,91.2,100.0,8.8,91.2
性/年齢別女性50歳代,159,6,153,159,6,153
性/年齢別女性50歳代,100.0,3.8,96.2,100.0,3.8,96.2
性/年齢別女性60歳代,180,6,174,180,6,174
性/年齢別女性60歳代,100.0,3.3,96.7,100.0,3.3,96.7
性/年齢別女性70歳代,124,4,120,124,4,120
性/年齢別女性70歳代,100.0,3.2,96.8,100.0,3.2,96.8
性/年齢別女性80歳以上,50,1,49,50,1,49
性/年齢別女性80歳以上,100.0,2.0,98.0,100.0,2.0,98.0
未・既婚別未婚,344,344,-,344,344,-
未・既婚別未婚,100.0,100.0,-,100.0,100.0,-
未・既婚別既婚（死別・離別を含む）,1479,-,1479,1479,-,1479
未・既婚別既婚（死別・離別を含む）,100.0,-,100.0,100.0,-,100.0
子供の有無別子供はいない,404,333,71,404,333,71
子供の有無別子供はいない,100.0,82.4,17.6,100.0,82.4,17.6
子供の有無別未就学（～６歳）,114,3,111,114,3,111
子供の有無別未就学（～６歳）,100.0,2.6,97.4,100.0,2.6,97.4
子供の有無別小・中・高校生,394,2,392,394,2,392
子供の有無別小・中・高校生,100.0,0.5,99.5,100.0,0.5,99.5
子供の有無別大学生・大学院生・短大生・専門学校生,144,1,143,144,1,143
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,0.7,99.3,100.0,0.7,99.3
子供の有無別学校教育終了,791,4,787,791,4,787
子供の有無別学校教育終了,100.0,0.5,99.5,100.0,0.5,99.5
子供の有無別その他,60,1,59,60,1,59
子供の有無別その他,100.0,1.7,98.3,100.0,1.7,98.3
職業別自営業（計）,133,28,105,133,28,105
職業別自営業（計）,100.0,21.1,78.9,100.0,21.1,78.9
職業別農林漁業,1,-,1,1,-,1
職業別農林漁業,100.0,-,100.0,100.0,-,100.0
職業別商工・サービス業,42,6,36,42,6,36
職業別商工・サービス業,100.0,14.3,85.7,100.0,14.3,85.7
職業別その他自由業,90,22,68,90,22,68
職業別その他自由業,100.0,24.4,75.6,100.0,24.4,75.6
職業別お勤め（計）,821,235,586,821,235,586
職業別お勤め（計）,100.0,28.6,71.4,100.0,28.6,71.4
職業別経営・管理職,74,5,69,74,5,69
職業別経営・管理職,100.0,6.8,93.2,100.0,6.8,93.2
職業別専門職・技術職,196,35,161,196,35,161
職業別専門職・技術職,100.0,17.9,82.1,100.0,17.9,82.1
職業別事務職,221,71,150,221,71,150
職業別事務職,100.0,32.1,67.9,100.0,32.1,67.9
職業別労務職・技能職,61,13,48,61,13,48
職業別労務職・技能職,100.0,21.3,78.7,100.0,21.3,78.7
職業別販売・サービス職,269,111,158,269,111,158
職業別販売・サービス職,100.0,41.3,58.7,100.0,41.3,58.7
職業別その他（計）,869,81,788,869,81,788
職業別その他（計）,100.0,9.3,90.7,100.0,9.3,90.7
職業別生徒・学生,47,45,2,47,45,2
職業別生徒・学生,100.0,95.7,4.3,100.0,95.7,4.3
職業別専業主婦（夫）,395,2,393,395,2,393
職業別専業主婦（夫）,100.0,0.5,99.5,100.0,0.5,99.5
職業別その他,25,12,13,25,12,13
職業別その他,100.0,48.0,52.0,100.0,48.0,52.0
職業別無職（年金受給者含む）,402,22,380,402,22,380
職業別無職（年金受給者含む）,100.0,5.5,94.5,100.0,5.5,94.5
投票所までの時間別５分以内,433,81,352,433,81,352
投票所までの時間別５分以内,100.0,18.7,81.3,100.0,18.7,81.3
投票所までの時間別10分以内,1067,191,876,1067,191,876
投票所までの時間別10分以内,100.0,17.9,82.1,100.0,17.9,82.1
投票所までの時間別20分以内,288,59,229,288,59,229
投票所までの時間別20分以内,100.0,20.5,79.5,100.0,20.5,79.5
投票所までの時間別30分以内,21,5,16,21,5,16
投票所までの時間別30分以内,100.0,23.8,76.2,100.0,23.8,76.2
投票所までの時間別30分を超える,3,-,3,3,-,3
投票所までの時間別30分を超える,100.0,-,100.0,100.0,-,100.0
投票所までの時間別わからない,11,8,3,11,8,3
投票所までの時間別わからない,100.0,72.7,27.3,100.0,72.7,27.3
地域別区部（計）,1381,258,1123,1381,258,1123
地域別区部（計）,100.0,18.7,81.3,100.0,18.7,81.3
地域別センターコア,388,73,315,388,73,315
地域別センターコア,100.0,18.8,81.2,100.0,18.8,81.2
地域別区部東部・北部エリア,398,68,330,398,68,330
地域別区部東部・北部エリア,100.0,17.1,82.9,100.0,17.1,82.9
地域別区部西部・南部エリア,595,117,478,595,117,478
地域別区部西部・南部エリア,100.0,19.7,80.3,100.0,19.7,80.3
地域別市郡部（計）,442,86,356,442,86,356
地域別市郡部（計）,100.0,19.5,80.5,100.0,19.5,80.5
地域別多摩東部エリア,132,31,101,132,31,101
地域別多摩東部エリア,100.0,23.5,76.5,100.0,23.5,76.5
地域別多摩中央部北エリア,70,16,54,70,16,54
地域別多摩中央部北エリア,100.0,22.9,77.1,100.0,22.9,77.1
地域別多摩中央部南エリア,201,30,171,201,30,171
地域別多摩中央部南エリア,100.0,14.9,85.1,100.0,14.9,85.1
地域別多摩西部エリア,39,9,30,39,9,30
地域別多摩西部エリア,100.0,23.1,76.9,100.0,23.1,76.9
