,調査数,関心があった（計）,関心があった,やや関心があった,どちらともいえない,関心がなかった（計）,あまり関心がなかった,関心がなかった,わからない,無回答
全体実数,1827,1084,642,442,179,554,369,185,7,3
全体（％）,100.0,59.3,35.1,24.2,9.8,30.3,20.2,10.1,0.4,0.2
性別男性実数,882,552,358,194,73,253,159,94,4,-
性別男性（％）,100.0,62.6,40.6,22.0,8.3,28.7,18.0,10.7,0.5,-
性別女性実数,945,532,284,248,106,301,210,91,3,3
性別女性（％）,100.0,56.3,30.1,26.2,11.2,31.9,22.2,9.6,0.3,0.3
年齢別20歳代実数,174,79,43,36,15,79,51,28,1,-
年齢別20歳代（％）,100.0,45.4,24.7,20.7,8.6,45.4,29.3,16.1,0.6,-
年齢別30歳代実数,261,130,52,78,34,95,59,36,1,1
年齢別30歳代（％）,100.0,49.8,19.9,29.9,13.0,36.4,22.6,13.8,0.4,0.4
年齢別40歳代実数,365,199,106,93,54,111,72,39,-,1
年齢別40歳代（％）,100.0,54.5,29.0,25.5,14.8,30.4,19.7,10.7,-,0.3
年齢別50歳代実数,294,171,101,70,27,96,68,28,-,-
年齢別50歳代（％）,100.0,58.2,34.4,23.8,9.2,32.7,23.1,9.5,-,-
年齢別60歳代実数,313,208,132,76,21,81,58,23,3,-
年齢別60歳代（％）,100.0,66.5,42.2,24.3,6.7,25.9,18.5,7.3,1.0,-
年齢別70歳代実数,296,216,148,68,24,55,36,19,1,-
年齢別70歳代（％）,100.0,73.0,50.0,23.0,8.1,18.6,12.2,6.4,0.3,-
年齢別80歳以上実数,124,81,60,21,4,37,25,12,1,1
年齢別80歳以上（％）,100.0,65.3,48.4,16.9,3.2,29.8,20.2,9.7,0.8,0.8
性/年齢別男性20歳代実数,92,44,25,19,8,39,26,13,1,-
性/年齢別男性20歳代（％）,100.0,47.8,27.2,20.7,8.7,42.4,28.3,14.1,1.1,-
性/年齢別男性30歳代実数,118,63,23,40,16,39,21,18,-,-
性/年齢別男性30歳代（％）,100.0,53.4,19.5,33.9,13.6,33.1,17.8,15.3,-,-
性/年齢別男性40歳代実数,174,100,64,36,20,54,32,22,-,-
性/年齢別男性40歳代（％）,100.0,57.5,36.8,20.7,11.5,31.0,18.4,12.6,-,-
性/年齢別男性50歳代実数,161,99,66,33,13,49,34,15,-,-
性/年齢別男性50歳代（％）,100.0,61.5,41.0,20.5,8.1,30.4,21.1,9.3,-,-
