,ｎ,ニュースサイトや選挙情報サイト（％）,候補者・政党等のホームページ・ブログ（％）,まとめサイトや電子掲示板などその他のサイト（％）,候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］（％）,候補者・政党以外のホームページ・ブログ（％）,YouTubeなど動画共有サイトでの選挙関連の動画（％）,候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］（％）,触れていない、見ていない（％）
全体,1246,20.1,11.7,6.0,5.7,4.7,3.7,3.0,64.9
性別男性,617,24.1,14.7,7.3,5.8,5.7,4.5,3.4,58.7
性別女性,629,16.2,8.7,4.8,5.6,3.8,2.9,2.7,71.1
年齢別20歳代,91,37.4,17.6,22.0,11.0,11.0,6.6,8.8,37.4
年齢別30歳代,161,30.4,16.8,9.3,13.0,7.5,5.6,7.5,53.4
年齢別40歳代,247,32.8,19.8,12.6,9.7,8.5,7.7,4.9,51.4
年齢別50歳代,195,22.6,11.3,3.1,6.7,4.1,3.1,1.5,64.6
年齢別60歳代,233,12.4,10.3,1.3,-,2.6,1.7,0.4,73.8
年齢別70歳代,239,5.0,2.9,-,1.3,0.8,0.8,0.8,82.8
年齢別80歳以上,80,2.5,1.3,-,-,-,-,-,82.5
