,調査数,ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,ネット選挙運動の規制をより強化する,現状のままでよい,わからない,無回答
全体実数,1246,315,148,353,405,25
全体（％）,100.0,25.3,11.9,28.3,32.5,2.0
性別男性実数,617,203,71,176,152,15
性別男性（％）,100.0,32.9,11.5,28.5,24.6,2.4
性別女性実数,629,112,77,177,253,10
性別女性（％）,100.0,17.8,12.2,28.1,40.2,1.6
年齢別20歳代実数,91,40,5,28,18,-
年齢別20歳代（％）,100.0,44.0,5.5,30.8,19.8,-
年齢別30歳代実数,161,55,20,53,33,-
年齢別30歳代（％）,100.0,34.2,12.4,32.9,20.5,-
年齢別40歳代実数,247,86,33,70,53,5
年齢別40歳代（％）,100.0,34.8,13.4,28.3,21.5,2.0
年齢別50歳代実数,195,66,29,44,55,1
年齢別50歳代（％）,100.0,33.8,14.9,22.6,28.2,0.5
年齢別60歳代実数,233,43,24,59,100,7
年齢別60歳代（％）,100.0,18.5,10.3,25.3,42.9,3.0
年齢別70歳代実数,239,23,28,73,106,9
年齢別70歳代（％）,100.0,9.6,11.7,30.5,44.4,3.8
年齢別80歳以上実数,80,2,9,26,40,3
年齢別80歳以上（％）,100.0,2.5,11.3,32.5,50.0,3.8
性/年齢別男性20歳代実数,49,29,1,11,8,-
性/年齢別男性20歳代（％）,100.0,59.2,2.0,22.4,16.3,-
性/年齢別男性30歳代実数,75,31,9,24,11,-
性/年齢別男性30歳代（％）,100.0,41.3,12.0,32.0,14.7,-
性/年齢別男性40歳代実数,116,51,16,31,16,2
性/年齢別男性40歳代（％）,100.0,44.0,13.8,26.7,13.8,1.7
性/年齢別男性50歳代実数,107,46,17,23,20,1
性/年齢別男性50歳代（％）,100.0,43.0,15.9,21.5,18.7,0.9
性/年齢別男性60歳代実数,117,28,11,32,42,4
性/年齢別男性60歳代（％）,100.0,23.9,9.4,27.4,35.9,3.4
性/年齢別男性70歳代実数,116,17,14,41,39,5
性/年齢別男性70歳代（％）,100.0,14.7,12.1,35.3,33.6,4.3
性/年齢別男性80歳以上実数,37,1,3,14,16,3
性/年齢別男性80歳以上（％）,100.0,2.7,8.1,37.8,43.2,8.1
性/年齢別女性20歳代実数,42,11,4,17,10,-
性/年齢別女性20歳代（％）,100.0,26.2,9.5,40.5,23.8,-
性/年齢別女性30歳代実数,86,24,11,29,22,-
性/年齢別女性30歳代（％）,100.0,27.9,12.8,33.7,25.6,-
性/年齢別女性40歳代実数,131,35,17,39,37,3
性/年齢別女性40歳代（％）,100.0,26.7,13.0,29.8,28.2,2.3
性/年齢別女性50歳代実数,88,20,12,21,35,-
性/年齢別女性50歳代（％）,100.0,22.7,13.6,23.9,39.8,-
性/年齢別女性60歳代実数,116,15,13,27,58,3
性/年齢別女性60歳代（％）,100.0,12.9,11.2,23.3,50.0,2.6
性/年齢別女性70歳代実数,123,6,14,32,67,4
性/年齢別女性70歳代（％）,100.0,4.9,11.4,26.0,54.5,3.3
性/年齢別女性80歳以上実数,43,1,6,12,24,-
性/年齢別女性80歳以上（％）,100.0,2.3,14.0,27.9,55.8,-
未・既婚別未婚実数,248,77,25,82,58,6
未・既婚別未婚（％）,100.0,31.0,10.1,33.1,23.4,2.4
未・既婚別既婚（死別・離別を含む）実数,991,236,123,270,343,19
