区分,基数,構成比の地域別内訳センター,構成比の地域別内訳東部北部,構成比の地域別内訳西部南部,構成比の地域別内訳多摩東部,構成比の地域別内訳多摩中央北,構成比の地域別内訳多摩中央南,構成比の地域別内訳多摩西部,構成比の地域別内訳区部計,構成比の地域別内訳市郡部計,
全体実数,1827,314,382,493,239,89,267,43,1189,638,
全体（％）,100.0,17.2,20.9,27.0,13.1,4.9,14.6,2.4,65.1,34.9,
地域別1.センター・コア・エリア実数,314,314,-,-,-,-,-,-,314,-,
地域別1.センター・コア・エリア（％）,100.0,100.0,-,-,-,-,-,-,100.0,-,
地域別2.区部東部・北部エリア実数,382,-,382,-,-,-,-,-,382,-,
地域別2.区部東部・北部エリア（％）,100.0,-,100.0,-,-,-,-,-,100.0,-,
地域別3.区部西部・南部エリア実数,493,-,-,493,-,-,-,-,493,-,
地域別3.区部西部・南部エリア（％）,100.0,-,-,100.0,-,-,-,-,100.0,-,
地域別区部(計)実数,1189,314,382,493,-,-,-,-,1189,-,
地域別区部(計)（％）,100.0,26.4,32.1,41.5,-,-,-,-,100.0,-,
地域別4.多摩東部エリア実数,239,-,-,-,239,-,-,-,-,239,
地域別4.多摩東部エリア（％）,100.0,-,-,-,100.0,-,-,-,-,100.0,
地域別5.多摩中央部北エリア実数,89,-,-,-,-,89,-,-,-,89,
地域別5.多摩中央部北エリア（％）,100.0,-,-,-,-,100.0,-,-,-,100.0,
地域別6.多摩中央部南エリア実数,267,-,-,-,-,-,267,-,-,267,
地域別6.多摩中央部南エリア（％）,100.0,-,-,-,-,-,100.0,-,-,100.0,
地域別7.多摩西部エリア実数,43,-,-,-,-,-,-,43,-,43,
地域別7.多摩西部エリア（％）,100.0,-,-,-,-,-,-,100.0,-,100.0,
地域別市郡部(計)実数,638,-,-,-,239,89,267,43,-,638,
地域別市郡部(計)（％）,100.0,-,-,-,37.5,13.9,41.8,6.7,-,100.0,
性別男性実数,882,143,194,235,112,39,138,21,572,310,
性別男性（％）,100.0,16.2,22.0,26.6,12.7,4.4,15.6,2.4,64.9,35.1,
性別女性実数,945,171,188,258,127,50,129,22,617,328,
性別女性（％）,100.0,18.1,19.9,27.3,13.4,5.3,13.7,2.3,65.3,34.7,
年齢別20歳代実数,174,33,30,48,22,7,31,3,111,63,
年齢別20歳代（％）,100.0,19.0,17.2,27.6,12.6,4.0,17.8,1.7,63.8,36.2,
年齢別(20～24歳)実数,73,8,10,19,14,4,17,1,37,36,
年齢別(20～24歳)（％）,100.0,11.0,13.7,26.0,19.2,5.5,23.3,1.4,50.7,49.3,
年齢別(25～29歳)実数,101,25,20,29,8,3,14,2,74,27,
年齢別(25～29歳)（％）,100.0,24.8,19.8,28.7,7.9,3.0,13.9,2.0,73.3,26.7,
年齢別30歳代実数,261,62,48,73,25,14,35,4,183,78,
年齢別30歳代（％）,100.0,23.8,18.4,28.0,9.6,5.4,13.4,1.5,70.1,29.9,
年齢別40歳代実数,365,57,79,105,58,19,43,4,241,124,
年齢別40歳代（％）,100.0,15.6,21.6,28.8,15.9,5.2,11.8,1.1,66.0,34.0,
年齢別50歳代実数,294,36,64,86,39,13,45,11,186,108,
年齢別50歳代（％）,100.0,12.2,21.8,29.3,13.3,4.4,15.3,3.7,63.3,36.7,
年齢別60歳代実数,313,53,70,76,48,9,48,9,199,114,
年齢別60歳代（％）,100.0,16.9,22.4,24.3,15.3,2.9,15.3,2.9,63.6,36.4,
年齢別70歳代実数,296,53,61,65,38,19,49,11,179,117,
年齢別70歳代（％）,100.0,17.9,20.6,22.0,12.8,6.4,16.6,3.7,60.5,39.5,
年齢別80歳以上実数,124,20,30,40,9,8,16,1,90,34,
年齢別80歳以上（％）,100.0,16.1,24.2,32.3,7.3,6.5,12.9,0.8,72.6,27.4,
性・年齢別男性20歳代実数,92,17,16,24,11,5,17,2,57,35,
性・年齢別男性20歳代（％）,100.0,18.5,17.4,26.1,12.0,5.4,18.5,2.2,62.0,38.0,
性・年齢別男性30歳代実数,118,30,22,36,11,6,12,1,88,30,
性・年齢別男性30歳代（％）,100.0,25.4,18.6,30.5,9.3,5.1,10.2,0.8,74.6,25.4,
性・年齢別男性40歳代実数,174,26,38,46,27,10,26,1,110,64,
性・年齢別男性40歳代（％）,100.0,14.9,21.8,26.4,15.5,5.7,14.9,0.6,63.2,36.8,
性・年齢別男性50歳代実数,161,16,37,49,19,7,27,6,102,59,
性・年齢別男性50歳代（％）,100.0,9.9,23.0,30.4,11.8,4.3,16.8,3.7,63.4,36.6,
性・年齢別男性60歳代実数,153,27,37,37,24,2,22,4,101,52,
性・年齢別男性60歳代（％）,100.0,17.6,24.2,24.2,15.7,1.3,14.4,2.6,66.0,34.0,
性・年齢別男性70歳代実数,134,20,29,26,17,9,26,7,75,59,
性・年齢別男性70歳代（％）,100.0,14.9,21.6,19.4,12.7,6.7,19.4,5.2,56.0,44.0,
性・年齢別男性80歳以上実数,50,7,15,17,3,-,8,-,39,11,
性・年齢別男性80歳以上（％）,100.0,14.0,30.0,34.0,6.0,-,16.0,-,78.0,22.0,
性・年齢別女性20歳代実数,82,16,14,24,11,2,14,1,54,28,
性・年齢別女性20歳代（％）,100.0,19.5,17.1,29.3,13.4,2.4,17.1,1.2,65.9,34.1,
性・年齢別女性30歳代実数,143,32,26,37,14,8,23,3,95,48,
性・年齢別女性30歳代（％）,100.0,22.4,18.2,25.9,9.8,5.6,16.1,2.1,66.4,33.6,
性・年齢別女性40歳代実数,191,31,41,59,31,9,17,3,131,60,
性・年齢別女性40歳代（％）,100.0,16.2,21.5,30.9,16.2,4.7,8.9,1.6,68.6,31.4,
