,割合（％）,備考
今回選挙候補者の政策や主張に賛成だから,32.7,
平成24年衆議院議員選挙候補者の政策や主張に賛成だから,30.7,
今回選挙自分の支持する政党の推薦する人だから,27.9,
平成24年衆議院議員選挙自分の支持する政党の推薦する人だから,20.5,
今回選挙国政全体のことを考えてくれる人だと思ったから,26.9,
平成24年衆議院議員選挙国政全体のことを考えてくれる人だと思ったから,40.0,
今回選挙自分の日常の暮らしを守ってくれる人だと思ったから,20.9,
平成24年衆議院議員選挙自分の日常の暮らしを守ってくれる人だと思ったから,20.8,
今回選挙人柄、経歴などから国政を託すのに最適な人だと思ったから,14.0,
平成24年衆議院議員選挙人柄、経歴などから国政を託すのに最適な人だと思ったから,15.6,
今回選挙地元の利益を考えてくれる人だと思ったから,7.9,
平成24年衆議院議員選挙地元の利益を考えてくれる人だと思ったから,7.4,
今回選挙ポスターや選挙公報などを見て、ふさわしい人だと思ったから,7.1,
平成24年衆議院議員選挙ポスターや選挙公報などを見て、ふさわしい人だと思ったから,6.9,
今回選挙家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,5.2,
平成24年衆議院議員選挙家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,4.6,
今回選挙テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,4.2,※今回調査で追加
平成24年衆議院議員選挙テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,-,
今回選挙自分の仕事や職業上の利益を守ってくれる人だと思ったから,3.0,
平成24年衆議院議員選挙自分の仕事や職業上の利益を守ってくれる人だと思ったから,3.4,
今回選挙団体や組織や知人に頼まれたから,2.4,
平成24年衆議院議員選挙団体や組織や知人に頼まれたから,2.5,
今回選挙テレビや新聞などマスコミを通して知っている人だから,2.3,
平成24年衆議院議員選挙テレビや新聞などマスコミを通して知っている人だから,3.9,
今回選挙ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,1.4,※今回調査で追加
平成24年衆議院議員選挙ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,-,
今回選挙その他,5.9,
平成24年衆議院議員選挙その他,3.4,
今回選挙特に理由はない（なんとなく）,8.3,
平成24年衆議院議員選挙特に理由はない（なんとなく）,6.6,
今回選挙わからない,1.2,
平成24年衆議院議員選挙わからない,0.1,
今回選挙無回答,0.2,
平成24年衆議院議員選挙無回答,0.4,
,,今回選挙（ｎ＝1246）
,,平成24年衆議院議員選挙（ｎ＝1427）
