,n,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないの自由（％）,その他（％）,わからない（％）,投票するべき計（％）
全体,1823,32.7,46.0,18.9,0.1,2.4,78.7
性別男性,852,38.6,41.4,17.6,0.1,2.2,80.0
性別女性,971,27.5,49.9,20.0,0.0,2.6,77.4
年齢別18歳,7,14.3,28.6,28.6,0.0,28.6,42.9
年齢別19歳,20,0.0,50.0,40.0,0.0,10.0,50.0
年齢別20歳代,164,11.6,32.9,48.2,0.0,7.3,44.5
年齢別30歳代,257,21.0,54.1,24.9,0.0,0.0,75.1
年齢別40歳代,398,23.9,57.0,17.8,0.0,1.3,80.9
年齢別50歳代,311,36.0,48.9,13.8,0.0,1.3,84.9
年齢別60歳代,337,47.8,41.5,8.0,0.0,2.7,89.3
年齢別70歳代,231,47.2,35.9,14.7,0.4,1.7,83.1
年齢別80歳以上,98,45.9,31.6,16.3,0.0,6.1,77.6
職業別自営業,133,45.9,41.4,12.0,0.0,0.8,87.2
職業別勤め人,821,26.2,49.2,22.4,0.0,2.2,75.4
職業別学生,47,10.6,29.8,48.9,0.0,10.6,40.4
職業別専業主婦(夫),395,31.9,53.4,13.7,0.0,1.0,85.3
職業別その他,25,32.0,36.0,28.0,0.0,4.0,68.0
職業別無職(年金受給者含む),402,45.0,36.1,14.9,0.2,3.7,81.1
