,調査数,定期購読している,定期購読していない,無回答
全体実数,1827,1142,681,4
全体（％）,100.0,62.5,37.3,0.2
性別男性実数,882,547,333,2
性別男性（％）,100.0,62.0,37.8,0.2
性別女性実数,945,595,348,2
性別女性（％）,100.0,63.0,36.8,0.2
年齢別20歳代実数,174,72,101,1
年齢別20歳代（％）,100.0,41.4,58.0,0.6
年齢別30歳代実数,261,84,176,1
年齢別30歳代（％）,100.0,32.2,67.4,0.4
年齢別40歳代実数,365,188,176,1
年齢別40歳代（％）,100.0,51.5,48.2,0.3
年齢別50歳代実数,294,212,82,-
年齢別50歳代（％）,100.0,72.1,27.9,-
年齢別60歳代実数,313,250,63,-
年齢別60歳代（％）,100.0,79.9,20.1,-
年齢別70歳代実数,296,239,56,1
年齢別70歳代（％）,100.0,80.7,18.9,0.3
年齢別80歳以上実数,124,97,27,-
年齢別80歳以上（％）,100.0,78.2,21.8,-
性/年齢別男性20歳代実数,92,37,54,1
性/年齢別男性20歳代（％）,100.0,40.2,58.7,1.1
性/年齢別男性30歳代実数,118,36,81,1
性/年齢別男性30歳代（％）,100.0,30.5,68.6,0.8
性/年齢別男性40歳代実数,174,80,94,-
性/年齢別男性40歳代（％）,100.0,46.0,54.0,-
性/年齢別男性50歳代実数,161,108,53,-
性/年齢別男性50歳代（％）,100.0,67.1,32.9,-
性/年齢別男性60歳代実数,153,127,26,-
性/年齢別男性60歳代（％）,100.0,83.0,17.0,-
性/年齢別男性70歳代実数,134,119,15,-
性/年齢別男性70歳代（％）,100.0,88.8,11.2,-
性/年齢別男性80歳以上実数,50,40,10,-
性/年齢別男性80歳以上（％）,100.0,80.0,20.0,-
性/年齢別女性20歳代実数,82,35,47,-
性/年齢別女性20歳代（％）,100.0,42.7,57.3,-
性/年齢別女性30歳代実数,143,48,95,-
性/年齢別女性30歳代（％）,100.0,33.6,66.4,-
性/年齢別女性40歳代実数,191,108,82,1
性/年齢別女性40歳代（％）,100.0,56.5,42.9,0.5
性/年齢別女性50歳代実数,133,104,29,-
性/年齢別女性50歳代（％）,100.0,78.2,21.8,-
性/年齢別女性60歳代実数,160,123,37,-
性/年齢別女性60歳代（％）,100.0,76.9,23.1,-
性/年齢別女性70歳代実数,162,120,41,1
性/年齢別女性70歳代（％）,100.0,74.1,25.3,0.6
性/年齢別女性80歳以上実数,74,57,17,-
性/年齢別女性80歳以上（％）,100.0,77.0,23.0,-
未・既婚別未婚実数,453,219,232,2
未・既婚別未婚（％）,100.0,48.3,51.2,0.4
未・既婚別既婚（死別・離別を含む）実数,1366,919,445,2
未・既婚別既婚（死別・離別を含む）（％）,100.0,67.3,32.6,0.1
子供の有無別子供はいない実数,642,321,319,2
子供の有無別子供はいない（％）,100.0,50.0,49.7,0.3
子供の有無別未就学（～６歳）実数,180,61,118,1
子供の有無別未就学（～６歳）（％）,100.0,33.9,65.6,0.6
子供の有無別小・中・高校生実数,270,156,114,-
子供の有無別小・中・高校生（％）,100.0,57.8,42.2,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,78,28,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,73.6,26.4,-
子供の有無別学校教育終了実数,743,596,146,1
子供の有無別学校教育終了（％）,100.0,80.2,19.7,0.1
子供の有無別その他実数,7,5,2,-
子供の有無別その他（％）,100.0,71.4,28.6,-
職業別自営業（計）実数,152,109,43,-
職業別自営業（計）（％）,100.0,71.7,28.3,-
職業別農林漁業実数,3,3,-,-
職業別農林漁業（％）,100.0,100.0,-,-
職業別商工・サービス業実数,96,70,26,-
職業別商工・サービス業（％）,100.0,72.9,27.1,-
職業別その他自由業実数,53,36,17,-
職業別その他自由業（％）,100.0,67.9,32.1,-
職業別お勤め（計）実数,934,498,434,2
職業別お勤め（計）（％）,100.0,53.3,46.5,0.2
職業別経営・管理職実数,94,69,25,-
職業別経営・管理職（％）,100.0,73.4,26.6,-
職業別専門職・技術職実数,243,121,122,-
職業別専門職・技術職（％）,100.0,49.8,50.2,-
職業別事務職実数,249,132,117,-
職業別事務職（％）,100.0,53.0,47.0,-
職業別労務職・技能職実数,111,59,52,-
職業別労務職・技能職（％）,100.0,53.2,46.8,-
職業別販売・サービス職実数,237,117,118,2
職業別販売・サービス職（％）,100.0,49.4,49.8,0.8
職業別その他（計）実数,732,529,201,2
職業別その他（計）（％）,100.0,72.3,27.5,0.3
職業別生徒・学生実数,35,19,15,1
職業別生徒・学生（％）,100.0,54.3,42.9,2.9
職業別専業主婦（夫）実数,309,216,92,1
職業別専業主婦（夫）（％）,100.0,69.9,29.8,0.3
職業別その他実数,18,15,3,-
職業別その他（％）,100.0,83.3,16.7,-
職業別無職（年金受給者含む）実数,370,279,91,-
職業別無職（年金受給者含む）（％）,100.0,75.4,24.6,-
投票所までの時間別５分以内実数,712,460,252,-
投票所までの時間別５分以内（％）,100.0,64.6,35.4,-
投票所までの時間別10分以内実数,769,485,281,3
投票所までの時間別10分以内（％）,100.0,63.1,36.5,0.4
投票所までの時間別20分以内実数,245,150,94,1
投票所までの時間別20分以内（％）,100.0,61.2,38.4,0.4
投票所までの時間別30分以内実数,38,24,14,-
投票所までの時間別30分以内（％）,100.0,63.2,36.8,-
投票所までの時間別30分を超える実数,11,8,3,-
投票所までの時間別30分を超える（％）,100.0,72.7,27.3,-
投票所までの時間別わからない実数,48,12,36,-
投票所までの時間別わからない（％）,100.0,25.0,75.0,-
地域別区部（計）実数,1189,714,471,4
地域別区部（計）（％）,100.0,60.1,39.6,0.3
地域別センターコア実数,314,177,137,-
地域別センターコア（％）,100.0,56.4,43.6,-
地域別区部東部・北部エリア実数,382,223,157,2
地域別区部東部・北部エリア（％）,100.0,58.4,41.1,0.5
地域別区部西部・南部エリア実数,493,314,177,2
地域別区部西部・南部エリア（％）,100.0,63.7,35.9,0.4
地域別市郡部（計）実数,638,428,210,-
地域別市郡部（計）（％）,100.0,67.1,32.9,-
地域別多摩東部エリア実数,239,168,71,-
地域別多摩東部エリア（％）,100.0,70.3,29.7,-
地域別多摩中央部北エリア実数,89,51,38,-
地域別多摩中央部北エリア（％）,100.0,57.3,42.7,-
地域別多摩中央部南エリア実数,267,183,84,-
地域別多摩中央部南エリア（％）,100.0,68.5,31.5,-
地域別多摩西部エリア実数,43,26,17,-
地域別多摩西部エリア（％）,100.0,60.5,39.5,-
選挙への関心度別関心があった（計）実数,1084,743,339,2
選挙への関心度別関心があった（計）（％）,100.0,68.5,31.3,0.2
選挙への関心度別関心があった実数,642,459,182,1
選挙への関心度別関心があった（％）,100.0,71.5,28.3,0.2
選挙への関心度別やや関心があった実数,442,284,157,1
選挙への関心度別やや関心があった（％）,100.0,64.3,35.5,0.2
選挙への関心度別関心がなかった（計）実数,179,98,80,1
選挙への関心度別関心がなかった（計）（％）,100.0,54.7,44.7,0.6
選挙への関心度別あまり関心がなかった実数,554,297,256,1
選挙への関心度別あまり関心がなかった（％）,100.0,53.6,46.2,0.2
選挙への関心度別関心がなかった実数,369,212,156,1
選挙への関心度別関心がなかった（％）,100.0,57.5,42.3,0.3
選挙への関心度別どちらともいえない実数,185,85,100,-
選挙への関心度別どちらともいえない（％）,100.0,45.9,54.1,-
選挙への関心度別わからない実数,7,3,4,-
選挙への関心度別わからない（％）,100.0,42.9,57.1,-
投票への意識別投票するべき（計）実数,1484,977,504,3
投票への意識別投票するべき（計）（％）,100.0,65.8,34.0,0.2
投票への意識別必ず投票するべき実数,703,507,196,-
投票への意識別必ず投票するべき（％）,100.0,72.1,27.9,-
投票への意識別可能な限り投票するべき実数,781,470,308,3
投票への意識別可能な限り投票するべき（％）,100.0,60.2,39.4,0.4
投票への意識別投票するのもしないのも自由実数,315,154,160,1
投票への意識別投票するのもしないのも自由（％）,100.0,48.9,50.8,0.3
投票への意識別その他実数,11,6,5,-
投票への意識別その他（％）,100.0,54.5,45.5,-
投票への意識別わからない実数,15,4,11,-
投票への意識別わからない（％）,100.0,26.7,73.3,-
投票への参加状況別投票した（計）実数,1246,864,381,1
投票への参加状況別投票した（計）（％）,100.0,69.3,30.6,0.1
投票への参加状況別投票日（12月14日）に投票した実数,987,682,304,1
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,69.1,30.8,0.1
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,182,77,-
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,70.3,29.7,-
投票への参加状況別投票しなかった実数,563,271,290,2
投票への参加状況別投票しなかった（％）,100.0,48.1,51.5,0.4
投票への参加状況別答えたくない実数,18,7,10,1
投票への参加状況別答えたくない（％）,100.0,38.9,55.6,5.6
新聞の定期購読定期購読している実数,1142,1142,-,-
新聞の定期購読定期購読している（％）,100.0,100.0,-,-
新聞の定期購読定期購読していない実数,681,-,681,-
新聞の定期購読定期購読していない（％）,100.0,-,100.0,-
インターネットの利用有無利用している実数,984,518,465,1
インターネットの利用有無利用している（％）,100.0,52.6,47.3,0.1
インターネットの利用有無利用していない実数,835,622,212,1
インターネットの利用有無利用していない（％）,100.0,74.5,25.4,0.1
ネット選挙の認知度別知っている実数,955,626,329,-
ネット選挙の認知度別知っている（％）,100.0,65.5,34.5,-
ネット選挙の認知度別知らなかった実数,752,428,322,2
ネット選挙の認知度別知らなかった（％）,100.0,56.9,42.8,0.3
