,調査数,5分以内,10分以内,20分以内,30分以内,30分を超える,わからない,無回答
全体実数,1827,712,769,245,38,11,48,4
全体（％）,100.0,39.0,42.1,13.4,2.1,0.6,2.6,0.2
性別男性実数,882,345,375,107,17,4,31,3
性別男性（％）,100.0,39.1,42.5,12.1,1.9,0.5,3.5,0.3
性別女性実数,945,367,394,138,21,7,17,1
性別女性（％）,100.0,38.8,41.7,14.6,2.2,0.7,1.8,0.1
年齢別20歳代実数,174,62,66,27,4,2,13,-
年齢別20歳代（％）,100.0,35.6,37.9,15.5,2.3,1.1,7.5,-
年齢別30歳代実数,261,109,95,37,4,1,15,-
年齢別30歳代（％）,100.0,41.8,36.4,14.2,1.5,0.4,5.7,-
年齢別40歳代実数,365,159,153,37,9,1,6,-
年齢別40歳代（％）,100.0,43.6,41.9,10.1,2.5,0.3,1.6,-
年齢別50歳代実数,294,107,130,50,3,2,2,-
年齢別50歳代（％）,100.0,36.4,44.2,17.0,1.0,0.7,0.7,-
年齢別60歳代実数,313,135,126,43,4,-,4,1
年齢別60歳代（％）,100.0,43.1,40.3,13.7,1.3,-,1.3,0.3
年齢別70歳代実数,296,113,139,31,6,3,2,2
年齢別70歳代（％）,100.0,38.2,47.0,10.5,2.0,1.0,0.7,0.7
年齢別80歳以上実数,124,27,60,20,8,2,6,1
年齢別80歳以上（％）,100.0,21.8,48.4,16.1,6.5,1.6,4.8,0.8
性/年齢別男性20歳代実数,92,32,36,13,2,-,9,-
性/年齢別男性20歳代（％）,100.0,34.8,39.1,14.1,2.2,-,9.8,-
性/年齢別男性30歳代実数,118,47,44,15,3,-,9,-
性/年齢別男性30歳代（％）,100.0,39.8,37.3,12.7,2.5,-,7.6,-
性/年齢別男性40歳代実数,174,71,78,13,7,1,4,-
性/年齢別男性40歳代（％）,100.0,40.8,44.8,7.5,4.0,0.6,2.3,-
性/年齢別男性50歳代実数,161,60,72,27,-,1,1,-
性/年齢別男性50歳代（％）,100.0,37.3,44.7,16.8,-,0.6,0.6,-
性/年齢別男性60歳代実数,153,68,61,19,1,-,3,1
性/年齢別男性60歳代（％）,100.0,44.4,39.9,12.4,0.7,-,2.0,0.7
性/年齢別男性70歳代実数,134,58,57,13,2,2,1,1
