年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成28年11月,2016,11,409,106,104,...,303,126,93,607,267,147,289,331,126,402,275,896,285,221,193,134,346,1012,281,733,687,150,846,1642,490,365,665,246,619,897,251,1104,778,1668,...,2723,512,762,797,950,1123,1731,...,536,794,...,556,577,378,450,...,...,...,...,515,...,...,...,...,...,260,945,191,231,319
平成28年12月,2016,12,413,99,95,...,297,112,85,600,259,154,301,335,124,394,272,882,284,226,195,138,233,833,193,661,603,150,713,1813,478,368,633,164,418,948,239,1130,843,1491,...,2462,540,722,858,917,1013,1719,...,560,807,...,520,601,477,455,...,...,...,...,599,...,...,...,2130,...,247,905,191,224,329
平成28年12月上旬,2016,12上,416,107,105,...,...,117,85,608,265,155,...,...,...,393,...,...,...,...,...,...,236,851,192,650,658,...,734,1735,...,...,...,164,...,...,241,1105,...,...,...,2545,557,711,836,970,1007,...,...,...,...,...,508,599,...,...,...,...,...,...,555,...,...,...,2032,...,248,...,190,223,323
平成28年12月中旬,2016,12中,410,99,90,...,297,105,84,596,257,157,301,335,124,398,272,882,284,226,195,138,220,790,183,639,618,150,712,1787,478,368,633,161,418,948,236,1115,843,1491,...,2492,532,688,837,923,985,1719,...,560,807,...,519,593,477,455,...,...,...,...,570,...,...,...,2054,...,247,905,191,222,322
平成28年12月下旬,2016,12下,414,91,91,...,...,113,86,596,256,150,...,...,...,391,...,...,...,...,...,...,244,859,203,694,533,...,693,1916,...,...,...,167,...,...,239,1171,...,...,...,2349,531,765,902,857,1046,...,...,...,...,...,532,612,...,...,...,...,...,...,672,...,...,...,2305,...,247,...,193,229,342
平成29年１月上旬,2017,1上,424,169,107,...,...,145,83,594,276,147,...,...,...,387,...,...,...,...,...,...,233,950,202,724,510,...,648,2051,...,...,...,182,...,...,238,1307,...,...,...,2293,541,732,879,818,1122,...,...,...,...,...,554,656,...,...,...,...,...,...,...,...,...,...,1988,...,248,...,189,225,310
平成29年１月中旬,2017,1中,420,101,87,...,296,116,81,610,275,169,295,348,126,385,275,911,279,226,195,139,210,840,196,686,477,150,626,2123,473,382,646,165,370,993,233,1296,872,1517,...,2206,480,713,842,796,1088,1960,...,558,822,...,543,645,487,469,...,...,...,...,...,...,...,...,1819,...,255,952,185,223,316
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H29.1,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２９年１月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
