年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成29年８月,2017,8,416,109,83,210,314,114,105,589,250,132,287,320,128,...,293,884,301,229,201,133,139,1167,219,783,331,153,683,1620,516,371,872,171,336,947,256,1621,974,1555,1325,2205,486,497,526,569,757,1630,588,451,602,714,...,...,320,456,...,668,1184,1683,...,925,376,690,...,...,234,946,191,228,318
平成29年９月,2017,9,430,105,89,212,311,127,138,592,266,134,297,324,125,...,315,909,290,228,200,134,170,1186,255,692,483,152,804,1940,474,362,780,182,325,905,241,1093,969,1548,1132,2236,450,585,660,761,797,1682,706,503,675,534,...,773,322,456,...,489,1147,1221,...,923,...,...,...,...,238,895,191,223,323
平成29年９月上旬,2017,9上,437,110,87,212,...,134,125,581,261,133,...,...,...,...,...,...,...,...,...,...,167,1245,243,712,515,...,832,1893,...,...,...,177,...,...,243,1156,...,...,1156,2181,465,626,630,744,781,...,715,...,...,579,...,940,...,...,...,505,1140,1242,...,889,...,...,...,...,236,...,190,220,321
平成29年９月中旬,2017,9中,419,99,85,210,311,118,151,599,267,121,297,324,125,...,315,909,290,228,200,134,170,1235,267,666,474,152,802,1963,474,362,780,186,325,905,240,1107,969,1548,1121,2294,461,591,668,791,799,1682,693,503,675,526,...,721,322,456,...,501,1128,1186,...,937,...,...,...,...,238,895,190,220,325
平成29年９月下旬,2017,9下,434,106,94,215,...,128,139,595,269,149,...,...,...,...,...,...,...,...,...,...,174,1078,256,699,461,...,780,1964,...,...,...,184,...,...,241,1015,...,...,1118,2233,424,537,683,746,811,...,711,...,...,497,...,656,...,...,...,459,1172,1236,...,943,...,...,...,...,239,...,192,228,325
平成29年10月上旬,2017,10上,438,107,73,210,...,138,110,586,254,147,...,...,...,432,...,...,...,...,...,...,146,926,189,631,334,...,689,1937,...,...,...,169,...,...,232,1012,...,...,...,2215,404,459,573,673,763,...,978,...,...,482,...,545,...,...,...,464,...,1305,510,...,...,...,...,...,245,...,191,221,326
平成29年10月中旬,2017,10中,448,97,76,219,322,121,100,586,247,129,320,322,128,400,309,910,288,235,199,136,134,795,176,608,279,156,627,1736,419,344,709,147,313,879,246,988,946,1548,...,2240,401,454,530,695,711,1664,991,511,702,479,...,534,315,462,...,486,...,1290,474,...,...,...,...,...,235,870,188,223,323
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H29.1,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２９年10月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
