年月,西暦（年）,月,消費者物価指数2015年=100(平成27年=100)/全国,消費者物価指数2015年=100(平成27年=100)/東京都区部,戦前基準指数(昭和09～11年=1)/企業物価指数,注1)消費水準指数全国2015年=100(平成27年=100)/二人以上の世帯,東京都生計分析調査（勤労者世帯）/実収入（円）,東京都生計分析調査（勤労者世帯）/消費支出（円）,東京都生計分析調査（勤労者世帯）/注3)平均消費性向（％）,東京都生計分析調査（勤労者世帯）/注4)公共的料金負担率（％）,注2)実質賃金指数東京都/調査産業計
平成9年平均,1997,,99.5,102.7,698.4,111.2,655940,386106,71.7,28.9,- 
平成10年平均,1998,,100.1,103.5,687.5,108.7,656646,377118,69.2,27.4,- 
平成11年平均,1999,,99.8,103.1,664.3,107.9,642848,366762,68.5,28.2,- 
平成12年平均,2000,,99.1,102.1,664.2,107.2,643946,372835,69.7,28.9,- 
平成13年平均,2001,,98.4,101,658,106.1,628068,364721,69.8,29.5,- 
平成14年平均,2002,,97.5,100,645.7,106.5,633711,361608,68.2,29.4,- 
平成15年平均,2003,,97.2,99.6,637.3,106,583065,355982,73.2,29.8,- 
平成16年平均,2004,,97.2,99.5,644.7,106.4,596372,362122,72.7,30.1,- 
平成17年平均,2005,,96.9,98.9,665,106.4,578340,352303,72.8,29.5,- 
平成18年平均,2006,,97.2,99,692.7,104.5,585818,350664,72.4,29.5,- 
平成19年平均,2007,,97.2,99.1,711.9,105.6,574514,346256,73,29.9,- 
平成20年平均,2008,,98.6,100.1,736.6,103.5,581293,343972,72.4,29.2,- 
平成21年平均,2009,,97.2,98.9,664.4,103.8,598723,359096,74.1,29.1,- 
平成22年平均,2010,,96.5,98,668.5,104.3,615748,363141,73.2,28.4,- 
平成23年平均,2011,,96.3,97.5,680.9,102.4,565071,337458,73.8,30.2,104.1
平成24年平均,2012,,96.2,97,674.4,103.3,575440,348158,75.2,29.6,103.8
平成25年平均,2013,,96.6,97.1,711.1,104.8,578628,363721,78.2,30,104
平成26年平均,2014,,99.2,99.3,735.4,102.1,585636,353261,75.8,28.7,101.3
平成27年平均,2015,,100,100,710,100,574733,354241,77,29.6,100
平成28年平均,2016,,99.9,99.8,658.2,98.4,605530,356829,73.7,29.9,100.2
平成26年10月,2014,10,100,100.1,737.1,98.3,519617,338522,81.8,31,-
平成26年11月,2014,11,99.6,99.7,746.3,99.5,475452,326069,84.9,28.2,-
平成26年12月,2014,12,99.7,99.8,742.5,113.2,979250,407852,50.8,26.5,-
平成27年1月,2015,1,99.6,99.6,723.7,99.3,502885,380771,94.5,29.9,-
平成27年2月,2015,2,99.4,99.5,713.6,101,509393,342866,82.2,31,-
平成27年3月,2015,3,99.7,99.8,718.4,108.7,500360,370134,92.3,30.8,-
平成27年4月,2015,4,100.2,100.4,715.2,105.8,521125,423571,100.3,38.8,-
平成27年5月,2015,5,100.4,100.4,718.5,97.1,482508,375467,99.7,28.6,-
平成27年6月,2015,6,100.2,100.2,723.9,94.4,862848,324527,49.6,26.6,-
平成27年7月,2015,7,100.1,100,718.5,95.7,590877,330863,70.5,25.5,-
平成27年8月,2015,8,100.2,100.1,710.8,99.3,497942,335029,82.6,25.6,-
平成27年9月,2015,9,100.3,100.2,699.3,96.6,450322,324185,89.4,32.4,-
平成27年10月,2015,10,100.2,100.2,693.5,96.4,518855,336083,78.8,28.4,-
平成27年11月,2015,11,99.9,99.8,695.1,96.7,470092,339540,91.4,28.9,-
平成27年12月,2015,12,99.8,99.9,689,109,989585,367859,45.5,26.2,-
平成28年1月,2016,1,99.5,99.4,673.7,96.6,478334,358222,93,28.5,83.7
平成28年2月,2016,2,99.6,99.7,664.1,99.1,519169,345302,83.3,35.6,79.9
平成28年3月,2016,3,99.7,99.9,660.7,103.3,519410,375300,91.2,32.4,89.3
平成28年4月,2016,4,99.9,100,656.5,105.6,557320,406673,90.1,36.7,84.1
平成28年5月,2016,5,100,100,655.8,96.9,510231,353854,91,29.5,86.3
平成28年6月,2016,6,99.9,99.8,652.1,92.7,869728,321578,48.3,25.4,157.8
平成28年7月,2016,7,99.6,99.5,650.9,95.6,668423,346604,64.8,26.3,112.1
平成28年8月,2016,8,99.7,99.6,645.9,95.1,546189,345687,78.6,25.5,81
平成28年9月,2016,9,99.8,99.7,647.8,94.9,503975,341432,83.4,33.8,81.6
平成28年10月,2016,10,100.4,100.3,650.4,96.3,554506,348258,76.7,31.6,81.7
平成28年11月,2016,11,100.4,100.3,662.7,95.5,495942,340209,84.8,27,85.6
平成28年12月,2016,12,100.1,99.9,677.7,108.9,1043137,398830,46.9,25,180.4
平成29年1月,2017,1,100,99.5,682.5,95.7,517600,370763,88.5,27.7,82.6
平成29年2月,2017,2,99.8,99.4,684,99.1,531854,364527,83.3,34.7,81.1
平成29年3月,2017,3,99.9,99.5,686.7,102.4,- ,- ,- ,- ,- 
,,,,,,,,,,,
東京の物価／平成29年4月,,,,,,,,,,,
参考表３　主要指標,,,,,,,,,,,
2015年=100(平成27年=100）,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員、世帯主の年齢階級別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、これを消費者物価指数で除して実質化し、さらに平成27年平均を基準として指数化したもの。,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   ,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,
