5-(15)　　沖港,,,,,
,,,,,
④　海上出入貨物,,,,,単位： トン
品　　　種　　　等,,コード,総　　数,移出,移入
総　　　　　　　数,,,"17,542","6,968","10,574"
【一般】,,,"17,542","6,968","10,574"
(1)　農水産品,,,561,223,338
　　　　麦,,11,‐,‐,‐
　　　　米,,21,‐,‐,‐
　　　　とうもろこし,,22,‐,‐,‐
　　　　豆類,,23,‐,‐,‐
　　　　その他雑穀,,24,‐,‐,‐
　　　　野菜・果物,,31,‐,‐,‐
　　　　綿花,,41,‐,‐,‐
　　　　その他農産品,,51,322,101,221
　　　　羊毛,,61,‐,‐,‐
　　　　その他畜産品,,71,43,‐,43
         水産品,,81,196,122,74
(2)　林産品,,,204,161,43
　　　　原木,,91,‐,‐,‐
　　　　製材,,92,43,‐,43
　　　　樹脂類,,101,‐,‐,‐
　　　　木材チップ,,111,161,161,‐
　　　　その他林産品,,112,‐,‐,‐
　　　　薪炭,,121,‐,‐,‐
(3)　鉱産品,,,"2,006",1,"2,005"
　　　　石炭,,131,‐,‐,‐
　　　　鉄鉱石,,141,‐,‐,‐
　　　　金属鉱,,151,‐,‐,‐
　　　　砂利・砂,,161,"2,002",‐,"2,002"
　　　　石材,,162,4,1,3
　　　　原油,,171,‐,‐,‐
　　　　りん鉱石,,181,‐,‐,‐
　　　　石灰石,,191,‐,‐,‐
　　　　原塩,,201,‐,‐,‐
　　　　非金属鉱物,,211,‐,‐,‐
(4)  金属機械工業品,,,"2,907",898,"2,009"
　　　　鉄鋼,,221,‐,‐,‐
　　　　鋼材,,222,91,2,89
　　　　非鉄金属,,231,‐,‐,‐
　　　　金属製品,,241,655,59,596
　　　　鉄道車両,,251,‐,‐,‐
　　　　完成自動車,,252,"1,110",430,680
　　　　その他輸送用車両,,253,1,‐,1
　　　　二輪自動車,,254,5,‐,5
　　　　自動車部品,,255,‐,‐,‐
　　　　その他輸送機械,,256,540,254,286
　　　　産業機械,,261,111,41,70
　　　　電気機械,,262,‐,‐,‐
　　　　測量・光学・医療用機械,,263,‐,‐,‐
　　　　事務用機器,,264,‐,‐,‐
　　　　その他機械,,265,394,112,282
(5)　化学工業品,,,"2,626",15,"2,611"
　　　　陶磁器,,271,‐,‐,‐
　　　　セメント,,281,426,8,418
　　　　ガラス類,,291,18,‐,18
　　　　窯業品,,301,478,6,472
　　　　重油,,311,"1,080",‐,"1,080"
　　　　揮発油,,320,118,‐,118
　　　　その他の石油,,321,308,‐,308
　　　　LNG（液化天然ガス）,,322,‐,‐,‐
　　　　LPG（液化石油ガス）,,323,28,‐,28
　　　　石油製品,,324,5,‐,5
　　　　コークス,,331,‐,‐,‐
　　　　石炭製品,,341,‐,‐,‐
　　　　化学薬品,,351,11,‐,11
　　　　化学肥料,,361,‐,‐,‐
"　　　　染料・塗料・合成樹脂
  　　　その他化学工業品",,371,154,1,153
(6)　軽工業品,,,442,22,420
　　　　紙、パルプ,,381,‐,‐,‐
　　　　糸及び紡績半製品,,391,‐,‐,‐
　　　　その他繊維工業品,,401,‐,‐,‐
　　　　砂糖,,411,4,‐,4
　　　　製造食品,,421,37,‐,37
　　　　飲料,,422,49,‐,49
　　　　水,,423,‐,‐,‐
　　　　たばこ,,424,‐,‐,‐
　　　　その他食料工業品,,425,352,22,330
(7)　雑工業品,,,"1,158",234,924
　　　　がん具,,431,‐,‐,‐
　　  　衣服・身廻品・はきもの,,441,‐,‐,‐
"　       文房具・運動娯楽用品・
         楽器",,442,‐,‐,‐
　　　　家具装備品,,443,‐,‐,‐
　　　　その他日用品,,444,"1,054",233,821
　　　　ゴム製品,,451,17,‐,17
　　　　木製品,,461,87,1,86
　　　　その他製造工業品,,471,‐,‐,‐
(8)　特殊品,,,"7,638","5,414","2,224"
　　　　金属くず,,481,"1,002","1,002",‐
　　　　再利用資材,,491,869,869,‐
　　　　動植物性製造飼肥料,,501,78,‐,78
　　　　廃棄物,,511,992,992,‐
　　　　廃土砂,,512,"1,952","1,952",‐
　　　　輸送用容器,,521,"1,111",265,846
　　　　取合せ品,,531,"1,634",334,"1,300"
(9)　分類不能のもの,,541,‐,‐,‐
【自航】,,,‐,‐,‐
_1港　湾　名,主　　管　　課,郵便番号,所　　在　　地,電　　話
函館,函館市 港湾空港部 管理課,040-8666,函館市東雲町4-13,0138-21-3484
苫小牧,苫小牧港管理組合 施設部 計画課,053-0003,苫小牧市入船町3-4-21,0144-34-6684
八戸,青森県 県土整備部 港湾空港課,030-8570,青森市長島1丁目1番1号,017-734-9676
釜石,釜石市 産業振興部 港湾振興課,026-8686,"釜石市只越町3丁目9番13号
   第3庁舎２F",0193-27-8425
大船渡,大船渡市 商工港湾部 企業立地港湾課,022-8501,大船渡市盛町字宇津野沢15,0192-27-3111
仙台塩釜,宮城県 土木部 港湾課,980-8570,仙台市青葉区本町3-8-1,022-211-3214
小名浜,福島県 土木部 港湾課,960-8670,福島市杉妻町2-16,024-521-7497
鹿島,茨城県 土木部 港湾課,310-8555,水戸市笠原町978-6,029-301-4521
那珂湊,茨城県 土木部 港湾課,310-8555,水戸市笠原町978-6,029-301-4521
茨城,茨城県 土木部 港湾課,310-8555,水戸市笠原町978-6,029-301-4521
千葉,千葉県 県土整備部 港湾課,260-8667,"千葉市中央区市場町1-1
   中庁舎5F",043-223-3835
川崎,川崎市 港湾局 港湾振興部 誘致振興課,210-0007,"川崎市川崎区駅前本町12-１
   川崎駅前タワー・リバーク20F",044-200-3064
横浜,横浜市 港湾局 港湾物流部 物流運営課,231-0005,横浜市中区本町６-50-10　30F,045-671-7190
清水,静岡県 清水港管理局 企画振興課,424-0922,静岡市清水区日の出町9-25,054-353-2203
御前崎,静岡県 御前崎港管理事務所 企画振興課,437-1623,静岡県御前崎市港6129-1,0548-63-3213
三河,愛知県 三河港務所 総務課,441-8075,豊橋市神野ふ頭町3番地9,0532-31-4155
名古屋,名古屋港管理組合 企画調整室 統計センター,455-0033,名古屋市港区港町1-11,052-654-7841
四日市,四日市港管理組合 経営企画部　企画課,510-0011,四日市市霞２-1-1,059-327-7156
大阪,大阪市 港湾局 計画整備部 計画課,559-0034,"大阪市住之江区南港北2-1-10
   ATCビルITM棟10F",06-6615-7768
神戸,神戸市 港湾局 みなと振興部 ポートセールス課,650-0046,"神戸市中央区港島中町4-1-1
　ポートアイランドビル7F",078-595-6290
和歌山下津,和歌山県 県土整備部 港湾空港局 港湾空港振興課　,640-8585,和歌山市小松原通１-１,073-441-3157
宇野,岡山県 宇野港管理事務所,706-0011,玉野市宇野1-8-9,0863-31-3211
広島,広島県 土木建築局 港湾振興課,730-8511,広島市中区基町10-52,082-513-4035
岩国,山口県 土木建築部 港湾課,753-8501,"山口市滝町1-1
   山口県庁11F",083-933-3817
徳山下松,山口県 土木建築部 港湾課,753-8501,"山口市滝町1-1
   山口県庁11F",083-933-3817
三島川之江,愛媛県 土木部 河川港湾局 港湾海岸課,790-8570,松山市一番町4-4-2,089-912-2690
松山,愛媛県 土木部 河川港湾局 港湾海岸課,790-8570,松山市一番町4-4-2,089-912-2690
北九州,北九州市 港湾空港局 みなと振興部 物流振興課,801-8555,北九州市門司区西海岸1-2-7,093-321-5941
博多,福岡市 港湾空港局　総務部　総務企画課,812-8620,"福岡市博多区沖浜町12-1
   博多港センタービル8F",092-282-7120
志布志,鹿児島県 土木部 港湾空港課,890-8577,鹿児島市鴨池新町10番1号,099-286-2111
那覇,那覇港管理組合 総務課,900-0035,沖縄県那覇市通堂町2-1,098-868-2578
,,,,
国土交通省,総合政策局　情報政策課　交通経済統計調査室,100-8918,千代田区霞ヶ関2-1-2,03-5253-8348
国土交通省,港湾局　計画課  企画室　,100-8918,千代田区霞ヶ関2-1-3,03-5253-8670
国土交通省,関東地方整備局 港湾空港部 港湾計画課,231-8436,"横浜市中区北仲通5-57
   横浜第２合同庁舎14F",045-211-7415
,,,,
