年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成22,2010,0,13000,東京都,Tokyo-to,82894,46435,36459,14438,82882,46427,36455,14436,12,8,4,2
平成23,2011,0,13000,東京都,Tokyo-to,83793,47667,36126,14679,83783,47661,36122,14678,10,6,4,1
平成24,2012,0,13000,東京都,Tokyo-to,84238,48303,35935,14587,84233,48301,35932,14586,5,2,3,1
平成25,2013,0,13000,東京都,Tokyo-to,83615,47200,36415,14914,83613,47200,36413,14913,2,-,2,1
平成26,2014,0,13000,東京都,Tokyo-to,82150,45539,36611,15222,82147,45539,36608,15222,3,-,3,-
平成26,2014,1,13100,区部,All ku,54072,29975,24097,10219,54069,29975,24094,10219,3,-,3,-
平成26,2014,2,13101,千代田区,Chiyoda-ku,240,110,130,89,239,110,129,89,1,-,1,-
平成26,2014,2,13102,中央区,Chuo-ku,641,329,312,148,641,329,312,148,-,-,-,-
平成26,2014,2,13103,港区,Minato-ku,1108,655,453,304,1108,655,453,304,-,-,-,-
平成26,2014,2,13104,新宿区,Shinjuku-ku,1674,983,691,291,1674,983,691,291,-,-,-,-
平成26,2014,2,13105,文京区,Bunkyo-ku,697,356,341,258,697,356,341,258,-,-,-,-
平成26,2014,2,13106,台東区,Taito-ku,1086,624,462,172,1086,624,462,172,-,-,-,-
平成26,2014,2,13107,墨田区,Sumida-ku,1796,975,821,335,1796,975,821,335,-,-,-,-
平成26,2014,2,13108,江東区,Koto-ku,3213,1740,1473,592,3213,1740,1473,592,-,-,-,-
