年度,Fiscal year,地域階層,地域コード,地域,District,ポンプ所揚水量 Water pumped at pumping station／総数 Total 1) (1000 m3),ポンプ所揚水量 Water pumped at pumping station／中継送水量 Water relayed (1000 m3),ポンプ所揚水量 Water pumped at pumping station／放水量 Water discharged (1000 m3),下水処理量 Treated sewage (1000 m3),汚泥量 Sludge (1000 m3),脱水汚泥量 Dehydrated sludge (t),汚泥焼却量 Incinerated sludge (t),処理区域面積 Sewage treatment area (ha)
平成24,2012,0,13000,総数,Tokyo-to,758262,697184,58154,1911973,83307,1199994,1193804,96637
平成25,2013,0,13000,総数,Tokyo-to,802258,708214,89821,1971496,80197,1164417,1124645,96747
平成26,2014,0,13000,総数,Tokyo-to,828035,726464,97585,2027769,74681,1176200,1143666,96841
平成26,2014,1,13100,区部,All ku,826457,724886,97585,1685273,60495,919176,886642,56226
平成26,2014,2,,流域下水道,Regional sewerage system,1578,1578,-,342496,14186,257024,257024,40615
,,,,,,,,,,,,,
6-10  下 水 の 処 理 状 況 （平成24～26年度） ,,,,,,,,,,,,,
6-10  SEWAGE TREATMENT ( Fiscal Years 2012～2014 ) ,,,,,,,,,,,,,
第6-9表頭注参照       See headnote，Table6-9.,,,,,,,,,,,,,
注 1) 総数には，雨水貯留量も含む。 ,,,,,,,,,,,,,
2) 流域下水道 「野川処理区」 の下水は，森ヶ崎水再生センター （区部） へ導入している。                 a) Regional sewerage system ,,,,,,,,,,,,,
Note: 1) Includes volume of stored rainwater.　 ,,,,,,,,,,,,,
"2) Sewage of the regional sewerage system ""Nogawa treatment district"" is sent to Morigasaki Water Reclamation Center (all ku). ",,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage，TMG,,,,,,,,,,,,,
