年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／団体数 Number,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険（年金開始前） Individual Annuity Insurance  (Income Deferred)／件数 Number,個人年金保険（年金開始前） Individual Annuity Insurance  (Income Deferred)／金額 Value
平成22,2010,14474922,106967166,20333,207229678,254238648,2042628,12473951
平成23,2011,14968624,105488916,19741,196259573,252751785,2089062,12696848
平成24,2012,15766449,105700931,19317,184215068,253740820,2127941,13147317
平成25,2013,16521385,105966346,18435,179885549,252486293,2059020,12808060
平成26,2014,17296968,107145321,18653,178243871,252654579,2023573,12644601
,,,,,,,,
東京都統計年鑑（平成26年） TOKYO STATISTICAL YEARBOOK ( 2014 ) 15 金融 15 FINANCE,,,,,,,,
15-4  生命保険会社契約高 (3) 保有契約 （平成22～26年度） 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (3) POLICIES IN FORCE ( Fiscal Years 2010-2014 ),,,,,,,,
資料：（社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,
