年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成26年,2014,総数,Total,1909,673252,264,235,211,54,343,149,80,136,41,366,30,1351,205,6,86,41,161,17,1,4,37
平成26年,2014,1,Jan.,159,207511,30,21,12,5,29,13,8,10,2,26,3,108,29,-,4,3,12,1,-,-,2
平成26年,2014,2,Feb.,145,31187,15,21,16,1,24,16,7,21,5,16,3,101,9,-,10,4,18,0,-,-,3
平成26年,2014,3,Mar.,161,32515,21,19,19,3,31,14,3,12,4,33,2,116,17,1,3,5,11,1,1,-,6
平成26年,2014,4,Apr.,171,28521,24,18,17,8,30,13,10,14,3,31,3,125,20,3,8,0,7,2,-,2,4
平成26年,2014,5,May,179,71028,22,22,20,11,33,19,3,13,5,27,4,132,18,-,13,1,11,2,-,-,2
平成26年,2014,6,June,181,66369,32,22,23,7,23,14,5,11,9,35,-,122,27,-,7,5,16,1,-,1,2
平成26年,2014,7,July,177,32474,30,29,25,1,28,15,6,9,0,33,1,127,23,-,2,5,13,2,-,-,5
平成26年,2014,8,Aug.,157,27000,15,11,16,5,35,8,12,13,0,40,2,113,16,-,6,6,14,1,-,-,1
平成26年,2014,9,Sept.,165,24209,22,22,20,2,28,12,11,6,5,34,3,114,16,1,11,4,15,2,-,-,2
平成26年,2014,10,Oct.,124,29047,12,15,9,3,24,10,4,12,1,30,4,83,11,-,6,4,12,3,-,1,4
平成26年,2014,11,Nov.,142,39802,25,12,19,3,31,6,5,8,2,29,2,100,12,1,11,2,13,-,-,-,3
平成26年,2014,12,Dec.,148,83589,16,23,15,5,27,9,6,7,5,32,3,110,7,-,5,2,19,2,-,-,3
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成26年） 15-10  COMPANY BANKRUPTCIES ( 2014 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
