年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成21,2009,0,13000,東京都,Tokyo-to,175836,153768,150379,10158,24930,150409,7,4438,455,230662
平成22,2010,0,13000,東京都,Tokyo-to,195110,172500,169481,11206,27361,166493,7,5216,526,256841
平成23,2011,0,13000,東京都,Tokyo-to,209264,185475,183527,11686,29965,177090,7,5823,556,275528
平成24,2012,0,13000,東京都,Tokyo-to,219415,194473.0833,193502.8333,11831.58333,32882,184304.0833,5.75,5973.583333,595.4166667,287566
平成25,2013,0,13000,東京都,Tokyo-to,225222,198888,199221,11656,35308,190800,7,5920,600,293106
平成25,2013,1,13100,区部,All ku,170356,150914,151165,7971,26734,144346,6,4117,480,217338
平成25,2013,2,13101,千代田区,Chiyoda-ku,575,418,403,21,89,500,-,5,2,650
平成25,2013,2,13102,中央区,Chuo-ku,899,718,681,23,146,749,-,10,3,1047
平成25,2013,2,13103,港区,Minato-ku,1963,1680,1643,75,347,1493,-,50,3,2373
平成25,2013,2,13104,新宿区,Shinjuku-ku,9061,7934,7731,211,1143,7322,1,109,24,10446
平成25,2013,2,13105,文京区,Bunkyo-ku,2194,1887,1899,47,352,1790,-,25,5,2528
平成25,2013,2,13106,台東区,Taito-ku,8026,6897,6592,91,888,6537,0,58,34,8709
平成25,2013,2,13107,墨田区,Sumida-ku,6557,6073,5919,295,1218,6071,-,170,24,8273
平成25,2013,2,13108,江東区,Koto-ku,7577,6908,6693,368,1285,6351,0,187,26,9968
平成25,2013,2,13109,品川区,Shinagawa-ku,4712,4054,4111,137,848,4058,-,78,15,5627
平成25,2013,2,13110,目黒区,Meguro-ku,2445,2107,2081,65,431,2095,0,46,5,2920
平成25,2013,2,13111,大田区,Ota-ku,13194,11444,11872,606,2260,11990,0,293,40,16627
平成25,2013,2,13112,世田谷区,Setagaya-ku,8267,7211,7320,295,1345,6331,0,200,19,10120
平成25,2013,2,13113,渋谷区,Shibuya-ku,2776,2425,2350,47,467,2087,-,38,5,3141
平成25,2013,2,13114,中野区,Nakano-ku,6420,5812,5878,156,954,5960,0,105,8,7450
平成25,2013,2,13115,杉並区,Suginami-ku,6576,5847,5910,159,1005,6185,-,109,7,7754
平成25,2013,2,13116,豊島区,Toshima-ku,6226,5386,5334,112,835,5267,-,21,8,7097
平成25,2013,2,13117,北区,Kita-ku,7860,6904,7014,260,1393,6901,0,153,29,9740
平成25,2013,2,13118,荒川区,Arakawa-ku,5334,4834,4852,186,943,4535,0,93,29,6496
平成25,2013,2,13119,板橋区,Itabashi-ku,14052,12205,12486,939,1860,11375,0,455,42,19164
平成25,2013,2,13120,練馬区,Nerima-ku,12547,11242,11432,916,2133,9749,1,496,21,17076
平成25,2013,2,13121,足立区,Adachi-ku,18435,16621,16261,1250,3140,14755,1,608,63,26361
平成25,2013,2,13122,葛飾区,Katsushika-ku,9874,8772,8950,558,1672,8482,1,212,25,13201
平成25,2013,2,13123,江戸川区,Edogawa-ku,14789,13534,13753,1154,1979,13766,1,597,45,20571
平成25,2013,1,13200,市部,All shi,53740,47070,47294,3609,8360,45428,1,1763,119,74184
平成25,2013,2,13201,八王子市,Hachioji-shi,8120,6930,6907,645,1278,6466,0,217,14,11510
平成25,2013,2,13202,立川市,Tachikawa-shi,3810,3373,3457,228,665,3505,-,114,10,5200
平成25,2013,2,13203,武蔵野市,Musashino-shi,1721,1433,1479,46,226,1313,-,28,3,2051
平成25,2013,2,13204,三鷹市,Mitaka-shi,2744,2403,2421,140,391,2600,-,87,5,3589
平成25,2013,2,13205,青梅市,Ome-shi,1844,1630,1544,147,235,1358,0,70,4,2646
平成25,2013,2,13206,府中市,Fuchu-shi,3633,3316,3308,283,525,3376,-,151,9,5028
平成25,2013,2,13207,昭島市,Akishima-shi,1704,1486,1444,90,331,1398,0,49,6,2281
平成25,2013,2,13208,調布市,Chofu-shi,2292,1956,1982,87,379,2097,-,41,6,2905
平成25,2013,2,13209,町田市,Machida-shi,4976,4350,4479,450,768,3774,0,239,11,7338
平成25,2013,2,13210,小金井市,Koganei-shi,1253,1067,1099,30,147,844,-,20,3,1473
平成25,2013,2,13211,小平市,Kodaira-shi,2335,2128,2047,146,362,2256,0,79,6,3216
平成25,2013,2,13212,日野市,Hino-shi,1577,1420,1385,99,312,1444,-,53,5,2131
平成25,2013,2,13213,東村山市,Higashimurayama-shi,2379,2074,2037,163,352,1733,-,90,6,3259
平成25,2013,2,13214,国分寺市,Kokubunji-shi,837,744,725,23,128,630,-,16,2,1030
平成25,2013,2,13215,国立市,Kunitachi-shi,764,674,684,27,100,679,-,14,1,954
平成25,2013,2,13218,福生市,Fussa-shi,855,760,768,42,152,762,-,19,2,1110
平成25,2013,2,13219,狛江市,Komae-shi,831,734,750,30,151,775,0,11,1,1026
平成25,2013,2,13220,東大和市,Higashiyamato-shi,1204,1067,1078,109,205,1045,0,44,2,1783
平成25,2013,2,13221,清瀬市,Kiyose-shi,1536,1387,1382,98,277,1421,-,45,5,2164
平成25,2013,2,13222,東久留米市,Higashikurume-shi,1541,1378,1403,131,257,1167,-,69,3,2235
平成25,2013,2,13223,武蔵村山市,Musashimurayama-shi,1201,1048,1083,95,202,1065,-,35,4,1831
平成25,2013,2,13224,多摩市,Tama-shi,1749,1495,1542,152,230,1537,-,69,4,2552
平成25,2013,2,13225,稲城市,Inagi-shi,856,734,747,51,125,642,-,40,2,1246
平成25,2013,2,13227,羽村市,Hamura-shi,531,447,466,37,60,461,-,23,1,728
平成25,2013,2,13228,あきる野市,Akiruno-shi,645,541,540,59,86,562,-,25,2,947
平成25,2013,2,13229,西東京市,Nishitokyo-shi,2804,2494,2539,203,418,2520,0,115,4,3952
平成25,2013,1,13300,郡部,All gun,704,565,530,64,110,638,-,33,0,1067
平成25,2013,1,13350,島部,All islands,422,339,232,12,104,388,-,8,1,517
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成21～25年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2009-2013 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注 1) 「被保護世帯数」には保護停止中の世帯，「被保護人員数」には保護停止中の人員を含む。,,,,,,,,,,,,,,,
"Note: 1) The numbers of ""Households assisted"" and ""Persons assisted"" include households／persons for whom welfare benefits are currently discontinued.",,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
