男女 ,Gender,項番 Item number,産業,Industry,総数 Total,総数 Total／平均年齢 Average age,15～19歳 15-19 years old,20～24歳 20-24 years old,25～29歳 25-29 years old,30～34歳 30-34 years old,35～39歳 35-39 years old,40～44歳 40-44 years old,45～49歳 45-49 years old,50～54歳 50-54 years old,55～59歳 55-59 years old,60～64歳 60-64 years old,65～69歳 65-69 years old,70～74歳 70-74 years old,75歳以上 75 years old and over
総数,Total,,,,7328400,43.9,93700,485900,801600,848900,903400,916100,810300,656200,545300,569100,322400,202100,173200
総数,Total,1,農業，  林業,Agriculture and forestry,28000,56.5,-,700,-,2200,2700,1800,2200,1600,2200,4900,3500,2600,3700
総数,Total,2,漁業,Fisheries,600,53.7,-,-,-,-,-,-,-,400,200,-,-,-,-
総数,Total,3,鉱業， 採石業， 砂利採取業,Mining and quarrying of stone and gravel,3000,43,300,-,-,-,600,1500,200,-,-,-,-,400,-
総数,Total,4,建設業,Construction,414600,46.5,2500,14800,29200,38900,58400,62000,50500,38000,30800,41800,21400,16100,10200
総数,Total,5,製造業,Manufacturing,840700,45.5,2400,28100,80600,85400,102900,133700,107900,83000,75000,59200,33900,29300,19400
総数,Total,6,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,21400,41.9,-,500,3000,1500,3200,4500,4700,1500,800,1400,300,-,-
総数,Total,7,情報通信業,Information and communications,572000,38.4,600,28800,97800,105700,104800,87700,63000,38100,22800,13100,4700,3100,1800
総数,Total,8,運輸業， 郵便業 ,Transport and postal activities,343500,44.7,4800,20400,26500,38900,42600,43700,41300,31500,34600,31400,18600,6700,2600
総数,Total,9,卸売・小売業,Wholesale and retail trade,1096500,43.3,22800,104100,123300,115500,122700,129200,110400,98000,79000,81800,49100,26700,33800
総数,Total,10,金融・保険業,Finance and insurance,287800,40.9,-,9700,45800,37000,50600,35400,48100,28400,15100,11300,2600,1700,2100
総数,Total,11,不動産業， 物品賃貸業,Real estate and goods rental and leasing,254500,53.8,600,7900,14200,16900,19900,24900,24100,21300,18700,34300,22100,18200,31400
総数,Total,12,学術研究， 専門・技術サービス業,Scientific research， professional and technical services,488500,44.5,600,14000,43400,75000,63700,72900,59300,46200,37000,39200,17200,9400,10500
総数,Total,13,宿泊業， 飲食サービス業,Accommodations， eating and drinking services,487500,40.2,34200,75500,43700,56900,56000,41900,38000,27500,28400,39800,27400,13500,4600
総数,Total,14,生活関連サービス業， 娯楽業,Living-related and personal services and amusement services,277500,43.8,2600,26700,45400,33900,23400,22600,23900,17600,16300,26400,16000,13900,8800
総数,Total,15,教育， 学習支援業,Education， learning support,343000,43.4,6900,31100,37100,36400,33300,35200,39000,38700,30300,31900,10800,5100,7300
総数,Total,16,医療， 福祉,Medical， health care and welfare,648300,43.2,2400,39300,86500,84300,70000,74800,75300,72900,55500,49300,16900,12200,9000
総数,Total,17,複合サービス事業,Compound services,35200,43.7,-,-,1300,3900,8100,6300,5500,5600,2600,1200,700,-,-
総数,Total,18,サービス業 (他に分類されないもの),Services， n.e.c.,570600,47,4200,34700,53700,56200,58800,57500,58000,49100,50100,58600,47900,27700,14200
総数,Total,19,公務 (他に分類されるものを除く),Government， except elsewhere classified,229300,41.1,4100,21500,23100,23300,34300,38300,22500,22400,25200,9500,4100,700,500
総数,Total,20,分類不能の産業,Industries unable to classify,386100,45,4900,28400,46900,36900,47500,42200,36300,34500,20700,34000,25400,14900,13700
男 ,Male,,総数 ,Total,4216600,44.5,45600,230100,434100,481300,543200,542100,472100,381700,327900,342100,192700,121500,102100
男 ,Male,1,農業，  林業,Agriculture and forestry,18800,56.8,-,300,-,900,1800,1400,2200,1200,1400,3500,2300,2100,1800
男 ,Male,2,漁業,Fisheries,600,53.7,-,-,-,-,-,-,-,400,200,-,-,-,-
男 ,Male,3,鉱業， 採石業， 砂利採取業,Mining and quarrying of stone and gravel,3000,43,300,-,-,-,600,1500,200,-,-,-,-,400,-
男 ,Male,4,建設業,Construction,334700,46.4,2500,10600,25300,29900,50000,47100,38400,33300,25800,34200,17700,11900,7900
男 ,Male,5,製造業,Manufacturing,590800,45.9,1000,13100,54300,60200,73000,93400,76800,61100,59900,43700,22300,18400,13700
男 ,Male,6,電気・ガス・熱供給・水道業,Electricity，  gas，  heat supply and water,17900,42.2,-,500,2100,1500,2000,3900,4400,1500,800,900,300,-,-
男 ,Male,7,情報通信業,Information and communications,409700,39,600,15900,66400,73100,72600,67200,49600,28000,18600,10600,3900,1500,1800
男 ,Male,8,運輸業， 郵便業 ,Transport and postal activities,268300,46.5,1600,7400,18900,29600,35400,32700,32400,27200,29200,27100,17700,6500,2600
男 ,Male,9,卸売・小売業,Wholesale and retail trade,569100,44.2,9800,50300,57600,61400,64400,67000,56200,54700,41200,43800,25800,16800,20100
男 ,Male,10,金融・保険業,Finance and insurance,140900,42.5,-,1500,16800,17600,24100,20700,26200,13200,10600,6200,1800,1100,1000
男 ,Male,11,不動産業， 物品賃貸業,Real estate and goods rental and leasing,144200,52.6,300,4800,7300,9900,16100,14100,11800,10400,10300,22500,14300,8900,13400
男 ,Male,12,学術研究， 専門・技術サービス業,Scientific research， professional and technical services,318100,45.7,400,7600,22600,51100,40700,38300,43000,31000,23500,31200,13000,7200,8500
男 ,Male,13,宿泊業， 飲食サービス業,Accommodations， eating and drinking services,220900,39.5,14100,34000,22300,29400,31000,17900,16700,8300,10400,16400,11200,6500,2900
男 ,Male,14,生活関連サービス業， 娯楽業,Living-related and personal services and amusement services,117100,43.5,1600,11500,20800,13000,11300,10100,9600,5700,6700,6700,7700,8300,4100
男 ,Male,15,教育， 学習支援業,Education， learning support,152100,45.6,3900,11600,15700,14400,11200,9100,17900,20800,15500,17000,7200,3700,4100
