品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,26年平均 2014 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米(単一原料米，「コシヒカリ」以外),"Non-glutinous rice(single ingredient，excluding ""Koshihikari"")",国内産，精米，単一原料米(産地品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,2173,2223,2228,2221,2276,2241,2232,2176,2161,2177,2093,2035,2018
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,420,417,413,417,427,426,416,424,422,424,421,422,417
食料,Food,穀類,Cereals,3,即席めん,Instant noodles,中華タイプ，内容量77g入り，「カップヌードル」,"Chinese type， net 77g， ""Cup Noodle""",1個,1 cup,144,141,142,140,145,146,145,147,146,145,145,145,143
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,390,375,375,377,383,392,384,377,390,403,411,406,407
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,109,105,115,103,110,100,97,106,124,112,124,100,115
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,93,*82,85,99,100,108,100,105,100,90,83,76,91
食料,Food,肉類,Meats,1,牛肉(ロース),Beef (loin),国産品，ロース,Domestic，loin,100g,100g,805,769,761,783,812,807,791,802,837,814,824,829,827
食料,Food,肉類,Meats,2,豚肉(ロース),Pork (loin),ロース（黒豚を除く）  ,Loin (excluding berkshire),100g,100g,255,243,241,244,249,255,255,258,263,260,261,259,269
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,133,129,131,130,134,138,135,134,129,132,132,138,138
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,220,217,218,221,219,218,217,219,220,222,221,223,223
食料,Food,乳卵類,Dairy products & eggs,1,牛乳(店頭売り，紙容器入り) ,Fresh milk (sold in stores，in cartons),牛乳，店頭売り，紙容器入り（1000mL入り）,Fresh milk， sold in stores， in carton （1000mL）,1本,1 carton,217,216,214,213,221,220,221,217,219,217,217,217,215
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，Ｌサイズ，パックｸ詰（10個入り）,White eggs，size L，packed (10 eggs),1パック,1 pack,244,246,250,245,251,238,235,231,231,238,255,252,253
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,189,267,237,200,206,175,147,171,151,228,209,122,158
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,154,161,162,149,139,150,145,155,173,215,164,117,120
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並，平成26年1月から単位変更,"""Momen-tofu""，ordinary quality.The unit was changed in Jan. '14.",1kg,1kg,267,273,267,266,272,271,270,263,266,268,264,262,264
食料,Food,果物,Fruits,1,りんご(ふじ),"Apples (""Fuji"")",ふじ， 1個  200～400g ,Fuji，200-400g each,1kg,1kg,513,509,486,476,496,561,624,636,...,...,...,420,413
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん(ハウスみかんを除く)，1個 70～130g,"""Satsuma mandarins (excluding greenhouse stuff)""， 70 - 130g each",1kg,1kg,550,544,540,593,...,...,...,...,...,667,501,493,510
食料,Food,果物,Fruits,3,いちご,Strawberries,国産品， 平成26年1月から単位変更,Domestic.The unit was changed in Jan. '14.,1kg,1kg,1611,1682,1650,1497,1444,1465,...,...,...,...,...,...,1930
食料,Food,油脂・調味料,Oils，fats & seasonings,1,食用油,Edible oil,キャノーラ（なたね）油，ポリ容器入り（1000g入り）,Canola oil， in polyethylene container (1000g),1本,1 bottle,330,333,330,328,343,331,335,333,331,324,328,319,321
食料,Food,油脂・調味料,Oils，fats & seasonings,2,みそ,Soybean paste,米みそ，カップ入り （750g入り），並,Fermented with rice malt， in cups (750g)， ordinary quality,1個,1 cup,327,318,326,327,338,331,332,326,324,329,327,324,319
食料,Food,菓子類,Cakes & candies,1,ケーキ,Cakes ,いちごショートケーキ，１個(７0～1２0g),Sponge cakes with cream and strawberry， 1 piece (70 -120g) . ,100g,100g,415,401,405,408,418,418,418,418,418,418,418,420,420
食料,Food,菓子類,Cakes & candies,2,チョコレート,Chocolate,板チョコレート，50g，「明治ミルクチョコレート」，「ロッテガーナミルクチョコレート」又は「森永ミルクチョコレート」平成26年7月から単位変更，平成26年10月から単位変更,"Chocolate bar， 50g， ""Meiji milk chocolate""， ""LOTTE Ghana milk chocolate"" or ""Morinaga milk chocolate"" The unit was changed in Jul. '14. The unit was changed in Oct. '14.",1枚,1 sheet,94,90,89,90,94,93,94,*179,184,186,*95,93,95
食料,Food,飲料,Beverages,1,緑茶,Green tea,煎茶（抹茶入りを含む），袋入り（100～300g入り）,"""Sencha"" (including ""Maccha"" contained)， in bag (100 - 300g)",100g,100g,582,574,585,582,599,598,596,*577,582,580,581,585,585
食料,Food,酒類,Alcoholic beverages,1,ビール,Beer,淡色， 缶入り (350mL入り)， 6缶入り,Lager， canned (350mL)， 6 cans,1パック,1 pack,1146,1141,1132,1124,1167,1162,1150,1146,1146,1147,1148,1144,1145
食料,Food,外食,Meals outside the home,1,中華そば,Chinese noodles (eating out),ラーメン，しょう油味（豚骨しょう油味を含む）,"""Ramen""， soy sauce-based (including pork and soy sauce-based)",1杯,1 bowl,567,577,573,568,570,570,570,562,562,562,563,563,563
食料,Food,外食,Meals outside the home,2,すし (外食) (にぎりずし),"""Sushi"" (eating out) (""Nigiri-zushi"")",にぎりずし(江戸前），並,"""Nigiri-zushi (Edomae)""， hand-rolled ""Sushi""， ordinary quality",1人前,1 serving,1259,1227,1227,1227,1271,1282,1282,1282,1282,1282,1249,1249,1249
食料,Food,外食,Meals outside the home,3,カレーライス,Curry and rice,,,1皿,1 dish,750,724,724,722,744,747,747,747,759,769,770,770,770
食料,Food,外食,Meals outside the home,4,ピザパイ(配達),Delivered pizza,宅配ピザ，ミックスピザ(野菜類3種類，肉・魚介類2種類程度)，[サイズ] M (約25cm)　,Delivered pizza， mixed pizza　(3 kinds of vegetable toppings and 2 kinds of meat or seafood toppings)， [size] M (about 25cm),1枚,1 sheet,2140,2079,2079,2079,2143,2143,2143,2143,2174,2174,2174,2174,2174
