年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成22,2010,総数,Total,,,406.8,373,31666982,19941610,11725371
平成23,2011,総数,Total,,,406.8,373,31384753,19741355,11643398
平成24,2012,総数,Total,,,406.8,373,32012234,19982170,12030063
平成25,2013,総数,Total,,,406.8,373,32744315,20572638,12171675
平成26,2014,総数,Total,,,406.8,373,32627385,20465914,12161471
平成26,2014,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4780536,3063871,1716665
平成26,2014,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4663478,2982395,1681083
平成26,2014,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,117058,81476,35582
平成26,2014,西武鉄道,Seibu Railway,,,93.4,71,6745822,4487202,2258620
平成26,2014,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3185711,2104922,1080789
平成26,2014,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,113898,73867,40031
平成26,2014,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,4953,2563,2390
平成26,2014,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,234,60,174
平成26,2014,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2793238,1884479,908759
平成26,2014,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,324384,211446,112938
平成26,2014,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3328,1604,1724
平成26,2014,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,187584,129117,58467
平成26,2014,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,74348,41964,32384
平成26,2014,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,58144,37180,20964
