年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成21,2009,0,13000,東京都,Tokyo-to,128211,24434,712,125,20559,82381,37011126,1451233,53428736
平成22,2010,0,13000,東京都,Tokyo-to,127803,24265,644,145,20444,82305,37321644,1495978,53488025
平成23,2011,0,13000,東京都,Tokyo-to,127380,23679,638,145,20947,81971,37225751,1509674,53190197
平成24,2012,0,13000,東京都,Tokyo-to,127483,23409,638,145,21815,81476,37355034,1553292,53444546
平成25,2013,0,13000,東京都,Tokyo-to,127639,23041,601,145,22432,81420,37201572,1578399,53278536
平成25,2013,1,13100,区部,All ku,79251,7331,264,99,11975,59582,22482084,1183282,40717742
平成25,2013,2,13101,千代田区,Chiyoda-ku,2302,27,-,-,50,2225,559134,51018,2013590
平成25,2013,2,13102,中央区,Chuo-ku,1219,-,-,-,52,1167,369813,32237,1009452
平成25,2013,2,13103,港区,Minato-ku,4014,49,8,-,68,3889,1073831,86285,3317478
平成25,2013,2,13104,新宿区,Shinjuku-ku,6304,317,40,4,85,5858,1746710,128755,4233191
平成25,2013,2,13105,文京区,Bunkyo-ku,5346,142,10,30,118,5046,1550840,107534,4072729
平成25,2013,2,13106,台東区,Taito-ku,1079,86,-,-,303,690,315431,11862,547012
平成25,2013,2,13107,墨田区,Sumida-ku,2536,36,-,10,190,2300,649290,43492,1205357
平成25,2013,2,13108,江東区,Koto-ku,2731,129,-,-,238,2364,775192,44391,1499861
平成25,2013,2,13109,品川区,Shinagawa-ku,2868,50,-,-,492,2326,771539,50606,1588308
平成25,2013,2,13110,目黒区,Meguro-ku,2462,50,-,-,175,2237,705161,48099,1327454
平成25,2013,2,13111,大田区,Ota-ku,5094,128,46,20,971,3929,1482314,75212,2870224
平成25,2013,2,13112,世田谷区,Setagaya-ku,5726,1245,60,10,850,3561,1534139,59625,2014269
平成25,2013,2,13113,渋谷区,Shibuya-ku,2890,53,2,-,713,2122,836304,48549,1750283
平成25,2013,2,13114,中野区,Nakano-ku,1999,-,-,-,505,1494,560109,26443,945620
平成25,2013,2,13115,杉並区,Suginami-ku,2301,-,-,-,949,1352,698226,29524,776827
平成25,2013,2,13116,豊島区,Toshima-ku,1714,-,-,-,287,1427,503864,22099,667357
平成25,2013,2,13117,北区,Kita-ku,2433,203,-,-,475,1755,699463,27871,1156985
平成25,2013,2,13118,荒川区,Arakawa-ku,1543,-,-,-,434,1109,470857,20668,691736
平成25,2013,2,13119,板橋区,Itabashi-ku,9838,1978,12,20,2251,5577,2904180,99643,3307287
平成25,2013,2,13120,練馬区,Nerima-ku,3263,1343,-,-,528,1392,952682,33457,1108708
平成25,2013,2,13121,足立区,Adachi-ku,6351,1236,-,-,1194,3921,1845898,52879,2001581
