年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipients of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipients of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第2号 Secondary
平成24,2012,0,13000,東京都,Tokyo-to,2766811,480108,13529,309072,8798,21680,365,65258,1040
平成25,2013,0,13000,東京都,Tokyo-to,2860243,506041,13232,328562,8708,22954,358,67534,987
平成26,2014,0,13000,東京都,Tokyo-to,2947406,527390,12728,345535,8441,24350,352,68825,914
平成26,2014,1,13100,区部,All ku,1966805,360475,8492,241505,5667,17186,254,43254,567
平成26,2014,2,13101,千代田区,Chiyoda-ku,10724,2180,46,1454,31,172,-,239,1
平成26,2014,2,13102,中央区,Chuo-ku,22833,4183,123,2732,82,272,5,524,5
平成26,2014,2,13103,港　区,Minato-ku,42260,8326,189,5598,122,219,3,1128,6
平成26,2014,2,13104,新宿区,Shinjuku-ku,66697,12408,232,8703,163,703,14,1572,14
平成26,2014,2,13105,文京区,Bunkyo-ku,41895,7689,167,5240,124,377,8,905,9
平成26,2014,2,13106,台東区,Taito-ku,45706,8789,193,5645,127,319,7,1076,11
平成26,2014,2,13107,墨田区,Sumida-ku,59106,10468,271,7331,173,520,10,1416,16
平成26,2014,2,13108,江東区,Koto-ku,104767,16451,467,10641,306,664,6,2194,50
平成26,2014,2,13109,品川区,Shinagawa-ku,79167,13777,345,9074,226,759,6,1760,23
平成26,2014,2,13110,目黒区,Meguro-ku,54422,10650,208,7243,151,377,4,1294,10
平成26,2014,2,13111,大田区,Ota-ku,159007,29161,775,20265,491,1393,19,2992,49
平成26,2014,2,13112,世田谷区,Setagaya-ku,175749,36035,705,24508,446,1663,30,3501,37
平成26,2014,2,13113,渋谷区,Shibuya-ku,42091,8123,186,5235,112,279,4,1029,12
平成26,2014,2,13114,中野区,Nakano-ku,66766,12788,237,9050,161,704,7,1432,15
平成26,2014,2,13115,杉並区,Suginami-ku,115869,23292,429,15753,303,1041,17,2524,22
平成26,2014,2,13116,豊島区,Toshima-ku,56863,11001,220,7306,147,464,3,1228,12
平成26,2014,2,13117,北　区,Kita-ku,86595,16284,395,10675,271,769,4,2065,23
平成26,2014,2,13118,荒川区,Arakawa-ku,48728,8376,222,5568,159,451,6,1223,17
平成26,2014,2,13119,板橋区,Itabashi-ku,123380,22060,541,14286,369,1128,24,2702,27
平成26,2014,2,13120,練馬区,Nerima-ku,153165,29281,640,19948,440,1435,23,3512,52
平成26,2014,2,13121,足立区,Adachi-ku,163450,29508,783,18634,495,1515,20,3807,70
平成26,2014,2,13122,葛飾区,Katsushika-ku,108637,18848,461,12610,322,822,12,2569,42
平成26,2014,2,13123,江戸川区,Edogawa-ku,138928,20797,657,14006,446,1140,22,2562,44
平成26,2014,1,13200,市部,All shi,955572,162834,4120,101881,2708,7026,96,24495,332
平成26,2014,2,13201,八王子市,Hachioji-shi,135642,23511,555,14306,367,911,15,3247,46
平成26,2014,2,13202,立川市,Tachikawa-shi,41198,7266,188,4734,133,461,5,1072,13
平成26,2014,2,13203,武蔵野市,Musashino-shi,30924,6074,131,3742,86,211,5,887,8
平成26,2014,2,13204,三鷹市,Mitaka-shi,38365,6855,153,4585,106,323,4,953,11
平成26,2014,2,13205,青梅市,Ome-shi,34057,4788,171,2430,98,200,1,1071,22
平成26,2014,2,13206,府中市,Fuchu-shi,52632,9296,260,5608,166,425,9,1202,16
平成26,2014,2,13207,昭島市,Akishima-shi,26727,4429,134,2712,88,200,4,797,10
平成26,2014,2,13208,調布市,Chofu-shi,47385,8920,195,5678,131,331,-,1250,17
平成26,2014,2,13209,町田市,Machida-shi,105506,17561,437,10959,290,965,8,2699,40
平成26,2014,2,13210,小金井市,Koganei-shi,24202,4675,107,3064,67,210,2,588,9
平成26,2014,2,13211,小平市,Kodaira-shi,41614,7322,181,4582,112,431,7,1027,15
平成26,2014,2,13212,日野市,Hino-shi,42705,7550,179,4871,119,292,9,1059,9
