地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 Injuries in general,自損行為 Self - immolations,加害 Crimes,急病 Acute illness,転院搬送 Change hospital,医師搬送 with Doctor,資器材等輸送 Materials， implements,その他 Other responses
0,13000,,総数,Tokyo-to,,757554,55219,3330,5203,44,1073,4868,130662,5609,7882,490936,42366,259,536,9567
1,13100,,区部,All ku,,557089,39545,2519,3431,24,867,3692,95879,3978,6430,362848,29991,201,409,7275
2,13101,1,千代田区,Chiyoda-ku,,13586,986,53,69,-,8,159,2665,45,156,8709,572,-,14,150
2,13102,2,中央区,Chuo-ku,,12796,1231,49,50,-,19,193,2165,73,152,8122,563,-,1,178
2,13103,3,港区,Minato-ku,,23219,1841,113,119,-,12,265,4157,123,463,14832,988,-,1,305
2,13104,4,新宿区,Shinjuku-ku,,33624,1881,180,241,2,19,221,5909,267,801,21528,1979,1,7,588
2,13105,5,文京区,Bunkyo-ku,,12182,775,60,112,-,15,81,1943,72,89,7106,1749,1,15,164
2,13106,6,台東区,Taito-ku,,18262,1084,106,37,1,13,109,3503,124,317,12018,626,-,-,324
2,13107,7,墨田区,Sumida-ku,,16637,1189,75,71,-,37,96,2655,125,208,10715,1250,2,6,208
2,13108,8,江東区,Koto-ku,,27780,2100,162,272,3,47,277,4385,161,241,18331,1324,145,23,309
2,13109,9,品川区,Shinagawa-ku ,,20909,1363,93,150,2,41,146,3655,131,213,14009,868,4,5,229
2,13110,10,目黒区,Meguro-ku,,12747,1020,49,105,1,15,77,2377,94,100,8070,696,5,16,122
2,13111,11,大田区,Ota-ku ,,38593,2714,180,204,3,114,303,6838,219,361,25237,1994,-,11,415
2,13112,12,世田谷区,Setagaya-ku,,40357,3203,185,424,2,33,223,7187,282,335,26005,1950,8,63,457
2,13113,13,渋谷区,Shibuya-ku,,19847,1429,80,200,5,7,187,3589,107,325,12577,971,26,15,329
2,13114,14,中野区,Nakano-ku,,17295,991,83,70,-,18,69,3060,146,170,11583,839,1,18,247
2,13115,15,杉並区,Suginami-ku,,26201,1910,110,159,2,30,115,4822,196,184,17095,1057,5,47,469
2,13116,16,豊島区,Toshima-ku,,20763,1105,101,102,-,25,130,3819,147,373,13751,745,-,11,454
2,13117,17,北区,Kita-ku,,21279,1142,90,115,-,38,87,3703,140,232,14155,1221,-,2,354
2,13118,18,荒川区,Arakawa-ku ,,12762,718,63,52,2,23,54,2169,94,129,8245,1025,-,47,141
2,13119,19,板橋区,Itabashi-ku,,30269,2125,133,142,-,39,150,4764,249,287,20071,1933,-,35,341
2,13120,20,練馬区,Nerima-ku,,34241,2434,121,178,-,54,138,5612,264,248,22439,2329,-,16,408
2,13121,21,足立区,Adachi-ku,,41264,3411,158,197,1,87,245,6560,375,417,26749,2623,-,22,419
2,13122,22,葛飾区,Katsushika-ku,,26026,2011,103,135,-,72,174,4428,217,237,17098,1293,-,9,249
2,13123,23,江戸川区,Edogawa-ku ,,36450,2882,172,227,-,101,193,5914,327,392,24403,1396,3,25,415
3,,,消防事務受託地区,Suburban fire service entrusted districts,,200104,15597,809,1772,20,206,1176,34781,1631,1452,128077,12129,40,126,2288
3,,,その他,Others,※,361,77,2,-,-,-,-,2,-,-,11,246,18,1,4
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成26年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2014 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 「東京消防庁統計書」 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区・その他),,,,,,,,,,,,,,,,,,,,
