年次,Year,月次,Month,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲）乳児死亡  (relisted) Infant deaths／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／女 Female,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡  (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,婚姻 Marriages,離婚 Divorces
昭和59,1984,総数,Total,131151,67090,64061,61399,33984,27415,69752,33106,36646,671,377,294,395,226,169,6232,3732,2500,83139,19239
昭和60,1985,総数,Total,126178,64822,61356,62499,34265,28234,63679,30557,33122,622,339,283,378,207,171,5885,3213,2672,83021,17955
昭和61,1986,総数,Total,121745,62502,59243,62935,34722,28213,58810,27780,31030,591,303,288,338,178,160,5435,3017,2418,79960,18271
昭和62,1987,総数,Total,118509,60988,57521,63879,35108,28771,54630,25880,28750,559,315,244,295,167,128,5474,2893,2581,78532,17152
昭和63,1988,総数,Total,114422,58777,55645,67078,36735,30343,47344,22042,25302,474,258,216,276,141,135,4968,2546,2422,79276,16884
昭和64・平成元,1989,総数,Total,106480,54829,51651,67629,37160,30469,38851,17669,21182,474,247,227,270,130,140,4562,2321,2241,80883,17593
平成2,1990,総数,Total,103983,53330,50653,70370,38743,31627,33613,14587,19026,438,255,183,245,141,104,4543,2248,2295,81920,17935
平成3,1991,総数,Total,103226,53373,49853,70675,38733,31942,32551,14640,17911,400,211,189,204,107,97,4333,2157,2176,83171,19400
平成4,1992,総数,Total,100965,51868,49097,72974,40217,32757,27991,11651,16340,430,265,165,231,143,88,3992,2012,1980,82371,20211
平成5,1993,総数,Total,98291,50583,47708,74758,40896,33862,23533,9687,13846,467,248,219,255,135,120,3559,1821,1738,85518,21114
平成6,1994,総数,Total,101998,52251,49747,75299,41306,33993,26699,10945,15754,433,252,181,247,144,103,3362,1776,1586,83563,21372
平成7,1995,総数,Total,96823,49648,47175,78651,43286,35365,18172,6362,11810,423,226,197,219,124,95,3189,1745,1444,84286,21548
平成8,1996,総数,Total,97954,50423,47531,77356,42696,34660,20598,7727,12871,368,205,163,190,105,85,3190,1686,1504,84007,22273
平成9,1997,総数,Total,97906,50282,47624,78744,43548,35196,19162,6734,12428,384,205,179,196,106,90,3131,1516,1615,81002,23690
平成10,1998,総数,Total,98960,50948,48012,80793,44653,36140,18167,6295,11872,358,204,154,195,116,79,3107,1483,1624,82589,25685
平成11,1999,総数,Total,97959,50396,47563,85427,46950,38477,12532,3446,9086,325,191,134,175,102,73,3143,1550,1593,81287,26375
平成12,2000,総数,Total,100209,51487,48722,83849,46409,37440,16360,5078,11282,354,195,159,200,110,90,2995,1364,1631,87360,27032
平成13,2001,総数,Total,98421,50546,47875,84586,46661,37925,13835,3885,9950,298,164,134,159,82,77,2907,1389,1518,88538,28593
平成14,2002,総数,Total,100118,51619,48499,85162,46936,38226,14956,4683,10273,295,155,140,169,85,84,2908,1361,1547,84623,28780
平成15,2003,総数,Total,98534,50804,47730,87500,48128,39372,11034,2676,8358,293,156,137,139,67,72,2938,1295,1643,84755,28211
平成16,2004,総数,Total,99272,50793,48479,88767,48465,40302,10505,2328,8177,260,150,110,122,72,50,2923,1325,1598,84618,27123
平成17,2005,総数,Total,96542,49603,46939,93599,51265,42334,2943,-1662,4605,257,148,109,129,71,58,2839,1293,1546,85382,26984
平成18,2006,総数,Total,101674,52391,49283,93596,50908,42688,8078,1483,6595,290,156,134,154,79,75,2782,1247,1535,89413,26347
平成19,2007,総数,Total,103837,53564,50273,96354,52202,44152,7483,1362,6121,278,165,113,146,82,64,2621,1201,1420,89243,26627
平成20,2008,総数,Total,106015,54348,51667,98248,53289,44959,7767,1059,6708,261,122,139,119,57,62,2724,1218,1506,91196,26300
平成21,2009,総数,Total,106613,54736,51877,98304,53549,44755,8309,1187,7122,246,135,111,119,61,58,2482,1118,1364,91028,26803
平成22,2010,総数,Total,108135,55420,52715,104238,56443,47795,3897,-1023,4920,212,114,98,95,51,44,2587,1143,1444,91197,26335
平成23,2011,総数,Total,106027,54333,51694,105723,56613,49110,304,-2280,2584,216,112,104,98,50,48,2484,1140,1344,86888,24927
平成24,2012,総数,Total,107401,54985,52416,109194,58203,50991,-1793,-3218,1425,236,129,107,117,70,47,2325,1103,1222,89301,25329
平成25,2013,総数,Total,109986,56267,53719,110507,58810,51697,-521,-2543,2022,215,112,103,96,49,47,2441,1131,1310,88067,24855
平成26,2014,総数,Total,110629,56541,54088,111024,58865,52158,-395,-2324,1930,205,116,89,89,58,31,2460,1135,1325,87000,23653
平成26,2014,1,Jan.,8774,4515,4259,10731,5698,5033,-1957,-1183,-774,11,5,6,3,1,2,203,82,121,5975,1971
平成26,2014,2,Feb.,7768,4004,3764,9479,5105,4374,-1711,-1101,-610,16,8,8,4,3,1,188,94,94,8035,1740
平成26,2014,3,Mar.,8433,4288,4145,9705,5151,4554,-1272,-863,-409,17,10,7,10,9,1,223,92,131,8737,2380
平成26,2014,4,Apr.,8605,4385,4220,9015,4788,4227,-410,-403,-7,24,12,12,6,4,2,217,90,127,6809,2061
平成26,2014,5,May,9129,4646,4483,8554,4481,4073,575,165,410,14,6,8,3,2,1,219,107,112,7296,1846
平成26,2014,6,June,9351,4840,4511,8102,4295,3807,1249,545,704,15,8,7,7,5,2,192,97,95,6447,1957
平成26,2014,7,July,9842,5044,4798,8491,4469,4022,1351,575,776,10,9,1,6,5,1,217,104,113,8078,2027
平成26,2014,8,Aug. ,9853,5036,4817,8893,4719,4174,960,317,643,22,11,11,6,3,3,205,103,102,6589,1806
平成26,2014,9,Sept.,10118,5197,4921,8621,4670,3951,1497,527,970,23,16,7,16,10,6,198,90,108,5720,1937
平成26,2014,10,Oct.,10025,4988,5037,9052,4683,4369,973,305,668,13,8,5,8,4,4,219,103,116,6327,2037
平成26,2014,11,Nov.,9019,4623,4396,9560,5041,4519,-541,-418,-123,20,15,5,10,8,2,168,76,92,9671,1705
平成26,2014,12,Dec.,9712,4975,4737,10820,5765,5055,-1108,-790,-318,20,8,12,10,4,6,211,97,114,7316,2186
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (2) 年，月別及び男女別（昭和59～平成26年）  2-7  VITAL STATISTICS  (2) BY YEAR， MONTH， AND GENDER ( 1984-2014 ) ,,,,,,,,,,,,,,,,,,,,,,,
注) 厚生労働省が平成16・18・21～29年の都道府県からの報告漏れ（平成31年３月29日公表）による再集計を行ったことにより，数値を修正した。ただし、月次の数値については，再集計の結果が反映されていないため，計と月次の合計は合致しない。,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for 2004， 2006， and 2009-2017 have been revised to reflect retabulation by the Ministry of Labour， Health and Welfare (announced March 29， 2019)， which was carried out due to omissions in reporting by the prefectures. ,,,,,,,,,,,,,,,,,,,,,,,
 However， the monthliy categories do not reflect this retablulation. Therefore， the total does not match the sum of these categories.,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,
