年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities.,医師数 Physicians／その他 Others,医師数 Physicians／不詳／Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成14,2002,0,13000,,東京都,Tokyo-to,32696,30995,409,10058,8956,8332,3240,77,14,63,1367,256,1,15055,63495,19062,35766,267.6
平成16,2004,0,13000,,東京都,Tokyo-to,34463,32698,400,10957,9359,8462,3520,79,16,63,1418,268,-,15331,67995,17576,37704,278.4
平成18,2006,0,13000,,東京都,Tokyo-to,35695,33604,384,11537,9244,8511,3928,101,16,85,1579,409,2,15260,73123,17346,39323,282
平成20,2008,0,13000,,東京都,Tokyo-to,38079,35616,352,12024,10388,8653,4199,138,18,120,1893,432,-,15620,77897,16825,42535,296.6
平成22,2010,0,13000,,東京都,Tokyo-to,39965,37552,355,13004,10741,8894,4558,141,14,127,1875,397,-,16054,86033,16822,44356,303.7
平成24,2012,0,13000,,東京都,Tokyo-to,41498,39116,348,13612,11172,8848,5136,155,25,130,1833,394,-,16045,90336,15377,44718,313.7
平成24,2012,1,13100,,区部,All ku,33133,31131,226,9941,9910,6832,4222,76,17,59,1596,330,-,13015,63750,9339,35434,368.3
平成24,2012,2,13101,1,千代田区,Chiyoda-ku,1695,1363,11,549,215,218,370,-,-,-,324,8,-,1513,3047,170,3791,3478
平成24,2012,2,13102,2,中央区,Chuo-ku,1307,1248,2,726,3,282,235,1,-,1,50,8,-,598,2006,151,3834,1010.6
平成24,2012,2,13103,3,港区,Minato-ku,2636,2427,4,827,864,382,350,4,1,3,184,21,-,758,4595,193,2736,1256.7
平成24,2012,2,13104,4,新宿区,Shinjuku-ku,4567,4257,10,864,2356,380,647,3,2,1,291,16,-,726,6155,228,2607,1397.9
平成24,2012,2,13105,5,文京区,Bunkyo-ku,4382,4100,4,362,3458,176,100,-,-,-,256,26,-,1013,5315,90,2016,2089.5
平成24,2012,2,13106,6,台東区,Taito-ku,420,405,2,125,-,166,112,2,1,1,9,4,-,313,898,236,534,233.7
平成24,2012,2,13107,7,墨田区,Sumida-ku,730,723,6,453,-,170,94,-,-,-,6,1,-,271,1873,362,652,292.9
平成24,2012,2,13108,8,江東区,Koto-ku,982,899,10,411,117,245,116,2,-,2,72,9,-,391,2349,449,1062,209.8
平成24,2012,2,13109,9,品川区,Shinagawa-ku,1475,1348,7,329,510,330,172,2,-,2,107,18,-,546,2641,247,2095,399.4
平成24,2012,2,13110,10,目黒区,Meguro-ku,1139,1112,5,489,268,237,113,2,1,1,13,12,-,338,2326,144,777,421.2
平成24,2012,2,13111,11,大田区,Ota-ku,1791,1726,12,540,544,438,192,5,1,4,46,14,-,1060,4159,659,1527,257.2
平成24,2012,2,13112,12,世田谷区,Setagaya-ku,1968,1849,16,879,42,663,249,7,2,5,76,36,-,828,4292,647,1854,222.2
平成24,2012,2,13113,13,渋谷区,Shibuya-ku,1301,1246,8,614,49,368,207,5,2,3,22,28,-,498,2677,179,1427,621.4
平成24,2012,2,13114,14,中野区,Nakano-ku,659,640,6,277,-,254,103,1,-,1,9,9,-,333,1454,211,671,210.1
平成24,2012,2,13115,15,杉並区,Suginami-ku,882,821,8,275,-,376,162,-,-,-,15,46,-,575,1865,312,1030,160.2
平成24,2012,2,13116,16,豊島区,Toshima-ku,731,695,11,172,-,317,195,3,1,2,18,15,-,423,1288,275,1112,254.1
平成24,2012,2,13117,17,北区,Kita-ku,554,545,7,250,9,186,93,-,-,-,3,6,-,311,1507,331,975,166.1
平成24,2012,2,13118,18,荒川区,Arakawa-ku,517,500,9,65,235,127,64,5,1,4,8,4,-,193,1179,296,489,252.8
平成24,2012,2,13119,19,板橋区,Itabashi-ku,2063,1973,21,688,871,289,104,9,2,7,66,15,-,465,5639,1044,1809,384.7
平成24,2012,2,13120,20,練馬区,Nerima-ku,975,940,11,193,210,407,119,9,1,8,7,19,-,556,1980,512,1309,135.9
平成24,2012,2,13121,21,足立区,Adachi-ku,856,838,29,355,-,290,164,12,1,11,5,1,-,508,2806,1266,1147,124.9
平成24,2012,2,13122,22,葛飾区,Katsushika-ku,737,724,13,188,159,246,118,2,1,1,6,5,-,327,1780,580,841,167.4
平成24,2012,2,13123,23,江戸川区,Edogawa-ku,766,752,14,310,-,285,143,2,-,2,3,9,-,471,1919,757,1139,113.6
平成24,2012,1,13200,,市部,All shi,8283,7916,120,3647,1262,2000,887,73,8,65,231,63,-,2990,26240,5866,9214,200.3
平成24,2012,2,13201,1,八王子市,Hachioji-shi,1052,1004,21,299,298,245,141,7,-,7,36,5,-,390,3245,1120,1441,180.9
平成24,2012,2,13202,2,立川市,Tachikawa-shi,527,516,5,341,-,107,63,1,-,1,8,2,-,160,1689,193,485,293.4
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,468,458,5,239,-,141,73,4,-,4,-,6,-,210,1281,143,472,336.6
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,887,852,5,106,614,96,31,5,2,3,26,4,-,131,2180,161,422,475.8
平成24,2012,2,13205,5,青梅市,Ome-shi,322,313,8,240,-,46,19,4,-,4,5,-,-,82,1365,656,245,233.1
平成24,2012,2,13206,6,府中市,Fuchu-shi,901,888,9,689,-,124,66,7,-,7,5,1,-,200,3050,277,737,351.1
平成24,2012,2,13207,7,昭島市,Akishima-shi,138,132,4,72,-,37,19,4,2,2,2,-,-,92,552,158,220,123.5
平成24,2012,2,13208,8,調布市,Chofu-shi,283,267,6,84,1,130,46,5,-,5,4,7,-,197,839,244,439,125.7
平成24,2012,2,13209,9,町田市,Machida-shi,569,555,12,237,-,219,87,5,1,4,5,4,-,290,1958,605,892,133.1
平成24,2012,2,13210,10,小金井市,Koganei-shi,145,134,1,58,-,58,17,5,-,5,-,6,-,90,487,145,204,121.2
平成24,2012,2,13211,11,小平市,Kodaira-shi,511,430,2,311,-,83,34,1,1,-,73,7,-,112,1377,258,372,271.7
