税目階層,税目,Tax item,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013,平成26年度 FY 2014
0,総額,Total,4148514,4146577,4247147,4491049,4739939
1,現年課税分,Current-year taxes,4110427,4112016,4213790,4459780,4711391
2,都民税,Metropolitan inhabitant tax,1461922,1460335,1557825,1687396,1802681
3,個人,For individuals,736959,728427,746278,805246,844743
3,法人,For corporations,683285,694393,773857,839978,913961
3,利子割,For interest income ,41678,37515,37690,42171,43977
2,事業税,Business tax,606992,584589,616903,727956,775874
3,個人,For individuals,50972,49200,47411,47606,47947
3,法人,For corporations,556020,535388,569492,680350,727927
2,地方消費税,Local consumption tax,351067,350777,351931,348932,422696
2,不動産取得税,Real estate acquisition tax,72906,70185,65923,72878,75949
2,都たばこ税,Prefectural tobacco tax,30245,34486,33792,20088,18134
2,ゴルフ場利用税,Golf course utilization tax,673,628,630,620,626
2,自動車取得税,Automobile acquisition tax,19431,16991,20225,18968,9177
2,軽油引取税,Gas oil delivery tax,42431,41367,39970,40380,39575
2,自動車税,Motor vehicle tax,112420,110768,109387,108175,106381
2,鉱区税,Mine production tax,3,2,2,2,2
2,固定資産税,Fixed assets tax,1105229,1128660,1106913,1120226,1140259
2,特別土地保有税,Special land possession tax,0,9,-,19,7
2,狩猟税,Hunting tax,6,5,5,5,5
2,事業所税,Establishment tax,93963,94205,95507,96532,98345
2,都市計画税,City planning tax,212100,218162,213706,216289,220056
2,宿泊税,Accommodation tax,1037,820,1070,1315,1624
2,旧法による税,Taxes based on former laws,1,27,0,-,-
1,滞納繰越分,Arrears brought forward,38087,34561,33357,31269,28549
,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-7  都税収入済額 (1) 税目別 (平成22～平成26年度)21-7  METROPOLITAN TAXES COLLECTED (1) BY TAX ITEM ( Fiscal Years 2010-2014 ) ,,,,,,,
この表の税額は，各年度とも決算額（還付未済額を含む。）による。 ,,,,,,,
Each fiscal year's tax amounts noted in this table are based on the settlement (including unpaid refunds).,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,
税目階層（0:総額　1:現年課税分・滞納繰越分　2:税目　3:個人・法人・利子割）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
