年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成21,2009,総数 ,Total,23405,216,23189,39,123,23271,7195,6235,716,6274,16076,839
平成22,2010,総数 ,Total,22755,190,22565,92,120,22499,7273,6461,666,6553,15226,786
平成23,2011,総数 ,Total,23887,133,23754,44,412,23298,7203,6584,619,6628,16095,1031
平成24,2012,総数 ,Total,23644,78,23566,48,203,23315,7820,7146,674,7194,15495,877
平成25,2013,総数 ,Total,24738,146,24592,15,61,24516,9365,8679,685,8694,15152,747
平成25,2013,燃えがら ,Cinder,3,-,3,-,-,3,3,2,-,2,-,-
平成25,2013,汚でい ,Sludge,16466,4,16462,1,6,16455,1886,1736,150,1737,14569,156
平成25,2013,廃油 ,Waste oil,34,3,31,-,-,31,5,5,-,5,26,-
平成25,2013,廃酸 ,Waste acid,35,1,34,-,-,34,7,7,-,7,27,-
平成25,2013,廃アルカリ ,Waste alkaline,33,-,33,-,-,33,3,3,-,3,31,-
平成25,2013,廃プラスチック類 ,Waste plastics,333,22,311,-,9,302,209,182,27,182,93,36
平成25,2013,紙くず ,Paper scrap,75,26,49,-,-,49,23,22,-,22,26,-
平成25,2013,木くず ,Wood scrap,349,-,349,-,-,349,104,101,3,101,245,3
平成25,2013,繊維くず ,Textile scrap,6,-,6,-,-,6,2,1,-,1,4,-
平成25,2013,動植物性残さ ,Plant and animal scraps,62,13,49,1,-,48,24,24,-,25,24,-
平成25,2013,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,金属くず ,Metal scrap,206,59,147,3,-,143,143,130,13,133,-,13
平成25,2013,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,697,17,680,2,5,673,648,514,134,516,25,139
平成25,2013,鉱さい ,Slag,46,-,46,-,1,45,45,45,1,45,-,1
平成25,2013,がれき類 ,Rubble,5868,-,5868,7,19,5842,5831,5628,203,5635,10,223
平成25,2013,ばいじん ,Dust,6,-,6,-,1,5,5,3,2,3,-,3
平成25,2013,動物の糞尿 ,Animal excretions,41,-,41,-,-,41,27,27,-,27,15,-
平成25,2013,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,混合廃棄物 ,Mixed waste,336,-,336,-,5,331,331,191,140,191,-,145
平成25,2013,その他の廃棄物 ,Other waste,53,1,52,1,8,44,43,35,9,36,1,17
平成25,2013,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,-,-,-,-,-,-,-,-,-,-,-,-
平成25,2013,特別管理産業廃棄物 ,Specially controlled industrial waste,89,-,89,-,7,82,26,23,3,23,56,10
,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成21～平成25年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2009-2013 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
