No,観測地点 1),Location of observatory 1),水準基標番号 Bench mark number,測量開始年,Year of start of measurement,平成12年 2000,平成13年 2001,平成14年 2002,平成15年 2003,平成16年 2004,平成17年 2005,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013,平成26年 2014,(参考) 測量開始年からの変動量累計 (単位 ｍ) (Reference) Accumulated total since the beginning of observation (in meters) 5) 
1,港区 芝,Shiba， Minato-ku,芝(6),昭和5,1930,0.31,-0.15,-0.09,0.21,-0.15,-0.19,0.39,-0.44,0.09,0.1,-0.35,2),0.19,-0.03,0.09,-0.0618
2,新宿区 新宿,Shishinjuku， Shinjuku-ku,交(16),昭和5,1930,0.12,0.16,-0.87,0.07,-0.32,-0.31,0.13,-0.13,0.09,0.79,-0.94,2),0.27,-0.3,0.13,-0.0842
3,文京区 本郷,Hongo， Bunkyo-ku,郷(2),昭和5,1930,0.2,0.16,-0.21,0.41,-0.4,0.3,0.47,-0.8,0.25,0.3,-0.82,2),-0.25,-0.17,-0.19,-0.2289
4,墨田区 八広,Yahiro， Sumida-ku,向(3),昭和8,1933,-0.49,0.49,0.61,0.42,0.2,0.38,0.69,-0.4,0.23,0.24,-0.22,2),0.27,0,0.14,-0.1562
5,江東区 南砂,Minamisuna， Koto-ku,9832,大正7,1918,-0.18,0.57,-0.28,1.02,0.02,0.34,0.92,-0.27,0.28,0.32,-0.16,2),0.2,0.03,0.36,-4.5093
6,大田区 羽田,Haneda， Ota-ku,蒲(12),昭和19,1944,0.76,-0.66,-0.26,0.03,-0.55,0.47,-0.11,-0.48,0.3,0.03,0.58,2),0.28,-0.09,0.13,-0.0367
7,世田谷区 千歳台,Chitosedai， Setagaya-ku,世(8),昭和47,1972,0.2,-0.07,0.03,-0.25,0.36,-0.45,0,-0.45,0.22,0.26,-0.52,2),0.48,-0.28,0.27,-0.0435
8,板橋区 新河岸,Shingashi， Itabashi-ku,板(7),昭和33,1958,0.36,-0.66,-0.02,0.55,-0.28,-0.29,0.43,-0.55,0.46,0.12,-0.72,2),-0.02,0.06,-0.07,-1.2393
9,練馬区 高松,Takamatsu， Nerima-ku,練(15),昭和44,1969,0.06,-0.13,-0.32,0.48,-0.07,-0.2,0.15,-0.4,0.56,-0.02,-0.81,2),0.28,0.23,-0.01,-0.3378
10,足立区 千住大川町,Senjuokawa-cho， Adachi-ku,足(18),昭和37,1962,0.01,0.17,0.12,0.76,-0.31,0.46,0.52,-0.36,0.38,-0.45,0,2),-0.08,0.4,0,-0.737
11,足立区 谷在家,Yazaike， Adachi-ku,足(7),昭和8,1933,0.01,-0.08,-0.19,0.46,-0.42,0.4,0.05,-0.53,0.44,-0.06,-0.67,2),-0.15,0.21,0.16,-0.9101
12,葛飾区 高砂,Takasago， Katsushika-ku,葛(4),昭和8,1933,-0.01,0.33,-0.02,0.44,-0.09,0.28,0.51,-0.62,0.43,-0.33,-0.38,2),-0.09,0.1,0.24,-0.6628
13,江戸川区 中葛西,Nakakasai， Edogawa-ku,9836,大正7,1918,0.33,0.2,-0.2,0.47,0.03,0.32,0.71,-0.41,0.47,0.07,-0.07,2),0.5,0.46,-0.41,-2.3748
14,江戸川区 船堀,Funabori， Edogawa-ku,9835,大正7,1918,0.16,0.82,-0.5,0.41,-0.07,0.56,0.71,-0.22,0.4,0.28,-0.17,2),0.43,0.36,0.08,-2.9682
15,八王子市 小宮町,Komiya-machi， Hachioji-shi,八王(1),昭和50,1975,0.72,0.12,-0.89,-0.31,0.08,0.1,-0.02,0.07,0.24,0.22,-0.36,2),0.58,-0.24,0.23,0.0171
16,三鷹市 深大寺,Jindaiji， Mitaka-shi,三鷹(3),昭和47,1972,0.25,0.14,-0.32,0.01,-0.2,0.56,-0.41,-0.18,0.45,-0.29,-0.33,2),0.17,0.16,0.57,-0.0654
