年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳 Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳 Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳 Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成21,2009,0,13000,東京都,Tokyo-to,452109,27366,13977,804,1584,11725,11725,67292
平成22,2010,0,13000,東京都,Tokyo-to,459200,27777,19870,570,1386,12333,12333,69807
平成23,2011,0,13000,東京都,Tokyo-to,465928,26731,20523,2421,1901,11932,11932,72261
平成24,2012,0,13000,東京都,Tokyo-to,471833,27299,22335,2728,1787,13683,13683,74971
平成25,2013,0,13000,東京都,Tokyo-to,479527,27528,21385,2814,1264,12235,12234,77633
平成25,2013,1,13100,区部,All ku,330210,19133,14744,1987,987,8381,8523,49168
平成25,2013,2,13101,千代田区,Chiyoda-ku,2307,97,33,14,3,59,49,193
平成25,2013,2,13102,中央区,Chuo-ku,3072,217,158,43,16,144,123,416
平成25,2013,2,13103,港区,Minato-ku,7283,433,284,55,24,238,221,818
平成25,2013,2,13104,新宿区,Shinjuku-ku,13395,823,567,91,50,394,435,1446
平成25,2013,2,13105,文京区,Bunkyo-ku,6285,388,305,74,22,179,192,871
平成25,2013,2,13106,台東区,Taito-ku,10068,461,262,62,27,252,259,912
平成25,2013,2,13107,墨田区,Sumida-ku,9281,570,452,66,39,242,230,1529
平成25,2013,2,13108,江東区,Koto-ku,18460,1039,792,79,49,367,401,2808
平成25,2013,2,13109,品川区,Shinagawa-ku,14145,766,671,84,36,311,343,1805
平成25,2013,2,13110,目黒区,Meguro-ku,7722,537,413,67,15,199,227,1164
平成25,2013,2,13111,大田区,Ota-ku,27603,1592,1068,166,67,647,647,3903
平成25,2013,2,13112,世田谷区,Setagaya-ku,24464,1563,1196,172,70,575,616,3945
平成25,2013,2,13113,渋谷区,Shibuya-ku,6668,475,292,44,19,194,212,802
平成25,2013,2,13114,中野区,Nakano-ku,10086,696,494,77,36,296,320,1358
平成25,2013,2,13115,杉並区,Suginami-ku,16344,1044,768,100,50,378,422,2365
